$reaction
    coeff    name formula state ispecies
926    -2 methane     CH4    aq      926
927     1  ethane    C2H6    aq      927
63      1      H2      H2    aq       63

$out
         T    P       logK
1     0.01 1500 -13.498529
2     1.00 1500 -13.452685
3     2.00 1500 -13.406602
4     3.00 1500 -13.360745
5     4.00 1500 -13.315119
6     5.00 1500 -13.269724
7     6.00 1500 -13.224564
8     7.00 1500 -13.179640
9     8.00 1500 -13.134953
10    9.00 1500 -13.090504
11   10.00 1500 -13.046295
12   11.00 1500 -13.002325
13   12.00 1500 -12.958596
14   13.00 1500 -12.915108
15   14.00 1500 -12.871860
16   15.00 1500 -12.828854
17   16.00 1500 -12.786088
18   17.00 1500 -12.743563
19   18.00 1500 -12.701277
20   19.00 1500 -12.659232
21   20.00 1500 -12.617426
22   21.00 1500 -12.575858
23   22.00 1500 -12.534527
24   23.00 1500 -12.493434
25   24.00 1500 -12.452577
26   25.00 1500 -12.411955
27   26.00 1500 -12.371567
28   27.00 1500 -12.331412
29   28.00 1500 -12.291489
30   29.00 1500 -12.251797
31   30.00 1500 -12.212335
32   31.00 1500 -12.173101
33   32.00 1500 -12.134095
34   33.00 1500 -12.095315
35   34.00 1500 -12.056759
36   35.00 1500 -12.018428
37   36.00 1500 -11.980318
38   37.00 1500 -11.942430
39   38.00 1500 -11.904760
40   39.00 1500 -11.867310
41   40.00 1500 -11.830076
42   41.00 1500 -11.793057
43   42.00 1500 -11.756253
44   43.00 1500 -11.719661
45   44.00 1500 -11.683280
46   45.00 1500 -11.647110
47   46.00 1500 -11.611148
48   47.00 1500 -11.575392
49   48.00 1500 -11.539843
50   49.00 1500 -11.504498
51   50.00 1500 -11.469356
52   51.00 1500 -11.434415
53   52.00 1500 -11.399674
54   53.00 1500 -11.365131
55   54.00 1500 -11.330786
56   55.00 1500 -11.296637
57   56.00 1500 -11.262682
58   57.00 1500 -11.228920
59   58.00 1500 -11.195350
60   59.00 1500 -11.161970
61   60.00 1500 -11.128779
62   61.00 1500 -11.095775
63   62.00 1500 -11.062958
64   63.00 1500 -11.030325
65   64.00 1500 -10.997876
66   65.00 1500 -10.965608
67   66.00 1500 -10.933522
68   67.00 1500 -10.901615
69   68.00 1500 -10.869886
70   69.00 1500 -10.838334
71   70.00 1500 -10.806957
72   71.00 1500 -10.775755
73   72.00 1500 -10.744726
74   73.00 1500 -10.713868
75   74.00 1500 -10.683180
76   75.00 1500 -10.652662
77   76.00 1500 -10.622311
78   77.00 1500 -10.592128
79   78.00 1500 -10.562109
80   79.00 1500 -10.532255
81   80.00 1500 -10.502563
82   81.00 1500 -10.473034
83   82.00 1500 -10.443665
84   83.00 1500 -10.414455
85   84.00 1500 -10.385404
86   85.00 1500 -10.356509
87   86.00 1500 -10.327770
88   87.00 1500 -10.299186
89   88.00 1500 -10.270756
90   89.00 1500 -10.242478
91   90.00 1500 -10.214351
92   91.00 1500 -10.186375
93   92.00 1500 -10.158548
94   93.00 1500 -10.130868
95   94.00 1500 -10.103336
96   95.00 1500 -10.075949
97   96.00 1500 -10.048707
98   97.00 1500 -10.021609
99   98.00 1500  -9.994653
100  99.00 1500  -9.967839
101 100.00 1500  -9.944515
102 101.00 1500  -9.917978
103 102.00 1500  -9.891578
104 103.00 1500  -9.865314
105 104.00 1500  -9.839185
106 105.00 1500  -9.813191
107 106.00 1500  -9.787329
108 107.00 1500  -9.761600
109 108.00 1500  -9.736003
110 109.00 1500  -9.710536
111 110.00 1500  -9.685199
112 111.00 1500  -9.659990
113 112.00 1500  -9.634909
114 113.00 1500  -9.609955
115 114.00 1500  -9.585127
116 115.00 1500  -9.560424
117 116.00 1500  -9.535845
118 117.00 1500  -9.511389
119 118.00 1500  -9.487056
120 119.00 1500  -9.462845
121 120.00 1500  -9.438754
122 121.00 1500  -9.414783
123 122.00 1500  -9.390932
124 123.00 1500  -9.367198
