$reaction
    coeff    name formula state ispecies
926    -3 methane     CH4    aq      926
928     1 propane    C3H8    aq      928
63      2      H2      H2    aq       63

$out
         T    P       logK
1     0.01 1500 -25.095730
2     1.00 1500 -25.009512
3     2.00 1500 -24.922882
4     3.00 1500 -24.836717
5     4.00 1500 -24.751022
6     5.00 1500 -24.665797
7     6.00 1500 -24.581046
8     7.00 1500 -24.496769
9     8.00 1500 -24.412968
10    9.00 1500 -24.329643
11   10.00 1500 -24.246795
12   11.00 1500 -24.164424
13   12.00 1500 -24.082529
14   13.00 1500 -24.001109
15   14.00 1500 -23.920165
16   15.00 1500 -23.839694
17   16.00 1500 -23.759696
18   17.00 1500 -23.680170
19   18.00 1500 -23.601112
20   19.00 1500 -23.522523
21   20.00 1500 -23.444400
22   21.00 1500 -23.366740
23   22.00 1500 -23.289543
24   23.00 1500 -23.212805
25   24.00 1500 -23.136525
26   25.00 1500 -23.060700
27   26.00 1500 -22.985327
28   27.00 1500 -22.910404
29   28.00 1500 -22.835929
30   29.00 1500 -22.761899
31   30.00 1500 -22.688311
32   31.00 1500 -22.615163
33   32.00 1500 -22.542451
34   33.00 1500 -22.470173
35   34.00 1500 -22.398326
36   35.00 1500 -22.326908
37   36.00 1500 -22.255915
38   37.00 1500 -22.185345
39   38.00 1500 -22.115195
40   39.00 1500 -22.045462
41   40.00 1500 -21.976142
42   41.00 1500 -21.907234
43   42.00 1500 -21.838734
44   43.00 1500 -21.770639
45   44.00 1500 -21.702947
46   45.00 1500 -21.635654
47   46.00 1500 -21.568757
48   47.00 1500 -21.502255
49   48.00 1500 -21.436143
50   49.00 1500 -21.370419
51   50.00 1500 -21.305080
52   51.00 1500 -21.240123
53   52.00 1500 -21.175546
54   53.00 1500 -21.111345
55   54.00 1500 -21.047518
56   55.00 1500 -20.984061
57   56.00 1500 -20.920973
58   57.00 1500 -20.858250
59   58.00 1500 -20.795890
60   59.00 1500 -20.733889
61   60.00 1500 -20.672246
62   61.00 1500 -20.610957
63   62.00 1500 -20.550019
64   63.00 1500 -20.489430
65   64.00 1500 -20.429188
66   65.00 1500 -20.369290
67   66.00 1500 -20.309732
68   67.00 1500 -20.250513
69   68.00 1500 -20.191629
70   69.00 1500 -20.133079
71   70.00 1500 -20.074860
72   71.00 1500 -20.016969
73   72.00 1500 -19.959403
74   73.00 1500 -19.902161
75   74.00 1500 -19.845239
76   75.00 1500 -19.788636
77   76.00 1500 -19.732348
78   77.00 1500 -19.676374
79   78.00 1500 -19.620711
80   79.00 1500 -19.565356
81   80.00 1500 -19.510308
82   81.00 1500 -19.455563
83   82.00 1500 -19.401120
84   83.00 1500 -19.346977
85   84.00 1500 -19.293131
86   85.00 1500 -19.239579
87   86.00 1500 -19.186320
88   87.00 1500 -19.133351
89   88.00 1500 -19.080670
90   89.00 1500 -19.028276
91   90.00 1500 -18.976165
92   91.00 1500 -18.924335
93   92.00 1500 -18.872786
94   93.00 1500 -18.821513
95   94.00 1500 -18.770516
96   95.00 1500 -18.719793
97   96.00 1500 -18.669340
98   97.00 1500 -18.619157
99   98.00 1500 -18.569240
100  99.00 1500 -18.519589
101 100.00 1500 -18.475210
102 101.00 1500 -18.426078
103 102.00 1500 -18.377204
104 103.00 1500 -18.328585
105 104.00 1500 -18.280219
106 105.00 1500 -18.232105
107 106.00 1500 -18.184241
108 107.00 1500 -18.136624
109 108.00 1500 -18.089254
110 109.00 1500 -18.042128
111 110.00 1500 -17.995245
112 111.00 1500 -17.948603
113 112.00 1500 -17.902200
114 113.00 1500 -17.856034
115 114.00 1500 -17.810104
116 115.00 1500 -17.764408
117 116.00 1500 -17.718944
118 117.00 1500 -17.673712
119 118.00 1500 -17.628708
120 119.00 1500 -17.583932
121 120.00 1500 -17.539381
122 121.00 1500 -17.495055
123 122.00 1500 -17.450951
124 123.00 1500 -17.407069
125 124.00 1500 -17.363406
126 125.00 1500 -17.319960
127 126.00 1500 -17.276732
128 127.00 1500 -17.233718
129 128.00 1500 -17.190918
130 129.00 1500 -17.148330
131 130.00 1500 -17.105952
132 131.00 1500 -17.063783
133 132.00 1500 -17.021821
134 133.00 1500 -16.980066
135 134.00 1500 -16.938515
136 135.00 1500 -16.897168
137 136.00 1500 -16.856023
138 137.00 1500 -16.815078
139 138.00 1500 -16.774332
140 139.00 1500 -16.733783
141 140.00 1500 -16.693432
142 141.00 1500 -16.653275
143 142.00 1500 -16.613312
144 143.00 1500 -16.573541
145 144.00 1500 -16.533961
146 145.00 1500 -16.494571
147 146.00 1500 -16.455370
148 147.00 1500 -16.416356
149 148.00 1500 -16.377528
150 149.00 1500 -16.338884
151 150.00 1500 -16.300425
152 151.00 1500 -16.262147
153 152.00 1500 -16.224050
154 153.00 1500 -16.186133
155 154.00 1500 -16.148395
156 155.00 1500 -16.110835
157 156.00 1500 -16.073450
158 157.00 1500 -16.036241
159 158.00 1500 -15.999206
160 159.00 1500 -15.962343
161 160.00 1500 -15.925652
162 161.00 1500 -15.889132
163 162.00 1500 -15.852781
164 163.00 1500 -15.816599
165 164.00 1500 -15.780584
166 165.00 1500 -15.744735
167 166.00 1500 -15.709051
168 167.00 1500 -15.673531
169 168.00 1500 -15.638174
170 169.00 1500 -15.602978
171 170.00 1500 -15.567944
172 171.00 1500 -15.533070
173 172.00 1500 -15.498354
174 173.00 1500 -15.463797
175 174.00 1500 -15.429395
176 175.00 1500 -15.395150
177 176.00 1500 -15.361060
178 177.00 1500 -15.327123
179 178.00 1500 -15.293339
180 179.00 1500 -15.259707
181 180.00 1500 -15.226226
182 181.00 1500 -15.192895
183 182.00 1500 -15.159713
184 183.00 1500 -15.126679
185 184.00 1500 -15.093793
186 185.00 1500 -15.061052
187 186.00 1500 -15.028457
