$reaction
    coeff    name formula state ispecies
926    -4 methane     CH4    aq      926
929     1  butane   C4H10    aq      929
63      3      H2      H2    aq       63

$out
         T    P      logK
1     0.01 1500 -36.65319
2     1.00 1500 -36.52653
3     2.00 1500 -36.39930
4     3.00 1500 -36.27278
5     4.00 1500 -36.14697
6     5.00 1500 -36.02187
7     6.00 1500 -35.89749
8     7.00 1500 -35.77383
9     8.00 1500 -35.65088
10    9.00 1500 -35.52865
11   10.00 1500 -35.40713
12   11.00 1500 -35.28633
13   12.00 1500 -35.16625
14   13.00 1500 -35.04687
15   14.00 1500 -34.92821
16   15.00 1500 -34.81026
17   16.00 1500 -34.69301
18   17.00 1500 -34.57646
19   18.00 1500 -34.46061
20   19.00 1500 -34.34546
21   20.00 1500 -34.23101
22   21.00 1500 -34.11724
23   22.00 1500 -34.00416
24   23.00 1500 -33.89176
25   24.00 1500 -33.78005
26   25.00 1500 -33.66900
27   26.00 1500 -33.55863
28   27.00 1500 -33.44893
29   28.00 1500 -33.33988
30   29.00 1500 -33.23150
31   30.00 1500 -33.12377
32   31.00 1500 -33.01669
33   32.00 1500 -32.91026
34   33.00 1500 -32.80447
35   34.00 1500 -32.69931
36   35.00 1500 -32.59479
37   36.00 1500 -32.49090
38   37.00 1500 -32.38763
39   38.00 1500 -32.28498
40   39.00 1500 -32.18295
41   40.00 1500 -32.08153
42   41.00 1500 -31.98071
43   42.00 1500 -31.88049
44   43.00 1500 -31.78087
45   44.00 1500 -31.68185
46   45.00 1500 -31.58341
47   46.00 1500 -31.48556
48   47.00 1500 -31.38829
49   48.00 1500 -31.29159
50   49.00 1500 -31.19546
51   50.00 1500 -31.09990
52   51.00 1500 -31.00490
53   52.00 1500 -30.91047
54   53.00 1500 -30.81658
55   54.00 1500 -30.72324
56   55.00 1500 -30.63045
57   56.00 1500 -30.53820
58   57.00 1500 -30.44649
59   58.00 1500 -30.35531
60   59.00 1500 -30.26466
61   60.00 1500 -30.17453
62   61.00 1500 -30.08492
63   62.00 1500 -29.99583
64   63.00 1500 -29.90725
65   64.00 1500 -29.81919
66   65.00 1500 -29.73162
67   66.00 1500 -29.64456
68   67.00 1500 -29.55799
69   68.00 1500 -29.47191
70   69.00 1500 -29.38633
71   70.00 1500 -29.30123
72   71.00 1500 -29.21661
73   72.00 1500 -29.13247
74   73.00 1500 -29.04880
75   74.00 1500 -28.96561
