$reaction
     coeff    name formula state ispecies
926     -1 methane     CH4    aq      926
1       -1   water     H2O   liq        1
1089     1      CO      CO    aq     1089
63       3      H2      H2    aq       63

$out
         T    P       logK
1     0.01 1500 -41.061286
2     1.00 1500 -40.908052
3     2.00 1500 -40.753568
4     3.00 1500 -40.599415
5     4.00 1500 -40.445624
6     5.00 1500 -40.292218
7     6.00 1500 -40.139223
8     7.00 1500 -39.986658
9     8.00 1500 -39.834545
10    9.00 1500 -39.682899
11   10.00 1500 -39.531738
12   11.00 1500 -39.381074
13   12.00 1500 -39.230922
14   13.00 1500 -39.081291
15   14.00 1500 -38.932194
16   15.00 1500 -38.783638
17   16.00 1500 -38.635633
18   17.00 1500 -38.488186
19   18.00 1500 -38.341303
20   19.00 1500 -38.194991
21   20.00 1500 -38.049253
22   21.00 1500 -37.904096
23   22.00 1500 -37.759522
24   23.00 1500 -37.615535
25   24.00 1500 -37.472138
26   25.00 1500 -37.329333
27   26.00 1500 -37.187122
28   27.00 1500 -37.045507
29   28.00 1500 -36.904488
30   29.00 1500 -36.764067
31   30.00 1500 -36.624244
32   31.00 1500 -36.485019
33   32.00 1500 -36.346393
34   33.00 1500 -36.208364
35   34.00 1500 -36.070932
36   35.00 1500 -35.934097
37   36.00 1500 -35.797858
38   37.00 1500 -35.662213
39   38.00 1500 -35.527161
40   39.00 1500 -35.392701
41   40.00 1500 -35.258830
42   41.00 1500 -35.125548
43   42.00 1500 -34.992852
44   43.00 1500 -34.860741
45   44.00 1500 -34.729211
46   45.00 1500 -34.598262
47   46.00 1500 -34.467891
48   47.00 1500 -34.338095
49   48.00 1500 -34.208872
50   49.00 1500 -34.080220
51   50.00 1500 -33.952135
52   51.00 1500 -33.824616
53   52.00 1500 -33.697659
54   53.00 1500 -33.571262
55   54.00 1500 -33.445423
56   55.00 1500 -33.320137
57   56.00 1500 -33.195403
58   57.00 1500 -33.071217
59   58.00 1500 -32.947577
60   59.00 1500 -32.824480
61   60.00 1500 -32.701922
62   61.00 1500 -32.579902
63   62.00 1500 -32.458415
64   63.00 1500 -32.337458
65   64.00 1500 -32.217029
66   65.00 1500 -32.097126
67   66.00 1500 -31.977743
68   67.00 1500 -31.858879
69   68.00 1500 -31.740531
70   69.00 1500 -31.622695
71   70.00 1500 -31.505369
72   71.00 1500 -31.388549
73   72.00 1500 -31.272233
74   73.00 1500 -31.156416
75   74.00 1500 -31.041097
76   75.00 1500 -30.926272
77   76.00 1500 -30.811938
78   77.00 1500 -30.698093
79   78.00 1500 -30.584732
80   79.00 1500 -30.471853
81   80.00 1500 -30.359454
82   81.00 1500 -30.247530
83   82.00 1500 -30.136080
84   83.00 1500 -30.025100
85   84.00 1500 -29.914587
86   85.00 1500 -29.804538
87   86.00 1500 -29.694950
88   87.00 1500 -29.585821
89   88.00 1500 -29.477147
90   89.00 1500 -29.368925
91   90.00 1500 -29.261153
92   91.00 1500 -29.153829
93   92.00 1500 -29.046948
94   93.00 1500 -28.940508
95   94.00 1500 -28.834506
96   95.00 1500 -28.728940
