$reaction
    coeff    name formula state ispecies
926    -1 methane     CH4    aq      926
1      -3   water     H2O   liq        1
14      1   CO3-2   CO3-2    aq       14
3       2      H+      H+    aq        3
63      4      H2      H2    aq       63

$out
         T    P      logK
1     0.01 1500 -54.58320
2     1.00 1500 -54.43408
3     2.00 1500 -54.28343
4     3.00 1500 -54.13282
5     4.00 1500 -53.98231
6     5.00 1500 -53.83196
7     6.00 1500 -53.68182
8     7.00 1500 -53.53194
9     8.00 1500 -53.38235
10    9.00 1500 -53.23311
11   10.00 1500 -53.08424
12   11.00 1500 -52.93577
13   12.00 1500 -52.78774
14   13.00 1500 -52.64017
15   14.00 1500 -52.49309
16   15.00 1500 -52.34651
17   16.00 1500 -52.20046
18   17.00 1500 -52.05495
19   18.00 1500 -51.91000
20   19.00 1500 -51.76562
21   20.00 1500 -51.62183
22   21.00 1500 -51.47865
23   22.00 1500 -51.33607
24   23.00 1500 -51.19410
25   24.00 1500 -51.05277
26   25.00 1500 -50.91207
27   26.00 1500 -50.77201
28   27.00 1500 -50.63260
29   28.00 1500 -50.49384
30   29.00 1500 -50.35574
31   30.00 1500 -50.21829
32   31.00 1500 -50.08151
33   32.00 1500 -49.94540
34   33.00 1500 -49.80995
35   34.00 1500 -49.67517
36   35.00 1500 -49.54107
37   36.00 1500 -49.40764
38   37.00 1500 -49.27487
39   38.00 1500 -49.14279
40   39.00 1500 -49.01137
41   40.00 1500 -48.88063
42   41.00 1500 -48.75056
43   42.00 1500 -48.62115
44   43.00 1500 -48.49242
45   44.00 1500 -48.36436
46   45.00 1500 -48.23696
47   46.00 1500 -48.11023
48   47.00 1500 -47.98416
49   48.00 1500 -47.85876
50   49.00 1500 -47.73401
51   50.00 1500 -47.60992
52   51.00 1500 -47.48648
53   52.00 1500 -47.36369
54   53.00 1500 -47.24156
55   54.00 1500 -47.12007
56   55.00 1500 -46.99922
57   56.00 1500 -46.87901
58   57.00 1500 -46.75944
59   58.00 1500 -46.64051
60   59.00 1500 -46.52221
61   60.00 1500 -46.40454
62   61.00 1500 -46.28749
63   62.00 1500 -46.17106
64   63.00 1500 -46.05526
65   64.00 1500 -45.94007
66   65.00 1500 -45.82549
67   66.00 1500 -45.71152
68   67.00 1500 -45.59815
69   68.00 1500 -45.48539
70   69.00 1500 -45.37323
71   70.00 1500 -45.26166
72   71.00 1500 -45.15069
73   72.00 1500 -45.04030
74   73.00 1500 -44.93050
75   74.00 1500 -44.82128
76   75.00 1500 -44.71263
77   76.00 1500 -44.60456
78   77.00 1500 -44.49707
79   78.00 1500 -44.39014
80   79.00 1500 -44.28377
81   80.00 1500 -44.17797
82   81.00 1500 -44.07272
83   82.00 1500 -43.96803
84   83.00 1500 -43.86389
85   84.00 1500 -43.76029
86   85.00 1500 -43.65724
87   86.00 1500 -43.55472
88   87.00 1500 -43.45275
89   88.00 1500 -43.35131
90   89.00 1500 -43.25039
91   90.00 1500 -43.15001
92   91.00 1500 -43.05015
93   92.00 1500 -42.95080
94   93.00 1500 -42.85198
95   94.00 1500 -42.75366
96   95.00 1500 -42.65586
97   96.00 1500 -42.55856
98   97.00 1500 -42.46177
99   98.00 1500 -42.36548
100  99.00 1500 -42.26968
101 100.00 1500 -42.22946
102 101.00 1500 -42.13536
103 102.00 1500 -42.04148
104 103.00 1500 -41.94803
105 104.00 1500 -41.85502
106 105.00 1500 -41.76244
107 106.00 1500 -41.67030
108 107.00 1500 -41.57865
109 108.00 1500 -41.48744
110 109.00 1500 -41.39664
111 110.00 1500 -41.30620
112 111.00 1500 -41.21632
113 112.00 1500 -41.12671
114 113.00 1500 -41.03752
115 114.00 1500 -40.94874
116 115.00 1500 -40.86038
117 116.00 1500 -40.77257
118 117.00 1500 -40.68509
119 118.00 1500 -40.59796
120 119.00 1500 -40.51122
121 120.00 1500 -40.42489
122 121.00 1500 -40.33896
123 122.00 1500 -40.25343
124 123.00 1500 -40.16836
125 124.00 1500 -40.08362
126 125.00 1500 -39.99927
127 126.00 1500 -39.91531
128 127.00 1500 -39.83188
129 128.00 1500 -39.74869
130 129.00 1500 -39.66596
131 130.00 1500 -39.58354
132 131.00 1500 -39.50150
133 132.00 1500 -39.41985
134 133.00 1500 -39.33864
135 134.00 1500 -39.25773
136 135.00 1500 -39.17720
137 136.00 1500 -39.09704
138 137.00 1500 -39.01725
139 138.00 1500 -38.93783
140 139.00 1500 -38.85877
141 140.00 1500 -38.78001
142 141.00 1500 -38.70167
143 142.00 1500 -38.62377
144 143.00 1500 -38.54616
145 144.00 1500 -38.46890
146 145.00 1500 -38.39207
147 146.00 1500 -38.31566
148 147.00 1500 -38.23947
149 148.00 1500 -38.16362
150 149.00 1500 -38.08813
151 150.00 1500 -38.01298
152 151.00 1500 -37.93811
153 152.00 1500 -37.86365
154 153.00 1500 -37.78945
155 154.00 1500 -37.71561
156 155.00 1500 -37.64216
157 156.00 1500 -37.56906
158 157.00 1500 -37.49642
159 158.00 1500 -37.42398
160 159.00 1500 -37.35188
161 160.00 1500 -37.28010
162 161.00 1500 -37.20873
163 162.00 1500 -37.13761
164 163.00 1500 -37.06682
165 164.00 1500 -36.99628
166 165.00 1500 -36.92606
167 166.00 1500 -36.85616
168 167.00 1500 -36.78658
169 168.00 1500 -36.71739
170 169.00 1500 -36.64851
171 170.00 1500 -36.57995
172 171.00 1500 -36.51178
173 172.00 1500 -36.44384
174 173.00 1500 -36.37622
175 174.00 1500 -36.30890
176 175.00 1500 -36.24203
177 176.00 1500 -36.17526
178 177.00 1500 -36.10872
179 178.00 1500 -36.04256
180 179.00 1500 -35.97669
181 180.00 1500 -35.91113
