$reaction
     coeff          name formula state ispecies
926     -1       methane     CH4    aq      926
1       -3         water     H2O   liq        1
3464     1 carbonic acid   H2CO3    aq     3464
63       4            H2      H2    aq       63

$out
         T    P       logK
1     0.01 1500 -41.700064
2     1.00 1500 -41.551952
3     2.00 1500 -41.402271
4     3.00 1500 -41.252571
5     4.00 1500 -41.102900
6     5.00 1500 -40.953302
7     6.00 1500 -40.803817
8     7.00 1500 -40.654483
9     8.00 1500 -40.505334
10    9.00 1500 -40.356400
11   10.00 1500 -40.207710
12   11.00 1500 -40.059290
13   12.00 1500 -39.911164
14   13.00 1500 -39.763355
15   14.00 1500 -39.615882
16   15.00 1500 -39.468764
17   16.00 1500 -39.322018
18   17.00 1500 -39.175659
19   18.00 1500 -39.029702
20   19.00 1500 -38.884159
21   20.00 1500 -38.739044
22   21.00 1500 -38.594366
23   22.00 1500 -38.450136
24   23.00 1500 -38.306363
25   24.00 1500 -38.163054
26   25.00 1500 -38.020219
27   26.00 1500 -37.877863
28   27.00 1500 -37.735992
29   28.00 1500 -37.594613
30   29.00 1500 -37.453730
31   30.00 1500 -37.313348
32   31.00 1500 -37.173470
33   32.00 1500 -37.034101
34   33.00 1500 -36.895244
35   34.00 1500 -36.756900
36   35.00 1500 -36.619074
37   36.00 1500 -36.481766
38   37.00 1500 -36.344978
39   38.00 1500 -36.208712
40   39.00 1500 -36.072969
41   40.00 1500 -35.937749
42   41.00 1500 -35.803054
43   42.00 1500 -35.668884
44   43.00 1500 -35.535239
45   44.00 1500 -35.402119
46   45.00 1500 -35.269524
47   46.00 1500 -35.137454
48   47.00 1500 -35.005907
49   48.00 1500 -34.874884
50   49.00 1500 -34.744383
51   50.00 1500 -34.614404
52   51.00 1500 -34.484945
53   52.00 1500 -34.356006
54   53.00 1500 -34.227585
55   54.00 1500 -34.099681
56   55.00 1500 -33.972292
57   56.00 1500 -33.845416
58   57.00 1500 -33.719053
59   58.00 1500 -33.593200
60   59.00 1500 -33.467856
61   60.00 1500 -33.343019
62   61.00 1500 -33.218686
63   62.00 1500 -33.094856
64   63.00 1500 -32.971528
65   64.00 1500 -32.848698
66   65.00 1500 -32.726365
67   66.00 1500 -32.604526
68   67.00 1500 -32.483180
69   68.00 1500 -32.362325
70   69.00 1500 -32.241957
71   70.00 1500 -32.122075
72   71.00 1500 -32.002677
73   72.00 1500 -31.883760
74   73.00 1500 -31.765321
75   74.00 1500 -31.647360
76   75.00 1500 -31.529872
77   76.00 1500 -31.412856
78   77.00 1500 -31.296309
79   78.00 1500 -31.180229
80   79.00 1500 -31.064614
81   80.00 1500 -30.949461
82   81.00 1500 -30.834767
83   82.00 1500 -30.720531
84   83.00 1500 -30.606749
85   84.00 1500 -30.493420
86   85.00 1500 -30.380540
87   86.00 1500 -30.268108
88   87.00 1500 -30.156121
89   88.00 1500 -30.044576
90   89.00 1500 -29.933471
91   90.00 1500 -29.822804
92   91.00 1500 -29.712571
93   92.00 1500 -29.602772
94   93.00 1500 -29.493402
95   94.00 1500 -29.384461
96   95.00 1500 -29.275944
97   96.00 1500 -29.167851
98   97.00 1500 -29.060178
99   98.00 1500 -28.952923
100  99.00 1500 -28.846084
101 100.00 1500 -28.706038
102 101.00 1500 -28.600819
103 102.00 1500 -28.495779
104 103.00 1500 -28.391135
105 104.00 1500 -28.286884
106 105.00 1500 -28.183023
107 106.00 1500 -28.079552
108 107.00 1500 -27.976540
109 108.00 1500 -27.873909
110 109.00 1500 -27.771660
111 110.00 1500 -27.669719
112 111.00 1500 -27.568297
113 112.00 1500 -27.467109
114 113.00 1500 -27.366292
115 114.00 1500 -27.265847
116 115.00 1500 -27.165771
117 116.00 1500 -27.066206
118 117.00 1500 -26.966935
119 118.00 1500 -26.867955
120 119.00 1500 -26.769336
121 120.00 1500 -26.671077
122 121.00 1500 -26.573175
123 122.00 1500 -26.475629
124 123.00 1500 -26.378504
125 124.00 1500 -26.281660
126 125.00 1500 -26.185164
127 126.00 1500 -26.089016
128 127.00 1500 -25.993352
129 128.00 1500 -25.897890
130 129.00 1500 -25.802838
131 130.00 1500 -25.708056
132 131.00 1500 -25.613613
133 132.00 1500 -25.519505
134 133.00 1500 -25.425801
135 134.00 1500 -25.332359
136 135.00 1500 -25.239246
137 136.00 1500 -25.146462
138 137.00 1500 -25.054005
139 138.00 1500 -24.961869
140 139.00 1500 -24.870056
141 140.00 1500 -24.778493
142 141.00 1500 -24.687318
143 142.00 1500 -24.596529
144 143.00 1500 -24.505986
145 144.00 1500 -24.415758
146 145.00 1500 -24.325911
147 146.00 1500 -24.236442
148 147.00 1500 -24.147145
149 148.00 1500 -24.058153
150 149.00 1500 -23.969467
151 150.00 1500 -23.881084
152 151.00 1500 -23.792934
153 152.00 1500 -23.705150
154 153.00 1500 -23.617595
155 154.00 1500 -23.530337
156 155.00 1500 -23.443442
157 156.00 1500 -23.356839
158 157.00 1500 -23.270667
159 158.00 1500 -23.184646
160 159.00 1500 -23.098914
161 160.00 1500 -23.013470
162 161.00 1500 -22.928380
163 162.00 1500 -22.843504
164 163.00 1500 -22.758911
165 164.00 1500 -22.674530
166 165.00 1500 -22.590424
167 166.00 1500 -22.506597
168 167.00 1500 -22.423047
169 168.00 1500 -22.339837
170 169.00 1500 -22.256901
171 170.00 1500 -22.174236
172 171.00 1500 -22.091910
173 172.00 1500 -22.009784
174 173.00 1500 -21.927925
175 174.00 1500 -21.846332
176 175.00 1500 -21.765138
177 176.00 1500 -21.684003
178 177.00 1500 -21.603061
179 178.00 1500 -21.522445
180 179.00 1500 -21.442088
181 180.00 1500 -21.361989
182 181.00 1500 -21.282211
183 182.00 1500 -21.202688
184 183.00 1500 -21.123553
185 184.00 1500 -21.044534
186 185.00 1500 -20.965835
187 186.00 1500 -20.887315
188 187.00 1500 -20.809044
189 188.00 1500 -20.730881
190 189.00 1500 -20.652964
191 190.00 1500 -20.575291
192 191.00 1500 -20.497926
193 192.00 1500 -20.420872
194 193.00 1500 -20.344055
195 194.00 1500 -20.267476
196 195.00 1500 -20.191134
197 196.00 1500 -20.115028
198 197.00 1500 -20.039290
199 198.00 1500 -19.963653
200 199.00 1500 -19.888110
201 200.00 1500 -19.812865
202 201.00 1500 -19.737784
203 202.00 1500 -19.663136
204 203.00 1500 -19.588512
205 204.00 1500 -19.514179
206 205.00 1500 -19.440138
207 206.00 1500 -19.366320
208 207.00 1500 -19.292725
209 208.00 1500 -19.219350
210 209.00 1500 -19.146197
211 210.00 1500 -19.073126
212 211.00 1500 -19.000543
213 212.00 1500 -18.927907
214 213.00 1500 -18.855619
215 214.00 1500 -18.783415
216 215.00 1500 -18.711425
217 216.00 1500 -18.639711
218 217.00 1500 -18.568275
219 218.00 1500 -18.497049
220 219.00 1500 -18.426032
221 220.00 1500 -18.355285
222 221.00 1500 -18.284684
223 222.00 1500 -18.214151
224 223.00 1500 -18.143824
225 224.00 1500 -18.073701
226 225.00 1500 -18.003781
227 226.00 1500 -17.934127
228 227.00 1500 -17.864611
229 228.00 1500 -17.795559
230 229.00 1500 -17.726570
231 230.00 1500 -17.657778
232 231.00 1500 -17.589315
233 232.00 1500 -17.520778
234 233.00 1500 -17.452437
235 234.00 1500 -17.384290
236 235.00 1500 -17.316604
237 236.00 1500 -17.248842
238 237.00 1500 -17.181270
239 238.00 1500 -17.113889
240 239.00 1500 -17.046826
241 240.00 1500 -16.979951
242 241.00 1500 -16.913125
243 242.00 1500 -16.846485
244 243.00 1500 -16.780295
245 244.00 1500 -16.714026
246 245.00 1500 -16.647939
247 246.00 1500 -16.582171
248 247.00 1500 -16.516447
249 248.00 1500 -16.450905
250 249.00 1500 -16.385543
251 250.00 1500 -16.320489
252 251.00 1500 -16.255744
253 252.00 1500 -16.191178
254 253.00 1500 -16.126516
255 254.00 1500 -16.062029
256 255.00 1500 -15.997717
257 256.00 1500 -15.933577
258 257.00 1500 -15.869611
259 258.00 1500 -15.806086
260 259.00 1500 -15.742463
261 260.00 1500 -15.679000
262 261.00 1500 -15.615577
263 262.00 1500 -15.552453
264 263.00 1500 -15.489634
265 264.00 1500 -15.427110
266 265.00 1500 -15.364484
267 266.00 1500 -15.302023
268 267.00 1500 -15.239728
269 268.00 1500 -15.177731
270 269.00 1500 -15.115763
271 270.00 1500 -15.053954
272 271.00 1500 -14.992570
273 272.00 1500 -14.931073
274 273.00 1500 -14.870010
275 274.00 1500 -14.808830
276 275.00 1500 -14.747810
277 276.00 1500 -14.686945
278 277.00 1500 -14.626370
279 278.00 1500 -14.565948
280 279.00 1500 -14.505410
281 280.00 1500 -14.445167
282 281.00 1500 -14.384937
283 282.00 1500 -14.324861
284 283.00 1500 -14.265064
285 284.00 1500 -14.205827
286 285.00 1500 -14.146332
287 286.00 1500 -14.086988
288 287.00 1500 -14.027791
289 288.00 1500 -13.968880
290 289.00 1500 -13.910245
291 290.00 1500 -13.851489
292 291.00 1500 -13.792739
293 292.00 1500 -13.734266
294 293.00 1500 -13.676212
295 294.00 1500 -13.618159
296 295.00 1500 -13.560116
297 296.00 1500 -13.502072
298 297.00 1500 -13.444444
299 298.00 1500 -13.386684
300 299.00 1500 -13.329336
301 300.00 1500 -13.271856
302 301.00 1500 -13.214787
303 302.00 1500 -13.157723
304 303.00 1500 -13.100657
305 304.00 1500 -13.043860
306 305.00 1500 -12.987199
307 306.00 1500 -12.931082
308 307.00 1500 -12.874690
309 308.00 1500 -12.818430
310 309.00 1500 -12.762162
311 310.00 1500 -12.706577
312 311.00 1500 -12.650575
313 312.00 1500 -12.594690
314 313.00 1500 -12.539083
315 314.00 1500 -12.483738
316 315.00 1500 -12.428378
317 316.00 1500 -12.373159
318 317.00 1500 -12.317924
319 318.00 1500 -12.263092
320 319.00 1500 -12.208389
321 320.00 1500 -12.153532
322 321.00 1500 -12.099081
323 322.00 1500 -12.044475
324 323.00 1500 -11.990140
325 324.00 1500 -11.935916
326 325.00 1500 -11.882091
327 326.00 1500 -11.828256
328 327.00 1500 -11.774255
329 328.00 1500 -11.720376
330 329.00 1500 -11.667028
331 330.00 1500 -11.613241
332 331.00 1500 -11.559858
333 332.00 1500 -11.506446
334 333.00 1500 -11.453572
335 334.00 1500 -11.400543
336 335.00 1500 -11.347485
337 336.00 1500 -11.294824
338 337.00 1500 -11.242280
339 338.00 1500 -11.189570
340 339.00 1500 -11.137255
341 340.00 1500 -11.084919
342 341.00 1500 -11.032688
343 342.00 1500 -10.980432
344 343.00 1500 -10.928715
345 344.00 1500 -10.876520
346 345.00 1500 -10.824438
347 346.00 1500 -10.773185
348 347.00 1500 -10.721324
349 348.00 1500 -10.669725
350 349.00 1500 -10.618651
351 350.00 1500 -10.567255
352 351.00 1500 -10.516116
353 352.00 1500 -10.465224
354 353.00 1500 -10.414290
355 354.00 1500 -10.363472
356 355.00 1500 -10.312898
357 356.00 1500 -10.262430
358 357.00 1500 -10.211780
359 358.00 1500 -10.161519
360 359.00 1500 -10.111054
361 360.00 1500 -10.060405
362 361.00 1500 -10.010456
363 362.00 1500  -9.960160
364 363.00 1500  -9.910266
365 364.00 1500  -9.860596
366 365.00 1500  -9.810597
367 366.00 1500  -9.761004
368 367.00 1500  -9.711633
369 368.00 1500  -9.662374
370 369.00 1500  -9.612912
371 370.00 1500  -9.563835
372 371.00 1500  -9.514870
373 372.00 1500  -9.465701
374 373.00 1500  -9.417215
375 374.00 1500  -9.368236
376 375.00 1500  -9.319181
377 376.00 1500  -9.270834
378 377.00 1500  -9.221824
379 378.00 1500  -9.173670
380 379.00 1500  -9.124987
381 380.00 1500  -9.076262
382 381.00 1500  -9.028385
383 382.00 1500  -8.979981
384 383.00 1500  -8.932134
385 384.00 1500  -8.884204
386 385.00 1500  -8.836219
387 386.00 1500  -8.788600
388 387.00 1500  -8.740794
389 388.00 1500  -8.693206
390 389.00 1500  -8.645724
391 390.00 1500  -8.597856
392 391.00 1500  -8.550861
393 392.00 1500  -8.503312
394 393.00 1500  -8.456489
395 394.00 1500  -8.409114
396 395.00 1500  -8.362007
397 396.00 1500  -8.315114
398 397.00 1500  -8.268316
399 398.00 1500  -8.221596
400 399.00 1500  -8.174501
401 400.00 1500  -8.127957
402 401.00 1500  -8.081626
403 402.00 1500  -8.035390
404 403.00 1500  -7.989223
405 404.00 1500  -7.943148
406 405.00 1500  -7.896499
407 406.00 1500  -7.850889
408 407.00 1500  -7.804403
409 408.00 1500  -7.758952
410 409.00 1500  -7.712620
411 410.00 1500  -7.667025
412 411.00 1500  -7.621154
413 412.00 1500  -7.575354
414 413.00 1500  -7.529639
415 414.00 1500  -7.483346
416 415.00 1500  -7.438137
417 416.00 1500  -7.392299
418 417.00 1500  -7.347235
419 418.00 1500  -7.301550
420 419.00 1500  -7.256933
421 420.00 1500  -7.211392
422 421.00 1500  -7.166923
423 422.00 1500  -7.121531
424 423.00 1500  -7.077207
425 424.00 1500  -7.031961
426 425.00 1500  -6.987774
427 426.00 1500  -6.942674
428 427.00 1500  -6.897990
429 428.00 1500  -6.854018
430 429.00 1500  -6.809129
431 430.00 1500  -6.765289
432 431.00 1500  -6.720540
433 432.00 1500  -6.676837
434 433.00 1500  -6.631863
435 434.00 1500  -6.588294
436 435.00 1500  -6.543372
437 436.00 1500  -6.499937
438 437.00 1500  -6.455151
439 438.00 1500  -6.411849
440 439.00 1500  -6.367583
441 440.00 1500  -6.324026
442 441.00 1500  -6.279892
443 442.00 1500  -6.236137
444 443.00 1500  -6.192454
445 444.00 1500  -6.148828
446 445.00 1500  -6.105272
447 446.00 1500  -6.062153
448 447.00 1500  -6.018343
449 448.00 1500  -5.975348
450 449.00 1500  -5.932348
451 450.00 1500  -5.888782
452 451.00 1500  -5.846289
453 452.00 1500  -5.802467
454 453.00 1500  -5.760085
455 454.00 1500  -5.716700
456 455.00 1500  -5.674442
457 456.00 1500  -5.631167
458 457.00 1500  -5.589023
459 458.00 1500  -5.546247
460 459.00 1500  -5.503011
461 460.00 1500  -5.460350
462 461.00 1500  -5.417229
463 462.00 1500  -5.374680
464 463.00 1500  -5.332863
465 464.00 1500  -5.289235
466 465.00 1500  -5.247535
467 466.00 1500  -5.204348
468 467.00 1500  -5.162745
469 468.00 1500  -5.120015
470 469.00 1500  -5.078177
471 470.00 1500  -5.036733
472 471.00 1500  -4.993811
473 472.00 1500  -4.952476
474 473.00 1500  -4.909659
475 474.00 1500  -4.868425
476 475.00 1500  -4.825719
477 476.00 1500  -4.783655
478 477.00 1500  -4.742227
479 478.00 1500  -4.700012
480 479.00 1500  -4.657757
481 480.00 1500  -4.616061
482 481.00 1500  -4.574413
483 482.00 1500  -4.532648
484 483.00 1500  -4.490347
485 484.00 1500  -4.449586
486 485.00 1500  -4.406880
487 486.00 1500  -4.365808
488 487.00 1500  -4.324440
489 488.00 1500  -4.282960
490 489.00 1500  -4.242024
491 490.00 1500  -4.200792
492 491.00 1500  -4.160357
493 492.00 1500  -4.117904
494 493.00 1500  -4.077552
495 494.00 1500  -4.036830
496 495.00 1500  -3.994926
497 496.00 1500  -3.954689
498 497.00 1500  -3.913724
499 498.00 1500  -3.872672
500 499.00 1500  -3.832187
501 500.00 1500  -3.791721

