$reaction
    coeff    name formula state ispecies
926    -1 methane     CH4    aq      926
1      -3   water     H2O   liq        1
13      1   HCO3-   HCO3-    aq       13
3       1      H+      H+    aq        3
63      4      H2      H2    aq       63

$out
         T    P      logK
1     0.01 1500 -44.95005
2     1.00 1500 -44.79706
3     2.00 1500 -44.64292
4     3.00 1500 -44.48920
5     4.00 1500 -44.33593
6     5.00 1500 -44.18315
7     6.00 1500 -44.03087
8     7.00 1500 -43.87913
9     8.00 1500 -43.72794
10    9.00 1500 -43.57732
11   10.00 1500 -43.42728
12   11.00 1500 -43.27785
13   12.00 1500 -43.12903
14   13.00 1500 -42.98083
15   14.00 1500 -42.83328
16   15.00 1500 -42.68636
17   16.00 1500 -42.54010
18   17.00 1500 -42.39450
19   18.00 1500 -42.24957
20   19.00 1500 -42.10531
21   20.00 1500 -41.96172
22   21.00 1500 -41.81881
23   22.00 1500 -41.67659
24   23.00 1500 -41.53505
25   24.00 1500 -41.39420
26   25.00 1500 -41.25404
27   26.00 1500 -41.11457
28   27.00 1500 -40.97580
29   28.00 1500 -40.83771
30   29.00 1500 -40.70031
31   30.00 1500 -40.56361
32   31.00 1500 -40.42759
33   32.00 1500 -40.29226
34   33.00 1500 -40.15763
35   34.00 1500 -40.02367
36   35.00 1500 -39.89040
37   36.00 1500 -39.75782
38   37.00 1500 -39.62591
39   38.00 1500 -39.49469
40   39.00 1500 -39.36414
41   40.00 1500 -39.23426
42   41.00 1500 -39.10505
43   42.00 1500 -38.97651
44   43.00 1500 -38.84863
45   44.00 1500 -38.72142
46   45.00 1500 -38.59487
47   46.00 1500 -38.46897
48   47.00 1500 -38.34372
49   48.00 1500 -38.21912
50   49.00 1500 -38.09517
51   50.00 1500 -37.97185
52   51.00 1500 -37.84918
53   52.00 1500 -37.72714
54   53.00 1500 -37.60573
55   54.00 1500 -37.48495
56   55.00 1500 -37.36480
57   56.00 1500 -37.24526
58   57.00 1500 -37.12634
59   58.00 1500 -37.00803
60   59.00 1500 -36.89033
61   60.00 1500 -36.77324
62   61.00 1500 -36.65675
63   62.00 1500 -36.54085
64   63.00 1500 -36.42555
65   64.00 1500 -36.31084
66   65.00 1500 -36.19672
67   66.00 1500 -36.08318
68   67.00 1500 -35.97022
69   68.00 1500 -35.85783
70   69.00 1500 -35.74601
