$reaction
     coeff    name formula state ispecies
926     -1 methane     CH4    aq      926
1       -2   water     H2O   liq        1
1127     1 formate   HCOO-    aq     1127
3        1      H+      H+    aq        3
63       3      H2      H2    aq       63

$out
         T    P      logK
1     0.01 1500 -41.25298
2     1.00 1500 -41.10515
3     2.00 1500 -40.95656
4     3.00 1500 -40.80872
5     4.00 1500 -40.66162
6     5.00 1500 -40.51529
7     6.00 1500 -40.36972
8     7.00 1500 -40.22493
9     8.00 1500 -40.08091
10    9.00 1500 -39.93768
11   10.00 1500 -39.79523
12   11.00 1500 -39.65356
13   12.00 1500 -39.51269
14   13.00 1500 -39.37260
15   14.00 1500 -39.23330
16   15.00 1500 -39.09479
17   16.00 1500 -38.95706
18   17.00 1500 -38.82012
19   18.00 1500 -38.68395
20   19.00 1500 -38.54857
21   20.00 1500 -38.41397
22   21.00 1500 -38.28014
23   22.00 1500 -38.14709
24   23.00 1500 -38.01480
25   24.00 1500 -37.88327
26   25.00 1500 -37.75251
27   26.00 1500 -37.62250
28   27.00 1500 -37.49325
29   28.00 1500 -37.36475
30   29.00 1500 -37.23698
31   30.00 1500 -37.10996
32   31.00 1500 -36.98368
33   32.00 1500 -36.85812
34   33.00 1500 -36.73329
35   34.00 1500 -36.60918
36   35.00 1500 -36.48579
37   36.00 1500 -36.36311
38   37.00 1500 -36.24114
39   38.00 1500 -36.11987
40   39.00 1500 -35.99929
41   40.00 1500 -35.87941
42   41.00 1500 -35.76021
43   42.00 1500 -35.64170
44   43.00 1500 -35.52386
45   44.00 1500 -35.40670
46   45.00 1500 -35.29020
47   46.00 1500 -35.17437
48   47.00 1500 -35.05919
49   48.00 1500 -34.94467
50   49.00 1500 -34.83079
51   50.00 1500 -34.71755
52   51.00 1500 -34.60496
53   52.00 1500 -34.49299
54   53.00 1500 -34.38166
55   54.00 1500 -34.27095
56   55.00 1500 -34.16085
57   56.00 1500 -34.05137
58   57.00 1500 -33.94250
59   58.00 1500 -33.83424
60   59.00 1500 -33.72657
61   60.00 1500 -33.61950
62   61.00 1500 -33.51302
63   62.00 1500 -33.40712
64   63.00 1500 -33.30181
65   64.00 1500 -33.19707
66   65.00 1500 -33.09291
67   66.00 1500 -32.98931
68   67.00 1500 -32.88628
69   68.00 1500 -32.78381
