$reaction
     coeff        name formula state ispecies
926     -1     methane     CH4    aq      926
1       -2       water     H2O   liq        1
1102     1 formic acid   HCOOH    aq     1102
63       3          H2      H2    aq       63

$out
         T    P       logK
1     0.01 1500 -37.709962
2     1.00 1500 -37.565410
3     2.00 1500 -37.419909
4     3.00 1500 -37.274943
5     4.00 1500 -37.130530
6     5.00 1500 -36.986688
7     6.00 1500 -36.843430
8     7.00 1500 -36.700772
9     8.00 1500 -36.558722
10    9.00 1500 -36.417293
11   10.00 1500 -36.276493
12   11.00 1500 -36.136329
13   12.00 1500 -35.996808
14   13.00 1500 -35.857936
15   14.00 1500 -35.719718
16   15.00 1500 -35.582158
17   16.00 1500 -35.445258
18   17.00 1500 -35.309022
19   18.00 1500 -35.173452
20   19.00 1500 -35.038549
21   20.00 1500 -34.904314
22   21.00 1500 -34.770748
23   22.00 1500 -34.637851
24   23.00 1500 -34.505623
25   24.00 1500 -34.374063
26   25.00 1500 -34.243170
27   26.00 1500 -34.112943
28   27.00 1500 -33.983380
29   28.00 1500 -33.854480
30   29.00 1500 -33.726241
31   30.00 1500 -33.598661
32   31.00 1500 -33.471738
33   32.00 1500 -33.345468
34   33.00 1500 -33.219850
35   34.00 1500 -33.094880
36   35.00 1500 -32.970556
37   36.00 1500 -32.846874
38   37.00 1500 -32.723832
39   38.00 1500 -32.601426
40   39.00 1500 -32.479653
41   40.00 1500 -32.358509
42   41.00 1500 -32.237992
43   42.00 1500 -32.118097
44   43.00 1500 -31.998821
45   44.00 1500 -31.880161
46   45.00 1500 -31.762112
47   46.00 1500 -31.644671
48   47.00 1500 -31.527835
49   48.00 1500 -31.411599
50   49.00 1500 -31.295960
51   50.00 1500 -31.180913
52   51.00 1500 -31.066456
53   52.00 1500 -30.952584
54   53.00 1500 -30.839294
55   54.00 1500 -30.726581
56   55.00 1500 -30.614442
57   56.00 1500 -30.502872
58   57.00 1500 -30.391869
59   58.00 1500 -30.281428
60   59.00 1500 -30.171545
61   60.00 1500 -30.062217
62   61.00 1500 -29.953439
63   62.00 1500 -29.845208
64   63.00 1500 -29.737520
65   64.00 1500 -29.630371
66   65.00 1500 -29.523758
67   66.00 1500 -29.417676
68   67.00 1500 -29.312122
69   68.00 1500 -29.207093
70   69.00 1500 -29.102583
71   70.00 1500 -28.998591
72   71.00 1500 -28.895111
73   72.00 1500 -28.792141
74   73.00 1500 -28.689677
75   74.00 1500 -28.587715
76   75.00 1500 -28.486251
77   76.00 1500 -28.385282
78   77.00 1500 -28.284805
79   78.00 1500 -28.184815
80   79.00 1500 -28.085310
81   80.00 1500 -27.986286
82   81.00 1500 -27.887739
83   82.00 1500 -27.789666
84   83.00 1500 -27.692064
85   84.00 1500 -27.594929
86   85.00 1500 -27.498258
87   86.00 1500 -27.402047
88   87.00 1500 -27.306294
89   88.00 1500 -27.210994
90   89.00 1500 -27.116145
91   90.00 1500 -27.021744
92   91.00 1500 -26.927786
93   92.00 1500 -26.834270
94   93.00 1500 -26.741192
95   94.00 1500 -26.648548
96   95.00 1500 -26.556335
97   96.00 1500 -26.464552
98   97.00 1500 -26.373193
99   98.00 1500 -26.282257
100  99.00 1500 -26.191741
101 100.00 1500 -26.077770
102 101.00 1500 -25.988616
103 102.00 1500 -25.899720
104 103.00 1500 -25.811224
105 104.00 1500 -25.723128
106 105.00 1500 -25.635426
107 106.00 1500 -25.548117
108 107.00 1500 -25.461247
109 108.00 1500 -25.374762
110 109.00 1500 -25.288661
111 110.00 1500 -25.202894
112 111.00 1500 -25.117600
113 112.00 1500 -25.032589
114 113.00 1500 -24.947949
115 114.00 1500 -24.863681
116 115.00 1500 -24.779783
117 116.00 1500 -24.696346
118 117.00 1500 -24.613225
119 118.00 1500 -24.530418
120 119.00 1500 -24.447970
121 120.00 1500 -24.365878
122 121.00 1500 -24.284141
123 122.00 1500 -24.202755
124 123.00 1500 -24.121765
125 124.00 1500 -24.041074
126 125.00 1500 -23.960728
127 126.00 1500 -23.880724
128 127.00 1500 -23.801153
129 128.00 1500 -23.721825
130 129.00 1500 -23.642879
131 130.00 1500 -23.564220
132 131.00 1500 -23.485892
133 132.00 1500 -23.407893
134 133.00 1500 -23.330268
135 134.00 1500 -23.252920
136 135.00 1500 -23.175895
137 136.00 1500 -23.099190
138 137.00 1500 -23.022803
139 138.00 1500 -22.946731
140 139.00 1500 -22.870972
141 140.00 1500 -22.795478
142 141.00 1500 -22.720340
143 142.00 1500 -22.645556
144 143.00 1500 -22.571031
145 144.00 1500 -22.496811
146 145.00 1500 -22.422939
147 146.00 1500 -22.349412
148 147.00 1500 -22.276092
149 148.00 1500 -22.203067
150 149.00 1500 -22.130337
151 150.00 1500 -22.057898
152 151.00 1500 -21.985704
153 152.00 1500 -21.913843
154 153.00 1500 -21.842223
155 154.00 1500 -21.770887
156 155.00 1500 -21.699879
157 156.00 1500 -21.629153
158 157.00 1500 -21.558798
159 158.00 1500 -21.488628
160 159.00 1500 -21.418735
161 160.00 1500 -21.349116
162 161.00 1500 -21.279816
163 162.00 1500 -21.210739
164 163.00 1500 -21.141933
165 164.00 1500 -21.073347
166 165.00 1500 -21.005025
167 166.00 1500 -20.936968
168 167.00 1500 -20.869173
169 168.00 1500 -20.801683
170 169.00 1500 -20.734453
171 170.00 1500 -20.667481
172 171.00 1500 -20.600809
173 172.00 1500 -20.534347
174 173.00 1500 -20.468136
175 174.00 1500 -20.402178
176 175.00 1500 -20.336559
177 176.00 1500 -20.271052
178 177.00 1500 -20.205746
179 178.00 1500 -20.140729
180 179.00 1500 -20.075957
181 180.00 1500 -20.011426
182 181.00 1500 -19.947180
183 182.00 1500 -19.883174
184 183.00 1500 -19.819495
185 184.00 1500 -19.755962
186 185.00 1500 -19.692710
187 186.00 1500 -19.629645
188 187.00 1500 -19.566813
189 188.00 1500 -19.504120
190 189.00 1500 -19.441656
191 190.00 1500 -19.379421
192 191.00 1500 -19.317456
193 192.00 1500 -19.255762
194 193.00 1500 -19.194291
195 194.00 1500 -19.133041
196 195.00 1500 -19.072013
197 196.00 1500 -19.011205
198 197.00 1500 -18.950704
199 198.00 1500 -18.890331
200 199.00 1500 -18.830083
201 200.00 1500 -18.770094
202 201.00 1500 -18.710274
203 202.00 1500 -18.650803
204 203.00 1500 -18.591407
205 204.00 1500 -18.532265
206 205.00 1500 -18.473375
207 206.00 1500 -18.414691
208 207.00 1500 -18.356215
209 208.00 1500 -18.297942
210 209.00 1500 -18.239874
211 210.00 1500 -18.181916
212 211.00 1500 -18.124340
213 212.00 1500 -18.066785
214 213.00 1500 -18.009517
215 214.00 1500 -17.952358
216 215.00 1500 -17.895397
217 216.00 1500 -17.838675
218 217.00 1500 -17.782191
219 218.00 1500 -17.725900
220 219.00 1500 -17.669801
221 220.00 1500 -17.613935
222 221.00 1500 -17.558217
223 222.00 1500 -17.502597
224 223.00 1500 -17.447166
225 224.00 1500 -17.391921
226 225.00 1500 -17.336863
227 226.00 1500 -17.282032
228 227.00 1500 -17.227343
229 228.00 1500 -17.173012
230 229.00 1500 -17.118773
231 230.00 1500 -17.064714
232 231.00 1500 -17.010922
233 232.00 1500 -16.957130
234 233.00 1500 -16.903516
235 234.00 1500 -16.850078
236 235.00 1500 -16.796995
237 236.00 1500 -16.743908
238 237.00 1500 -16.690994
239 238.00 1500 -16.638254
240 239.00 1500 -16.585772
241 240.00 1500 -16.533460
242 241.00 1500 -16.481226
243 242.00 1500 -16.429161
244 243.00 1500 -16.377441
245 244.00 1500 -16.325712
246 245.00 1500 -16.274148
247 246.00 1500 -16.222841
248 247.00 1500 -16.171607
249 248.00 1500 -16.120536
250 249.00 1500 -16.069629
251 250.00 1500 -16.018969
252 251.00 1500 -15.968558
253 252.00 1500 -15.918307
254 253.00 1500 -15.868034
255 254.00 1500 -15.817919
256 255.00 1500 -15.767962
257 256.00 1500 -15.718161
258 257.00 1500 -15.668516
259 258.00 1500 -15.619205
260 259.00 1500 -15.569868
261 260.00 1500 -15.520678
262 261.00 1500 -15.471554
263 262.00 1500 -15.422668
264 263.00 1500 -15.374025
265 264.00 1500 -15.325616
266 265.00 1500 -15.277178
267 266.00 1500 -15.228889
268 267.00 1500 -15.180748
269 268.00 1500 -15.132843
270 269.00 1500 -15.084995
271 270.00 1500 -15.037289
272 271.00 1500 -14.989904
273 272.00 1500 -14.942480
274 273.00 1500 -14.895382
275 274.00 1500 -14.848242
276 275.00 1500 -14.801244
277 276.00 1500 -14.754386
278 277.00 1500 -14.707756
279 278.00 1500 -14.661263
280 279.00 1500 -14.614728
281 280.00 1500 -14.568424
282 281.00 1500 -14.522164
283 282.00 1500 -14.476039
284 283.00 1500 -14.430136
285 284.00 1500 -14.384639
286 285.00 1500 -14.339004
287 286.00 1500 -14.293503
288 287.00 1500 -14.248133
289 288.00 1500 -14.202987
290 289.00 1500 -14.158057
291 290.00 1500 -14.113079
292 291.00 1500 -14.068138
293 292.00 1500 -14.023413
294 293.00 1500 -13.978999
295 294.00 1500 -13.934618
296 295.00 1500 -13.890275
297 296.00 1500 -13.845962
298 297.00 1500 -13.801958
299 298.00 1500 -13.757896
300 299.00 1500 -13.714141
301 300.00 1500 -13.670326
302 301.00 1500 -13.626817
303 302.00 1500 -13.583341
304 303.00 1500 -13.539894
305 304.00 1500 -13.496655
306 305.00 1500 -13.453537
307 306.00 1500 -13.410810
308 307.00 1500 -13.367929
309 308.00 1500 -13.325166
310 309.00 1500 -13.282425
311 310.00 1500 -13.240168
312 311.00 1500 -13.197662
313 312.00 1500 -13.155262
314 313.00 1500 -13.113075
315 314.00 1500 -13.071091
316 315.00 1500 -13.029125
317 316.00 1500 -12.987279
318 317.00 1500 -12.945450
319 318.00 1500 -12.903918
320 319.00 1500 -12.862498
321 320.00 1500 -12.821002
322 321.00 1500 -12.779804
323 322.00 1500 -12.738528
324 323.00 1500 -12.697459
325 324.00 1500 -12.656491
326 325.00 1500 -12.615814
327 326.00 1500 -12.575157
328 327.00 1500 -12.534414
329 328.00 1500 -12.493778
330 329.00 1500 -12.453522
331 330.00 1500 -12.412998
332 331.00 1500 -12.372768
333 332.00 1500 -12.332544
334 333.00 1500 -12.292703
335 334.00 1500 -12.252782
336 335.00 1500 -12.212867
337 336.00 1500 -12.173242
338 337.00 1500 -12.133718
339 338.00 1500 -12.094107
340 339.00 1500 -12.054783
341 340.00 1500 -12.015468
342 341.00 1500 -11.976247
343 342.00 1500 -11.937033
