$reaction
    coeff    name formula state ispecies
926    -2 methane     CH4    aq      926
927     1  ethane    C2H6    aq      927
63      1      H2      H2    aq       63

$out
     T    P      logK
1  150 1500 -8.768291
2  160 1500 -8.565307
3  170 1500 -8.371499
4  180 1500 -8.186297
5  190 1500 -8.009179
6  200 1500 -7.839665
7  210 1500 -7.677313
8  220 1500 -7.521716
9  230 1500 -7.372497
10 240 1500 -7.229310
11 250 1500 -7.091834
12 260 1500 -6.959774
13 270 1500 -6.832855
14 280 1500 -6.710825
15 290 1500 -6.593447
16 300 1500 -6.480507
17 310 1500 -6.371801
18 320 1500 -6.267145
19 330 1500 -6.166366
20 340 1500 -6.069304
21 350 1500 -5.975812
22 360 1500 -5.885756
23 370 1500 -5.799010
24 380 1500 -5.715457
25 390 1500 -5.634994
26 400 1500 -5.557523
27 410 1500 -5.482956
28 420 1500 -5.411214
29 430 1500 -5.342223
30 440 1500 -5.275917
31 450 1500 -5.212241
32 460 1500 -5.151135
33 470 1500 -5.092557
34 480 1500 -5.036464
35 490 1500 -4.982814
36 500 1500 -4.931571

