$reaction
    coeff    name formula state ispecies
926    -3 methane     CH4    aq      926
928     1 propane    C3H8    aq      928
63      2      H2      H2    aq       63

$out
     T    P       logK
1  150 1500 -16.300425
2  160 1500 -15.925652
3  170 1500 -15.567944
4  180 1500 -15.226226
5  190 1500 -14.899513
6  200 1500 -14.586898
7  210 1500 -14.287550
8  220 1500 -14.000701
9  230 1500 -13.725643
10 240 1500 -13.461726
11 250 1500 -13.208345
12 260 1500 -12.964944
13 270 1500 -12.731009
14 280 1500 -12.506062
15 290 1500 -12.289661
16 300 1500 -12.081397
17 310 1500 -11.880892
18 320 1500 -11.687792
19 330 1500 -11.501773
20 340 1500 -11.322532
21 350 1500 -11.149789
22 360 1500 -10.983287
23 370 1500 -10.822784
24 380 1500 -10.668059
25 390 1500 -10.518909
26 400 1500 -10.375146
27 410 1500 -10.236597
28 420 1500 -10.103104
29 430 1500  -9.974521
30 440 1500  -9.850716
31 450 1500  -9.731572
32 460 1500  -9.616973
33 470 1500  -9.506824
34 480 1500  -9.401033
35 490 1500  -9.299514
36 500 1500  -9.202186

