$reaction
    coeff    name formula state ispecies
926    -4 methane     CH4    aq      926
929     1  butane   C4H10    aq      929
63      3      H2      H2    aq       63

$out
     T    P      logK
1  150 1500 -23.78613
2  160 1500 -23.23877
3  170 1500 -22.71633
4  180 1500 -22.21724
5  190 1500 -21.74005
6  200 1500 -21.28343
7  210 1500 -20.84616
8  220 1500 -20.42712
9  230 1500 -20.02527
10 240 1500 -19.63965
11 250 1500 -19.26939
12 260 1500 -18.91365
13 270 1500 -18.57170
14 280 1500 -18.24282
15 290 1500 -17.92638
16 300 1500 -17.62177
17 310 1500 -17.32844
18 320 1500 -17.04586
19 330 1500 -16.77356
20 340 1500 -16.51110
21 350 1500 -16.25806
22 360 1500 -16.01406
23 370 1500 -15.77875
24 380 1500 -15.55180
25 390 1500 -15.33291
26 400 1500 -15.12179
27 410 1500 -14.91820
28 420 1500 -14.72190
29 430 1500 -14.53266
30 440 1500 -14.35029
31 450 1500 -14.17462
32 460 1500 -14.00546
33 470 1500 -13.84267
34 480 1500 -13.68611
35 490 1500 -13.53565
36 500 1500 -13.39116

