$reaction
     coeff    name formula state ispecies
926     -1 methane     CH4    aq      926
1       -1   water     H2O   liq        1
1089     1      CO      CO    aq     1089
63       3      H2      H2    aq       63

$out
     T    P       logK
1  150 1500 -23.510156
2  160 1500 -22.673756
3  170 1500 -21.866005
4  180 1500 -21.085282
5  190 1500 -20.330046
6  200 1500 -19.598884
7  210 1500 -18.890355
8  220 1500 -18.203350
9  230 1500 -17.536560
10 240 1500 -16.889035
11 250 1500 -16.259653
12 260 1500 -15.647647
13 270 1500 -15.051910
14 280 1500 -14.471821
15 290 1500 -13.906472
16 300 1500 -13.355013
17 310 1500 -12.817085
18 320 1500 -12.291539
19 330 1500 -11.778134
20 340 1500 -11.276214
21 350 1500 -10.784967
22 360 1500 -10.304087
23 370 1500  -9.833056
24 380 1500  -9.371122
25 390 1500  -8.918027
26 400 1500  -8.473251
27 410 1500  -8.036659
28 420 1500  -7.606745
29 430 1500  -7.184652
30 440 1500  -6.768556
31 450 1500  -6.358589
32 460 1500  -5.954778
33 470 1500  -5.556213
34 480 1500  -5.162037
35 490 1500  -4.772853
36 500 1500  -4.388712

