$reaction
     coeff    name formula state ispecies
926     -1 methane     CH4    aq      926
1       -2   water     H2O   liq        1
1578     1     CO2     CO2    aq     1578
63       4      H2      H2    aq       63

$out
     T    P       logK
1  150 1500 -22.137203
2  160 1500 -21.313772
3  170 1500 -20.517271
4  180 1500 -19.746303
5  190 1500 -18.999480
6  200 1500 -18.275548
7  210 1500 -17.573081
8  220 1500 -16.891209
9  230 1500 -16.228567
10 240 1500 -15.584421
11 250 1500 -14.957615
12 260 1500 -14.347627
13 270 1500 -13.753193
14 280 1500 -13.173960
15 290 1500 -12.608946
16 300 1500 -12.057239
17 310 1500 -11.518854
18 320 1500 -10.992195
19 330 1500 -10.477437
20 340 1500  -9.973894
21 350 1500  -9.480538
22 360 1500  -8.997324
23 370 1500  -8.523754
24 380 1500  -8.058839
25 390 1500  -7.602561
26 400 1500  -7.154357
27 410 1500  -6.714410
28 420 1500  -6.280160
29 430 1500  -5.854314
30 440 1500  -5.433638
31 450 1500  -5.018807
32 460 1500  -4.610252
33 470 1500  -4.206539
34 480 1500  -3.806324
35 490 1500  -3.411155
36 500 1500  -3.021471

