$reaction
    coeff    name formula state ispecies
926    -1 methane     CH4    aq      926
1      -3   water     H2O   liq        1
14      1   CO3-2   CO3-2    aq       14
3       2      H+      H+    aq        3
63      4      H2      H2    aq       63

$out
     T    P      logK
1  150 1500 -38.01298
2  160 1500 -37.28010
3  170 1500 -36.57995
4  180 1500 -35.91113
5  190 1500 -35.27217
6  200 1500 -34.66177
7  210 1500 -34.07831
8  220 1500 -33.52093
9  230 1500 -32.98796
10 240 1500 -32.47865
11 250 1500 -31.99151
12 260 1500 -31.52599
13 270 1500 -31.08038
14 280 1500 -30.65427
15 290 1500 -30.24632
16 300 1500 -29.85526
17 310 1500 -29.48121
18 320 1500 -29.12188
19 330 1500 -28.77765
20 340 1500 -28.44763
21 350 1500 -28.13042
22 360 1500 -27.82617
23 370 1500 -27.53433
24 380 1500 -27.25366
25 390 1500 -26.98442
26 400 1500 -26.72606
27 410 1500 -26.47917
28 420 1500 -26.24027
29 430 1500 -26.01375
30 440 1500 -25.79514
31 450 1500 -25.58585
32 460 1500 -25.38686
33 470 1500 -25.19644
34 480 1500 -25.01297
35 490 1500 -24.83913
36 500 1500 -24.67597

