$reaction
     coeff      name formula state ispecies
2575  -1.5  fayalite Fe2SiO4    cr     2575
1     -1.0     water     H2O   liq        1
2588   1.0 magnetite   Fe3O4    cr     2588
2603   1.5    quartz    SiO2    cr     2603
63     1.0        H2      H2    aq       63

$out
     T    P      logK
1  150 1500 -3.788441
2  160 1500 -3.697573
3  170 1500 -3.608126
4  180 1500 -3.520119
5  190 1500 -3.433515
6  200 1500 -3.348298
7  210 1500 -3.264317
8  220 1500 -3.181659
9  230 1500 -3.100125
10 240 1500 -3.019797
11 250 1500 -2.940512
12 260 1500 -2.862398
13 270 1500 -2.785184
14 280 1500 -2.709030
15 290 1500 -2.633761
16 300 1500 -2.559214
17 310 1500 -2.485672
18 320 1500 -2.412596
19 330 1500 -2.340317
20 340 1500 -2.268720
21 350 1500 -2.197505
22 360 1500 -2.126854
23 370 1500 -2.056709
24 380 1500 -1.986758
25 390 1500 -1.917162
26 400 1500 -1.847805
27 410 1500 -1.778933
28 420 1500 -1.709413
29 430 1500 -1.640742
30 440 1500 -1.571435
31 450 1500 -1.501961
32 460 1500 -1.432656
33 470 1500 -1.362923
34 480 1500 -1.292201
35 490 1500 -1.221372
36 500 1500 -1.150756

