$reaction
     coeff          name formula state ispecies
926     -1       methane     CH4    aq      926
1       -3         water     H2O   liq        1
3464     1 carbonic acid   H2CO3    aq     3464
63       4            H2      H2    aq       63

$out
     T    P       logK
1  150 1500 -23.881084
2  160 1500 -23.013470
3  170 1500 -22.174236
4  180 1500 -21.361989
5  190 1500 -20.575291
6  200 1500 -19.812865
7  210 1500 -19.073126
8  220 1500 -18.355285
9  230 1500 -17.657778
10 240 1500 -16.979951
11 250 1500 -16.320489
12 260 1500 -15.679000
13 270 1500 -15.053954
14 280 1500 -14.445167
15 290 1500 -13.851489
16 300 1500 -13.271856
17 310 1500 -12.706577
18 320 1500 -12.153532
19 330 1500 -11.613241
20 340 1500 -11.084919
21 350 1500 -10.567255
22 360 1500 -10.060405
23 370 1500  -9.563835
24 380 1500  -9.076262
25 390 1500  -8.597856
26 400 1500  -8.127957
27 410 1500  -7.667025
28 420 1500  -7.211392
29 430 1500  -6.765289
30 440 1500  -6.324026
31 450 1500  -5.888782
32 460 1500  -5.460350
33 470 1500  -5.036733
34 480 1500  -4.616061
35 490 1500  -4.200792
36 500 1500  -3.791721

