$reaction
    coeff    name formula state ispecies
926    -1 methane     CH4    aq      926
1      -3   water     H2O   liq        1
13      1   HCO3-   HCO3-    aq       13
3       1      H+      H+    aq        3
63      4      H2      H2    aq       63

$out
     T    P      logK
1  150 1500 -28.27691
2  160 1500 -27.52926
3  170 1500 -26.81187
4  180 1500 -26.12320
5  190 1500 -25.46168
6  200 1500 -24.82593
7  210 1500 -24.21427
8  220 1500 -23.62584
9  230 1500 -23.05901
10 240 1500 -22.51308
11 250 1500 -21.98670
12 260 1500 -21.47942
13 270 1500 -20.98971
14 280 1500 -20.51734
15 290 1500 -20.06118
16 300 1500 -19.62016
17 310 1500 -19.19459
18 320 1500 -18.78239
19 330 1500 -18.38410
20 340 1500 -17.99899
21 350 1500 -17.62581
22 360 1500 -17.26481
23 370 1500 -16.91552
24 380 1500 -16.57676
25 390 1500 -16.24884
26 400 1500 -15.93122
27 410 1500 -15.62451
28 420 1500 -15.32521
29 430 1500 -15.03770
30 440 1500 -14.75748
31 450 1500 -14.48594
32 460 1500 -14.22406
33 470 1500 -13.97006
34 480 1500 -13.72229
35 490 1500 -13.48342
36 500 1500 -13.25445

