$reaction
     coeff    name formula state ispecies
926     -1 methane     CH4    aq      926
1       -2   water     H2O   liq        1
1127     1 formate   HCOO-    aq     1127
3        1      H+      H+    aq        3
63       3      H2      H2    aq       63

$out
     T    P      logK
1  150 1500 -25.94396
2  160 1500 -25.27454
3  170 1500 -24.63331
4  180 1500 -24.01873
5  190 1500 -23.42931
6  200 1500 -22.86370
7  210 1500 -22.32042
8  220 1500 -21.79854
9  230 1500 -21.29665
10 240 1500 -20.81400
11 250 1500 -20.34940
12 260 1500 -19.90233
13 270 1500 -19.47152
14 280 1500 -19.05662
15 290 1500 -18.65666
16 300 1500 -18.27076
17 310 1500 -17.89896
18 320 1500 -17.53972
19 330 1500 -17.19327
20 340 1500 -16.85899
21 350 1500 -16.53595
22 360 1500 -16.22419
23 370 1500 -15.92334
24 380 1500 -15.63252
25 390 1500 -15.35188
26 400 1500 -15.08100
27 410 1500 -14.82024
28 420 1500 -14.56722
29 430 1500 -14.32485
30 440 1500 -14.09011
31 450 1500 -13.86391
32 460 1500 -13.64687
33 470 1500 -13.43784
34 480 1500 -13.23572
35 490 1500 -13.04228
36 500 1500 -12.85821

