$reaction
     coeff        name formula state ispecies
926     -1     methane     CH4    aq      926
1       -2       water     H2O   liq        1
1102     1 formic acid   HCOOH    aq     1102
63       3          H2      H2    aq       63

$out
     T    P       logK
1  150 1500 -22.057898
2  160 1500 -21.349116
3  170 1500 -20.667481
4  180 1500 -20.011426
5  190 1500 -19.379421
6  200 1500 -18.770094
7  210 1500 -18.181916
8  220 1500 -17.613935
9  230 1500 -17.064714
10 240 1500 -16.533460
11 250 1500 -16.018969
12 260 1500 -15.520678
13 270 1500 -15.037289
14 280 1500 -14.568424
15 290 1500 -14.113079
16 300 1500 -13.670326
17 310 1500 -13.240168
18 320 1500 -12.821002
19 330 1500 -12.412998
20 340 1500 -12.015468
21 350 1500 -11.627385
22 360 1500 -11.248707
23 370 1500 -10.878943
24 380 1500 -10.517111
25 390 1500 -10.163202
26 400 1500  -9.816663
27 410 1500  -9.477693
28 420 1500  -9.143743
29 430 1500  -8.817537
30 440 1500  -8.495856
31 450 1500  -8.179394
32 460 1500  -7.868599
33 470 1500  -7.562057
34 480 1500  -7.258444
35 490 1500  -6.959326
36 500 1500  -6.665162

