$reaction
   coeff  name formula state ispecies
1     -1 water     H2O   liq        1
3      1    H+      H+    aq        3
21     1   OH-     OH-    aq       21

$out
     T    P      logK
2  150 1500 -11.16403
3  160 1500 -11.05668
4  170 1500 -10.95670
5  180 1500 -10.86381
6  190 1500 -10.77771
7  200 1500 -10.69813
8  210 1500 -10.62471
9  220 1500 -10.55732
10 230 1500 -10.49556
11 240 1500 -10.43935
12 250 1500 -10.38834
13 260 1500 -10.34252
14 270 1500 -10.30145
15 280 1500 -10.26515
16 290 1500 -10.23333
17 300 1500 -10.20571
18 310 1500 -10.18247
19 320 1500 -10.16300
20 330 1500 -10.14756
21 340 1500 -10.13599
22 350 1500 -10.12797
23 360 1500 -10.12368
24 370 1500 -10.12307
25 380 1500 -10.12587
26 390 1500 -10.13229
27 400 1500 -10.14230
28 410 1500 -10.15622
29 420 1500 -10.17304
30 430 1500 -10.19436
31 440 1500 -10.21885
32 450 1500 -10.24714
33 460 1500 -10.27969
34 470 1500 -10.31610
35 480 1500 -10.35598
36 490 1500 -10.40039
37 500 1500 -10.44983

