$reaction
     coeff      name formula state ispecies
2575  -1.5  fayalite Fe2SiO4    cr     2575
1     -1.0     water     H2O   liq        1
2588   1.0 magnetite   Fe3O4    cr     2588
2603   1.5    quartz    SiO2    cr     2603
63     1.0        H2      H2    aq       63

$out
         T    P      logK
1     0.01 1500 -5.315820
2     1.00 1500 -5.307392
3     2.00 1500 -5.298699
4     3.00 1500 -5.289839
5     4.00 1500 -5.280822
6     5.00 1500 -5.271661
7     6.00 1500 -5.262365
8     7.00 1500 -5.252945
9     8.00 1500 -5.243408
10    9.00 1500 -5.233763
11   10.00 1500 -5.224017
12   11.00 1500 -5.214178
13   12.00 1500 -5.204252
14   13.00 1500 -5.194245
15   14.00 1500 -5.184164
16   15.00 1500 -5.174013
17   16.00 1500 -5.163797
18   17.00 1500 -5.153521
19   18.00 1500 -5.143190
20   19.00 1500 -5.132808
21   20.00 1500 -5.122378
22   21.00 1500 -5.111904
23   22.00 1500 -5.101390
24   23.00 1500 -5.090838
25   24.00 1500 -5.080252
26   25.00 1500 -5.069635
27   26.00 1500 -5.058990
28   27.00 1500 -5.048318
29   28.00 1500 -5.037622
30   29.00 1500 -5.026904
31   30.00 1500 -5.016168
32   31.00 1500 -5.005414
33   32.00 1500 -4.994644
34   33.00 1500 -4.983861
35   34.00 1500 -4.973065
36   35.00 1500 -4.962259
37   36.00 1500 -4.951445
38   37.00 1500 -4.940623
39   38.00 1500 -4.929794
40   39.00 1500 -4.918961
41   40.00 1500 -4.908125
42   41.00 1500 -4.897286
43   42.00 1500 -4.886445
44   43.00 1500 -4.875605
45   44.00 1500 -4.864765
46   45.00 1500 -4.853926
47   46.00 1500 -4.843090
48   47.00 1500 -4.832258
49   48.00 1500 -4.821430
50   49.00 1500 -4.810606
51   50.00 1500 -4.799788
52   51.00 1500 -4.788977
53   52.00 1500 -4.778173
54   53.00 1500 -4.767376
55   54.00 1500 -4.756587
56   55.00 1500 -4.745807
57   56.00 1500 -4.735037
58   57.00 1500 -4.724276
59   58.00 1500 -4.713525
60   59.00 1500 -4.702785
61   60.00 1500 -4.692057
62   61.00 1500 -4.681339
63   62.00 1500 -4.670634
64   63.00 1500 -4.659941
65   64.00 1500 -4.649261
66   65.00 1500 -4.638593
67   66.00 1500 -4.627939
68   67.00 1500 -4.617299
69   68.00 1500 -4.606672
70   69.00 1500 -4.596060
71   70.00 1500 -4.585462
72   71.00 1500 -4.574879
73   72.00 1500 -4.564310
74   73.00 1500 -4.553757
75   74.00 1500 -4.543219
76   75.00 1500 -4.532697
77   76.00 1500 -4.522190
78   77.00 1500 -4.511699
79   78.00 1500 -4.501224
80   79.00 1500 -4.490765
81   80.00 1500 -4.480322
82   81.00 1500 -4.469896
83   82.00 1500 -4.459487
84   83.00 1500 -4.449094
