$reaction
     coeff      name formula state ispecies
2575  -1.5  fayalite Fe2SiO4    cr     2575
1     -1.0     water     H2O   liq        1
2588   1.0 magnetite   Fe3O4    cr     2588
2603   1.5    quartz    SiO2    cr     2603
63     1.0        H2      H2    aq       63

$out
        T    P        logK
1  -20.00 1500 -5.41201075
2  -10.00 1500 -5.38786947
3    0.01 1500 -5.31643246
4   10.00 1500 -5.22460774
5   20.00 1500 -5.12294846
6   30.00 1500 -5.01671953
7   40.00 1500 -4.90865894
8   50.00 1500 -4.80030615
9   60.00 1500 -4.69255865
10  70.00 1500 -4.58594964
11  80.00 1500 -4.48079602
12  90.00 1500 -4.37728141
13 100.00 1500 -4.27550310
14 110.00 1500 -4.17550904
15 120.00 1500 -4.07730275
16 130.00 1500 -3.98086758
17 140.00 1500 -3.88616917
18 150.00 1500 -3.79316285
19 160.00 1500 -3.70179621
20 170.00 1500 -3.61201209
21 180.00 1500 -3.52375046
22 190.00 1500 -3.43694968
23 200.00 1500 -3.35154748
24 210.00 1500 -3.26748152
25 220.00 1500 -3.18468977
26 230.00 1500 -3.10311069
27 240.00 1500 -3.02268391
28 250.00 1500 -2.94334960
29 260.00 1500 -2.86504830
30 270.00 1500 -2.78772177
31 280.00 1500 -2.71131254
32 290.00 1500 -2.63576292
33 300.00 1500 -2.56101747
34 310.00 1500 -2.48701932
35 320.00 1500 -2.41371272
36 330.00 1500 -2.34104207
37 340.00 1500 -2.26895192
38 350.00 1500 -2.19738687
39 360.00 1500 -2.12629158
40 370.00 1500 -2.05561074
41 380.00 1500 -1.98528898
42 390.00 1500 -1.91527103
43 400.00 1500 -1.84550169
44 410.00 1500 -1.77592596
45 420.00 1500 -1.70648923
46 430.00 1500 -1.63713743
47 440.00 1500 -1.56781727
48 450.00 1500 -1.49847666
49 460.00 1500 -1.42906503
50 470.00 1500 -1.35953381
51 480.00 1500 -1.28983701
52 490.00 1500 -1.21993181
53 500.00 1500 -1.14977923
54 510.00 1500 -1.07934489
55 520.00 1500 -1.00859970
56 530.00 1500 -0.93752065
57 540.00 1500 -0.86609145
58 550.00 1500 -0.79430312
59 560.00 1500 -0.72215437
60 570.00 1500 -0.64965186
61 580.00 1500 -0.57689508
62 590.00 1500 -0.50438749
63 600.00 1500 -0.43223526
64 610.00 1500 -0.36047554
65 620.00 1500 -0.28920453
66 630.00 1500 -0.21853132
67 640.00 1500 -0.14850547
68 650.00 1500 -0.07917731
69 660.00 1500 -0.01059670
70 670.00 1500  0.05718835
71 680.00 1500  0.12413266
72 690.00 1500  0.19019482
73 700.00 1500  0.25533787
74 710.00 1500  0.31952963
75 720.00 1500  0.38274304
76 730.00 1500  0.44495612
77 740.00 1500  0.50615194
78 750.00 1500  0.56631842
79 760.00 1500  0.62544782
80 770.00 1500  0.68353681
81 780.00 1500  0.74058577
82 790.00 1500          NA
83 800.00 1500          NA
84 810.00 1500          NA
85 820.00 1500          NA
86 830.00 1500          NA
87 840.00 1500          NA
88 850.00 1500          NA
89 860.00 1500          NA
90 870.00 1500          NA
91 880.00 1500          NA
92 890.00 1500          NA
93 900.00 1500          NA
94 910.00 1500          NA
95 920.00 1500          NA
96 930.00 1500          NA

$warnings
[1] "below minimum density for applicability of revised HKF equations (15 T,P pairs)"

