$reaction
     coeff     name formula state ispecies
63      -1       H2      H2    aq       63
3171     1 hydrogen      H2   gas     3171

$out
         T    P     logK
1     0.01 1500 3.674144
2     1.00 1500 3.680202
3     2.00 1500 3.686019
4     3.00 1500 3.691548
5     4.00 1500 3.696803
6     5.00 1500 3.701795
7     6.00 1500 3.706536
8     7.00 1500 3.711037
9     8.00 1500 3.715308
10    9.00 1500 3.719359
11   10.00 1500 3.723198
12   11.00 1500 3.726834
13   12.00 1500 3.730274
14   13.00 1500 3.733526
15   14.00 1500 3.736596
16   15.00 1500 3.739492
17   16.00 1500 3.742219
18   17.00 1500 3.744783
19   18.00 1500 3.747190
20   19.00 1500 3.749445
21   20.00 1500 3.751553
22   21.00 1500 3.753519
23   22.00 1500 3.755347
24   23.00 1500 3.757041
25   24.00 1500 3.758606
26   25.00 1500 3.760045
27   26.00 1500 3.761362
28   27.00 1500 3.762561
29   28.00 1500 3.763645
30   29.00 1500 3.764617
31   30.00 1500 3.765480
32   31.00 1500 3.766237
33   32.00 1500 3.766892
34   33.00 1500 3.767446
35   34.00 1500 3.767903
36   35.00 1500 3.768264
37   36.00 1500 3.768533
38   37.00 1500 3.768712
39   38.00 1500 3.768803
40   39.00 1500 3.768807
41   40.00 1500 3.768728
42   41.00 1500 3.768566
43   42.00 1500 3.768325
44   43.00 1500 3.768006
45   44.00 1500 3.767610
46   45.00 1500 3.767140
47   46.00 1500 3.766597
48   47.00 1500 3.765982
49   48.00 1500 3.765298
50   49.00 1500 3.764546
51   50.00 1500 3.763727
52   51.00 1500 3.762843
53   52.00 1500 3.761894
54   53.00 1500 3.760884
55   54.00 1500 3.759812
56   55.00 1500 3.758679
57   56.00 1500 3.757489
58   57.00 1500 3.756240
59   58.00 1500 3.754935
60   59.00 1500 3.753575
61   60.00 1500 3.752160
62   61.00 1500 3.750692
63   62.00 1500 3.749173
64   63.00 1500 3.747601
65   64.00 1500 3.745980
66   65.00 1500 3.744310
67   66.00 1500 3.742591
68   67.00 1500 3.740825
69   68.00 1500 3.739012
70   69.00 1500 3.737154
71   70.00 1500 3.735251
72   71.00 1500 3.733304
73   72.00 1500 3.731313
74   73.00 1500 3.729280
75   74.00 1500 3.727206
76   75.00 1500 3.725090
77   76.00 1500 3.722935
78   77.00 1500 3.720740
79   78.00 1500 3.718506
80   79.00 1500 3.716233
81   80.00 1500 3.713924
82   81.00 1500 3.711577
83   82.00 1500 3.709194
84   83.00 1500 3.706776
85   84.00 1500 3.704322
86   85.00 1500 3.701834
87   86.00 1500 3.699313
88   87.00 1500 3.696758
89   88.00 1500 3.694170
90   89.00 1500 3.691550
91   90.00 1500 3.688898
92   91.00 1500 3.686215
93   92.00 1500 3.683502
94   93.00 1500 3.680758
95   94.00 1500 3.677985
96   95.00 1500 3.675182
97   96.00 1500 3.672351
98   97.00 1500 3.669492
99   98.00 1500 3.666604
100  99.00 1500 3.663690
101 100.00 1500 3.656965
102 101.00 1500 3.654000
103 102.00 1500 3.651011
104 103.00 1500 3.647998
105 104.00 1500 3.644961
106 105.00 1500 3.641901
107 106.00 1500 3.638818
108 107.00 1500 3.635711
109 108.00 1500 3.632583
110 109.00 1500 3.629432
111 110.00 1500 3.626260
112 111.00 1500 3.623066
113 112.00 1500 3.619851
114 113.00 1500 3.616615
115 114.00 1500 3.613358
116 115.00 1500 3.610082
117 116.00 1500 3.606785
118 117.00 1500 3.603469
119 118.00 1500 3.600133
120 119.00 1500 3.596779
121 120.00 1500 3.593405
122 121.00 1500 3.590013
123 122.00 1500 3.586603
124 123.00 1500 3.583175
125 124.00 1500 3.579729
126 125.00 1500 3.576265
127 126.00 1500 3.572784
128 127.00 1500 3.569286
129 128.00 1500 3.565772
130 129.00 1500 3.562240
131 130.00 1500 3.558692
132 131.00 1500 3.555129
133 132.00 1500 3.551549
134 133.00 1500 3.547954
135 134.00 1500 3.544343
136 135.00 1500 3.540717
137 136.00 1500 3.537076
138 137.00 1500 3.533420
139 138.00 1500 3.529750
140 139.00 1500 3.526065
141 140.00 1500 3.522366
142 141.00 1500 3.518653
143 142.00 1500 3.514926
144 143.00 1500 3.511185
145 144.00 1500 3.507431
146 145.00 1500 3.503664
147 146.00 1500 3.499883
148 147.00 1500 3.496090
149 148.00 1500 3.492284
150 149.00 1500 3.488465
151 150.00 1500 3.484634
152 151.00 1500 3.480790
153 152.00 1500 3.476935
154 153.00 1500 3.473067
155 154.00 1500 3.469188
156 155.00 1500 3.465297
157 156.00 1500 3.461395
158 157.00 1500 3.457481
159 158.00 1500 3.453557
160 159.00 1500 3.449621
161 160.00 1500 3.445674
162 161.00 1500 3.441717
163 162.00 1500 3.437749
164 163.00 1500 3.433770
165 164.00 1500 3.429781
166 165.00 1500 3.425782
167 166.00 1500 3.421774
168 167.00 1500 3.417755
169 168.00 1500 3.413726
170 169.00 1500 3.409688
171 170.00 1500 3.405640
172 171.00 1500 3.401582
173 172.00 1500 3.397516
174 173.00 1500 3.393440
175 174.00 1500 3.389355
176 175.00 1500 3.385261
177 176.00 1500 3.381159
178 177.00 1500 3.377047
179 178.00 1500 3.372927
180 179.00 1500 3.368799
181 180.00 1500 3.364662
182 181.00 1500 3.360517
183 182.00 1500 3.356364
184 183.00 1500 3.352202
185 184.00 1500 3.348033
186 185.00 1500 3.343856
187 186.00 1500 3.339671
188 187.00 1500 3.335478
189 188.00 1500 3.331278
190 189.00 1500 3.327070
191 190.00 1500 3.322855
192 191.00 1500 3.318633
193 192.00 1500 3.314403
194 193.00 1500 3.310167
195 194.00 1500 3.305923
196 195.00 1500 3.301672
197 196.00 1500 3.297415
198 197.00 1500 3.293150
199 198.00 1500 3.288879
200 199.00 1500 3.284602
201 200.00 1500 3.280318
202 201.00 1500 3.276027
203 202.00 1500 3.271730
204 203.00 1500 3.267427
205 204.00 1500 3.263117
206 205.00 1500 3.258802
207 206.00 1500 3.254480
208 207.00 1500 3.250153
209 208.00 1500 3.245819
210 209.00 1500 3.241480
211 210.00 1500 3.237134
212 211.00 1500 3.232784
213 212.00 1500 3.228427
214 213.00 1500 3.224065
215 214.00 1500 3.219697
216 215.00 1500 3.215324
217 216.00 1500 3.210946
218 217.00 1500 3.206562
219 218.00 1500 3.202173
220 219.00 1500 3.197779
221 220.00 1500 3.193380
222 221.00 1500 3.188975
223 222.00 1500 3.184566
224 223.00 1500 3.180152
225 224.00 1500 3.175732
226 225.00 1500 3.171308
227 226.00 1500 3.166879
228 227.00 1500 3.162446
229 228.00 1500 3.158008
230 229.00 1500 3.153565
231 230.00 1500 3.149117
232 231.00 1500 3.144665
233 232.00 1500 3.140209
