$reaction
     coeff          name formula state ispecies
1974    -2          iron      Fe   cr*     1974
1975    -1        oxygen      O2   gas     3178
1976     2 ferrous-oxide     FeO    cr     1969

$out
        T    P      logK
1  -20.00 1500 104.75831
2  -10.00 1500 100.49749
3    0.01 1500  96.54621
4   10.00 1500  92.88267
5   20.00 1500  89.46678
6   30.00 1500  86.27743
7   40.00 1500  83.29289
8   50.00 1500  80.49412
9   60.00 1500  77.86438
10  70.00 1500  75.38884
11  80.00 1500  73.05439
12  90.00 1500  70.84935
13 100.00 1500  68.76328
14 110.00 1500  66.78684
15 120.00 1500  64.91165
16 130.00 1500  63.13015
17 140.00 1500  61.43551
18 150.00 1500  59.82155
19 160.00 1500  58.28267
20 170.00 1500  56.81376
21 180.00 1500  55.41017
22 190.00 1500  54.06766
23 200.00 1500  52.78233
24 210.00 1500  51.55061
25 220.00 1500  50.36924
26 230.00 1500  49.23518
27 240.00 1500  48.14567
28 250.00 1500  47.09814
29 260.00 1500  46.09020
30 270.00 1500  45.11967
31 280.00 1500  44.18449
32 290.00 1500  43.28278
33 300.00 1500  42.41278
34 310.00 1500  41.57283
35 320.00 1500  40.76142
36 330.00 1500  39.97711
37 340.00 1500  39.21857
38 350.00 1500  38.48454
39 360.00 1500  37.77386
40 370.00 1500  37.08544
41 380.00 1500  36.41824
42 390.00 1500  35.77129
43 400.00 1500  35.14368
44 410.00 1500  34.53457
45 420.00 1500  33.94313
46 430.00 1500  33.36862
47 440.00 1500  32.81031
48 450.00 1500  32.26752
49 460.00 1500  31.73962
50 470.00 1500  31.22600
51 480.00 1500  30.72608
52 490.00 1500  30.23932
53 500.00 1500  29.76521
54 510.00 1500  29.30325
55 520.00 1500  28.85298
56 530.00 1500  28.41397
57 540.00 1500  27.98578
58 550.00 1500  27.56803
59 560.00 1500  27.16033
60 570.00 1500  26.76232
61 580.00 1500  26.37366
62 590.00 1500  25.99402
63 600.00 1500  25.62308
64 610.00 1500  25.26055
65 620.00 1500  24.90614
66 630.00 1500  24.55958
67 640.00 1500  24.22060
68 650.00 1500  23.88897
69 660.00 1500  23.56443
70 670.00 1500  23.24676
71 680.00 1500  22.93574
72 690.00 1500  22.63117
73 700.00 1500  22.33283
74 710.00 1500  22.04055
75 720.00 1500  21.75412
76 730.00 1500  21.47338
77 740.00 1500  21.19816
78 750.00 1500  20.92828
79 760.00 1500  20.66367
80 770.00 1500  20.40270
81 780.00 1500  20.14665
82 790.00 1500  19.89538
83 800.00 1500  19.64876
84 810.00 1500  19.40665
85 820.00 1500  19.16894
86 830.00 1500  18.93550
87 840.00 1500  18.70623
88 850.00 1500  18.48101
89 860.00 1500  18.25973
90 870.00 1500  18.04230
91 880.00 1500  17.82861
92 890.00 1500  17.61857
93 900.00 1500  17.41208
94 910.00 1500  17.20892
95 920.00 1500  17.00866
96 930.00 1500  16.81180

$polymorphs
        T    P iron
1  -20.00 1500    1
2  -10.00 1500    1
3    0.01 1500    1
4   10.00 1500    1
5   20.00 1500    1
6   30.00 1500    1
7   40.00 1500    1
8   50.00 1500    1
9   60.00 1500    1
10  70.00 1500    1
11  80.00 1500    1
12  90.00 1500    1
13 100.00 1500    1
14 110.00 1500    1
15 120.00 1500    1
16 130.00 1500    1
17 140.00 1500    1
18 150.00 1500    1
19 160.00 1500    1
20 170.00 1500    1
21 180.00 1500    1
22 190.00 1500    1
23 200.00 1500    1
24 210.00 1500    1
25 220.00 1500    1
26 230.00 1500    1
27 240.00 1500    1
28 250.00 1500    1
29 260.00 1500    1
30 270.00 1500    1
31 280.00 1500    1
32 290.00 1500    1
33 300.00 1500    1
34 310.00 1500    1
35 320.00 1500    1
36 330.00 1500    1
37 340.00 1500    1
38 350.00 1500    1
39 360.00 1500    1
40 370.00 1500    1
41 380.00 1500    1
42 390.00 1500    1
43 400.00 1500    1
44 410.00 1500    1
45 420.00 1500    1
46 430.00 1500    1
47 440.00 1500    1
48 450.00 1500    1
49 460.00 1500    1
50 470.00 1500    1
51 480.00 1500    1
52 490.00 1500    1
53 500.00 1500    1
54 510.00 1500    1
55 520.00 1500    1
56 530.00 1500    1
57 540.00 1500    1
58 550.00 1500    1
59 560.00 1500    1
60 570.00 1500    1
61 580.00 1500    1
62 590.00 1500    1
63 600.00 1500    1
64 610.00 1500    1
65 620.00 1500    1
66 630.00 1500    1
67 640.00 1500    1
68 650.00 1500    1
69 660.00 1500    1
70 670.00 1500    1
71 680.00 1500    1
72 690.00 1500    1
73 700.00 1500    1
74 710.00 1500    1
75 720.00 1500    1
76 730.00 1500    1
77 740.00 1500    1
78 750.00 1500    1
79 760.00 1500    2
80 770.00 1500    2
81 780.00 1500    2
82 790.00 1500    2
83 800.00 1500    2
84 810.00 1500    2
85 820.00 1500    2
86 830.00 1500    2
87 840.00 1500    2
88 850.00 1500    2
89 860.00 1500    2
90 870.00 1500    2
91 880.00 1500    2
92 890.00 1500    2
93 900.00 1500    2
94 910.00 1500    3
95 920.00 1500    3
96 930.00 1500    3

