$reaction
   coeff  name formula state ispecies
1     -1 water     H2O   liq        1
21     1   OH-     OH-    aq       21
3      1    H+      H+    aq        3

$out
         T    P      logK
2     0.01 1500 -14.16174
3     1.00 1500 -14.12851
4     2.00 1500 -14.09517
5     3.00 1500 -14.06204
6     4.00 1500 -14.02913
7     5.00 1500 -13.99645
8     6.00 1500 -13.96399
9     7.00 1500 -13.93176
10    8.00 1500 -13.89977
11    9.00 1500 -13.86800
12   10.00 1500 -13.83646
13   11.00 1500 -13.80516
14   12.00 1500 -13.77408
15   13.00 1500 -13.74324
16   14.00 1500 -13.71263
17   15.00 1500 -13.68225
18   16.00 1500 -13.65210
19   17.00 1500 -13.62219
20   18.00 1500 -13.59250
21   19.00 1500 -13.56304
22   20.00 1500 -13.53380
23   21.00 1500 -13.50479
24   22.00 1500 -13.47601
25   23.00 1500 -13.44745
26   24.00 1500 -13.41911
27   25.00 1500 -13.39099
28   26.00 1500 -13.36309
29   27.00 1500 -13.33541
30   28.00 1500 -13.30795
31   29.00 1500 -13.28070
32   30.00 1500 -13.25366
33   31.00 1500 -13.22684
34   32.00 1500 -13.20022
35   33.00 1500 -13.17382
36   34.00 1500 -13.14762
37   35.00 1500 -13.12162
38   36.00 1500 -13.09583
39   37.00 1500 -13.07024
40   38.00 1500 -13.04486
41   39.00 1500 -13.01967
42   40.00 1500 -12.99468
43   41.00 1500 -12.96988
44   42.00 1500 -12.94528
45   43.00 1500 -12.92087
46   44.00 1500 -12.89665
47   45.00 1500 -12.87262
48   46.00 1500 -12.84878
49   47.00 1500 -12.82513
50   48.00 1500 -12.80165
51   49.00 1500 -12.77837
52   50.00 1500 -12.75526
53   51.00 1500 -12.73233
54   52.00 1500 -12.70958
55   53.00 1500 -12.68701
56   54.00 1500 -12.66461
57   55.00 1500 -12.64239
58   56.00 1500 -12.62034
59   57.00 1500 -12.59846
60   58.00 1500 -12.57675
61   59.00 1500 -12.55520
62   60.00 1500 -12.53383
63   61.00 1500 -12.51262
64   62.00 1500 -12.49157
65   63.00 1500 -12.47068
66   64.00 1500 -12.44996
67   65.00 1500 -12.42939
68   66.00 1500 -12.40899
69   67.00 1500 -12.38873
70   68.00 1500 -12.36864
71   69.00 1500 -12.34870
72   70.00 1500 -12.32891
73   71.00 1500 -12.30927
74   72.00 1500 -12.28979
75   73.00 1500 -12.27045
76   74.00 1500 -12.25126
77   75.00 1500 -12.23222
78   76.00 1500 -12.21332
79   77.00 1500 -12.19457
80   78.00 1500 -12.17596
81   79.00 1500 -12.15749
82   80.00 1500 -12.13916
83   81.00 1500 -12.12097
84   82.00 1500 -12.10292
85   83.00 1500 -12.08501
86   84.00 1500 -12.06723
87   85.00 1500 -12.04959
88   86.00 1500 -12.03208
89   87.00 1500 -12.01471
90   88.00 1500 -11.99747
91   89.00 1500 -11.98035
92   90.00 1500 -11.96337
93   91.00 1500 -11.94651
94   92.00 1500 -11.92979
95   93.00 1500 -11.91318
96   94.00 1500 -11.89671
97   95.00 1500 -11.88036
98   96.00 1500 -11.86413
99   97.00 1500 -11.84803
100  98.00 1500 -11.83204
101  99.00 1500 -11.81618
102 100.00 1500 -11.82480
103 101.00 1500 -11.80941
104 102.00 1500 -11.79404
105 103.00 1500 -11.77877
106 104.00 1500 -11.76360
107 105.00 1500 -11.74853
108 106.00 1500 -11.73355
109 107.00 1500 -11.71869
110 108.00 1500 -11.70393
111 109.00 1500 -11.68927
112 110.00 1500 -11.67467
113 111.00 1500 -11.66022
114 112.00 1500 -11.64582
115 113.00 1500 -11.63151
116 114.00 1500 -11.61729
117 115.00 1500 -11.60316
118 116.00 1500 -11.58918
119 117.00 1500 -11.57526
120 118.00 1500 -11.56141
121 119.00 1500 -11.54765
122 120.00 1500 -11.53399
123 121.00 1500 -11.52041
124 122.00 1500 -11.50692
125 123.00 1500 -11.49354
126 124.00 1500 -11.48023
127 125.00 1500 -11.46701
128 126.00 1500 -11.45387
129 127.00 1500 -11.44087
130 128.00 1500 -11.42791
131 129.00 1500 -11.41506
132 130.00 1500 -11.40227
133 131.00 1500 -11.38957
134 132.00 1500 -11.37695
135 133.00 1500 -11.36444
136 134.00 1500 -11.35199
137 135.00 1500 -11.33963
138 136.00 1500 -11.32735
139 137.00 1500 -11.31515
140 138.00 1500 -11.30304
141 139.00 1500 -11.29100
142 140.00 1500 -11.27903
143 141.00 1500 -11.26716
144 142.00 1500 -11.25539
145 143.00 1500 -11.24368
146 144.00 1500 -11.23206
147 145.00 1500 -11.22053
148 146.00 1500 -11.20911
149 147.00 1500 -11.19772
150 148.00 1500 -11.18641
151 149.00 1500 -11.17518
152 150.00 1500 -11.16403
153 151.00 1500 -11.15293
154 152.00 1500 -11.14193
155 153.00 1500 -11.13098
156 154.00 1500 -11.12011
157 155.00 1500 -11.10934
158 156.00 1500 -11.09865
159 157.00 1500 -11.08808
160 158.00 1500 -11.07754
161 159.00 1500 -11.06707
162 160.00 1500 -11.05668
163 161.00 1500 -11.04638
164 162.00 1500 -11.03613
165 163.00 1500 -11.02596
166 164.00 1500 -11.01584
167 165.00 1500 -11.00579
168 166.00 1500 -10.99582
169 167.00 1500 -10.98591
170 168.00 1500 -10.97610
171 169.00 1500 -10.96636
172 170.00 1500 -10.95670
173 171.00 1500 -10.94712
174 172.00 1500 -10.93760
175 173.00 1500 -10.92814
176 174.00 1500 -10.91876
177 175.00 1500 -10.90949
178 176.00 1500 -10.90022
179 177.00 1500 -10.89100
180 178.00 1500 -10.88187
181 179.00 1500 -10.87280
182 180.00 1500 -10.86381
183 181.00 1500 -10.85491
184 182.00 1500 -10.84607
185 183.00 1500 -10.83734
186 184.00 1500 -10.82864
187 185.00 1500 -10.82003
188 186.00 1500 -10.81146
189 187.00 1500 -10.80296
190 188.00 1500 -10.79448
191 189.00 1500 -10.78606
192 190.00 1500 -10.77771
193 191.00 1500 -10.76945
194 192.00 1500 -10.76127
195 193.00 1500 -10.75316
196 194.00 1500 -10.74511
197 195.00 1500 -10.73713
198 196.00 1500 -10.72920
199 197.00 1500 -10.72139
200 198.00 1500 -10.71360
201 199.00 1500 -10.70582
202 200.00 1500 -10.69813
203 201.00 1500 -10.69048
204 202.00 1500 -10.68296
205 203.00 1500 -10.67544
206 204.00 1500 -10.66800
207 205.00 1500 -10.66064
208 206.00 1500 -10.65334
209 207.00 1500 -10.64610
210 208.00 1500 -10.63893
211 209.00 1500 -10.63181
212 210.00 1500 -10.62471
213 211.00 1500 -10.61776
214 212.00 1500 -10.61078
215 213.00 1500 -10.60390
216 214.00 1500 -10.59704
217 215.00 1500 -10.59024
218 216.00 1500 -10.58351
219 217.00 1500 -10.57687
220 218.00 1500 -10.57029
221 219.00 1500 -10.56376
222 220.00 1500 -10.55732
223 221.00 1500 -10.55091
224 222.00 1500 -10.54451
225 223.00 1500 -10.53817
226 224.00 1500 -10.53188
227 225.00 1500 -10.52566
228 226.00 1500 -10.51951
229 227.00 1500 -10.51339
230 228.00 1500 -10.50742
231 229.00 1500 -10.50147
232 230.00 1500 -10.49556
233 231.00 1500 -10.48976
234 232.00 1500 -10.48392
235 233.00 1500 -10.47813
236 234.00 1500 -10.47241
237 235.00 1500 -10.46682
238 236.00 1500 -10.46120
239 237.00 1500 -10.45564
240 238.00 1500 -10.45012
241 239.00 1500 -10.44471
242 240.00 1500 -10.43935
243 241.00 1500 -10.43399
244 242.00 1500 -10.42869
245 243.00 1500 -10.42353
246 244.00 1500 -10.41834
247 245.00 1500 -10.41319
248 246.00 1500 -10.40815
249 247.00 1500 -10.40311
250 248.00 1500 -10.39812
251 249.00 1500 -10.39319
252 250.00 1500 -10.38834
253 251.00 1500 -10.38360
254 252.00 1500 -10.37890
255 253.00 1500 -10.37417
256 254.00 1500 -10.36948
257 255.00 1500 -10.36485
