$reaction
    coeff    name formula state ispecies
65     -1     NH3     NH3    aq       65
926    -1 methane     CH4    aq      926
471     1     CN-     CN-    aq      471
3       1      H+      H+    aq        3
63      3      H2      H2    aq       63

$out
         T    P      logK
1     0.01 1500 -56.15310
2     1.00 1500 -55.94229
3     2.00 1500 -55.73066
4     3.00 1500 -55.52032
5     4.00 1500 -55.31129
6     5.00 1500 -55.10356
7     6.00 1500 -54.89711
8     7.00 1500 -54.69196
9     8.00 1500 -54.48809
10    9.00 1500 -54.28549
11   10.00 1500 -54.08417
12   11.00 1500 -53.88411
13   12.00 1500 -53.68530
14   13.00 1500 -53.48774
15   14.00 1500 -53.29142
16   15.00 1500 -53.09634
17   16.00 1500 -52.90248
18   17.00 1500 -52.70983
19   18.00 1500 -52.51839
20   19.00 1500 -52.32815
21   20.00 1500 -52.13910
22   21.00 1500 -51.95123
23   22.00 1500 -51.76453
24   23.00 1500 -51.57899
25   24.00 1500 -51.39461
26   25.00 1500 -51.21137
27   26.00 1500 -51.02927
28   27.00 1500 -50.84829
29   28.00 1500 -50.66843
30   29.00 1500 -50.48968
31   30.00 1500 -50.31203
32   31.00 1500 -50.13547
33   32.00 1500 -49.95999
34   33.00 1500 -49.78558
35   34.00 1500 -49.61223
36   35.00 1500 -49.43994
37   36.00 1500 -49.26870
38   37.00 1500 -49.09849
39   38.00 1500 -48.92931
40   39.00 1500 -48.76116
41   40.00 1500 -48.59401
42   41.00 1500 -48.42786
43   42.00 1500 -48.26271
44   43.00 1500 -48.09854
45   44.00 1500 -47.93536
46   45.00 1500 -47.77314
47   46.00 1500 -47.61188
48   47.00 1500 -47.45157
49   48.00 1500 -47.29221
50   49.00 1500 -47.13379
51   50.00 1500 -46.97630
52   51.00 1500 -46.81972
53   52.00 1500 -46.66406
54   53.00 1500 -46.50931
55   54.00 1500 -46.35545
56   55.00 1500 -46.20248
57   56.00 1500 -46.05040
58   57.00 1500 -45.89919
59   58.00 1500 -45.74886
60   59.00 1500 -45.59938
61   60.00 1500 -45.45075
62   61.00 1500 -45.30297
63   62.00 1500 -45.15604
64   63.00 1500 -45.00993
65   64.00 1500 -44.86465
66   65.00 1500 -44.72019
67   66.00 1500 -44.57654
68   67.00 1500 -44.43370
69   68.00 1500 -44.29165
70   69.00 1500 -44.15040
71   70.00 1500 -44.00993
72   71.00 1500 -43.87025
73   72.00 1500 -43.73133
74   73.00 1500 -43.59318
75   74.00 1500 -43.45580
76   75.00 1500 -43.31916
77   76.00 1500 -43.18328
78   77.00 1500 -43.04813
79   78.00 1500 -42.91372
80   79.00 1500 -42.78005
81   80.00 1500 -42.64709
82   81.00 1500 -42.51486
83   82.00 1500 -42.38333
84   83.00 1500 -42.25252
85   84.00 1500 -42.12240
86   85.00 1500 -41.99298
87   86.00 1500 -41.86426
88   87.00 1500 -41.73621
89   88.00 1500 -41.60885
90   89.00 1500 -41.48216
91   90.00 1500 -41.35613
92   91.00 1500 -41.23077
93   92.00 1500 -41.10607
94   93.00 1500 -40.98202
95   94.00 1500 -40.85862
96   95.00 1500 -40.73587
97   96.00 1500 -40.61375
98   97.00 1500 -40.49226
99   98.00 1500 -40.37140
100  99.00 1500 -40.25117
101 100.00 1500 -40.15170
102 101.00 1500 -40.03268
103 102.00 1500 -39.91425
104 103.00 1500 -39.79643
105 104.00 1500 -39.67919
106 105.00 1500 -39.56254
107 106.00 1500 -39.44648
108 107.00 1500 -39.33099
109 108.00 1500 -39.21608
110 109.00 1500 -39.10174
111 110.00 1500 -38.98797
112 111.00 1500 -38.87476
113 112.00 1500 -38.76210
114 113.00 1500 -38.65000
115 114.00 1500 -38.53845
116 115.00 1500 -38.42745
117 116.00 1500 -38.31699
118 117.00 1500 -38.20706
119 118.00 1500 -38.09767
120 119.00 1500 -37.98881
121 120.00 1500 -37.88048
122 121.00 1500 -37.77267
123 122.00 1500 -37.66538
124 123.00 1500 -37.55861
125 124.00 1500 -37.45235
126 125.00 1500 -37.34659
127 126.00 1500 -37.24134
