$reaction
     coeff    name formula state ispecies
65      -1     NH3     NH3    aq       65
926     -1 methane     CH4    aq      926
1090     1     HCN     HCN    aq     1090
63       3      H2      H2    aq       63

$out
         T    P       logK
1     0.01 1500 -46.725813
2     1.00 1500 -46.551444
3     2.00 1500 -46.375950
4     3.00 1500 -46.201116
5     4.00 1500 -46.026961
6     5.00 1500 -45.853499
7     6.00 1500 -45.680745
8     7.00 1500 -45.508712
9     8.00 1500 -45.337409
10    9.00 1500 -45.166847
11   10.00 1500 -44.997033
12   11.00 1500 -44.827974
13   12.00 1500 -44.659677
14   13.00 1500 -44.492146
15   14.00 1500 -44.325385
16   15.00 1500 -44.159398
17   16.00 1500 -43.994188
18   17.00 1500 -43.829756
19   18.00 1500 -43.666104
20   19.00 1500 -43.503233
21   20.00 1500 -43.341143
22   21.00 1500 -43.179835
23   22.00 1500 -43.019307
24   23.00 1500 -42.859559
25   24.00 1500 -42.700590
26   25.00 1500 -42.542398
27   26.00 1500 -42.384982
28   27.00 1500 -42.228339
29   28.00 1500 -42.072467
30   29.00 1500 -41.917364
31   30.00 1500 -41.763027
32   31.00 1500 -41.609453
33   32.00 1500 -41.456639
34   33.00 1500 -41.304582
35   34.00 1500 -41.153279
36   35.00 1500 -41.002725
37   36.00 1500 -40.852919
38   37.00 1500 -40.703854
39   38.00 1500 -40.555529
40   39.00 1500 -40.407940
41   40.00 1500 -40.261081
42   41.00 1500 -40.114949
43   42.00 1500 -39.969541
44   43.00 1500 -39.824852
45   44.00 1500 -39.680878
46   45.00 1500 -39.537614
47   46.00 1500 -39.395057
48   47.00 1500 -39.253202
49   48.00 1500 -39.112045
50   49.00 1500 -38.971581
51   50.00 1500 -38.831807
52   51.00 1500 -38.692717
53   52.00 1500 -38.554308
54   53.00 1500 -38.416575
55   54.00 1500 -38.279514
56   55.00 1500 -38.143120
57   56.00 1500 -38.007389
58   57.00 1500 -37.872317
59   58.00 1500 -37.737899
60   59.00 1500 -37.604131
61   60.00 1500 -37.471008
62   61.00 1500 -37.338526
63   62.00 1500 -37.206681
64   63.00 1500 -37.075468
65   64.00 1500 -36.944884
66   65.00 1500 -36.814923
67   66.00 1500 -36.685582
68   67.00 1500 -36.556857
69   68.00 1500 -36.428742
70   69.00 1500 -36.301234
71   70.00 1500 -36.174329
72   71.00 1500 -36.048022
73   72.00 1500 -35.922310
74   73.00 1500 -35.797188
75   74.00 1500 -35.672651
76   75.00 1500 -35.548697
77   76.00 1500 -35.425321
78   77.00 1500 -35.302518
79   78.00 1500 -35.180285
80   79.00 1500 -35.058619
81   80.00 1500 -34.937514
82   81.00 1500 -34.816967
83   82.00 1500 -34.696974
84   83.00 1500 -34.577531
85   84.00 1500 -34.458635
86   85.00 1500 -34.340281
87   86.00 1500 -34.222466
88   87.00 1500 -34.105186
89   88.00 1500 -33.988437
90   89.00 1500 -33.872215
91   90.00 1500 -33.756518
92   91.00 1500 -33.641340
93   92.00 1500 -33.526679
94   93.00 1500 -33.412531
95   94.00 1500 -33.298892
96   95.00 1500 -33.185759
97   96.00 1500 -33.073128
98   97.00 1500 -32.960996
99   98.00 1500 -32.849360
100  99.00 1500 -32.738215
101 100.00 1500 -32.622340
102 101.00 1500 -32.512174
103 102.00 1500 -32.402491
104 103.00 1500 -32.293290
105 104.00 1500 -32.184565
106 105.00 1500 -32.076314
107 106.00 1500 -31.968534
108 107.00 1500 -31.861221
109 108.00 1500 -31.754373
110 109.00 1500 -31.647984
111 110.00 1500 -31.542054
112 111.00 1500 -31.436578
113 112.00 1500 -31.331553
114 113.00 1500 -31.226977
115 114.00 1500 -31.122845
116 115.00 1500 -31.019156
117 116.00 1500 -30.915906
118 117.00 1500 -30.813092
119 118.00 1500 -30.710710
120 119.00 1500 -30.608759
121 120.00 1500 -30.507235
122 121.00 1500 -30.406136
123 122.00 1500 -30.305458
124 123.00 1500 -30.205198
125 124.00 1500 -30.105354
126 125.00 1500 -30.005923
127 126.00 1500 -29.906902
128 127.00 1500 -29.808288
129 128.00 1500 -29.710079
130 129.00 1500 -29.612272
131 130.00 1500 -29.514864
132 131.00 1500 -29.417853
133 132.00 1500 -29.321235
134 133.00 1500 -29.225009
135 134.00 1500 -29.129171
136 135.00 1500 -29.033720
137 136.00 1500 -28.938652
138 137.00 1500 -28.843965
139 138.00 1500 -28.749657
140 139.00 1500 -28.655724
141 140.00 1500 -28.562165
142 141.00 1500 -28.468978
143 142.00 1500 -28.376158
144 143.00 1500 -28.283706
145 144.00 1500 -28.191617
146 145.00 1500 -28.099889
147 146.00 1500 -28.008521
148 147.00 1500 -27.917509
149 148.00 1500 -27.826852
150 149.00 1500 -27.736547
151 150.00 1500 -27.646592
152 151.00 1500 -27.556985
153 152.00 1500 -27.467723
154 153.00 1500 -27.378805
155 154.00 1500 -27.290227
156 155.00 1500 -27.201989
157 156.00 1500 -27.114087
158 157.00 1500 -27.026519
159 158.00 1500 -26.939285
160 159.00 1500 -26.852380
161 160.00 1500 -26.765804
162 161.00 1500 -26.679554
163 162.00 1500 -26.593627
164 163.00 1500 -26.508024
165 164.00 1500 -26.422740
166 165.00 1500 -26.337774
167 166.00 1500 -26.253124
168 167.00 1500 -26.168789
169 168.00 1500 -26.084765
170 169.00 1500 -26.001052
171 170.00 1500 -25.917647
172 171.00 1500 -25.834548
173 172.00 1500 -25.751754
174 173.00 1500 -25.669262
175 174.00 1500 -25.587071
176 175.00 1500 -25.505179
177 176.00 1500 -25.423584
178 177.00 1500 -25.342285
179 178.00 1500 -25.261278
180 179.00 1500 -25.180564
181 180.00 1500 -25.100139
182 181.00 1500 -25.020002
183 182.00 1500 -24.940152
184 183.00 1500 -24.860587
185 184.00 1500 -24.781304
186 185.00 1500 -24.702302
187 186.00 1500 -24.623580
188 187.00 1500 -24.545136
189 188.00 1500 -24.466968
190 189.00 1500 -24.389074
191 190.00 1500 -24.311453
192 191.00 1500 -24.234104
193 192.00 1500 -24.157024
194 193.00 1500 -24.080212
195 194.00 1500 -24.003667
196 195.00 1500 -23.927386
197 196.00 1500 -23.851369
198 197.00 1500 -23.775614
199 198.00 1500 -23.700118
200 199.00 1500 -23.624882
201 200.00 1500 -23.549903
202 201.00 1500 -23.475179
203 202.00 1500 -23.400709
204 203.00 1500 -23.326492
205 204.00 1500 -23.252526
206 205.00 1500 -23.178811
207 206.00 1500 -23.105343
208 207.00 1500 -23.032122
209 208.00 1500 -22.959146
210 209.00 1500 -22.886415
211 210.00 1500 -22.813927
212 211.00 1500 -22.741679
213 212.00 1500 -22.669672
214 213.00 1500 -22.597903
215 214.00 1500 -22.526370
216 215.00 1500 -22.455074
217 216.00 1500 -22.384012
218 217.00 1500 -22.313184
219 218.00 1500 -22.242586
220 219.00 1500 -22.172220
221 220.00 1500 -22.102082
222 221.00 1500 -22.032173
223 222.00 1500 -21.962490
224 223.00 1500 -21.893032
225 224.00 1500 -21.823799
226 225.00 1500 -21.754788
227 226.00 1500 -21.685998
228 227.00 1500 -21.617429
229 228.00 1500 -21.549079
230 229.00 1500 -21.480947
231 230.00 1500 -21.413031
232 231.00 1500 -21.345331
233 232.00 1500 -21.277845
234 233.00 1500 -21.210573
235 234.00 1500 -21.143512
236 235.00 1500 -21.076661
237 236.00 1500 -21.010020
238 237.00 1500 -20.943588
239 238.00 1500 -20.877363
240 239.00 1500 -20.811344
241 240.00 1500 -20.745530
242 241.00 1500 -20.679920
243 242.00 1500 -20.614513
244 243.00 1500 -20.549307
245 244.00 1500 -20.484302
246 245.00 1500 -20.419496
247 246.00 1500 -20.354889
248 247.00 1500 -20.290479
249 248.00 1500 -20.226265
250 249.00 1500 -20.162247
251 250.00 1500 -20.098423
252 251.00 1500 -20.034792
253 252.00 1500 -19.971353
254 253.00 1500 -19.908105
255 254.00 1500 -19.845047
256 255.00 1500 -19.782178
257 256.00 1500 -19.719497
258 257.00 1500 -19.657003
259 258.00 1500 -19.594696
260 259.00 1500 -19.532573
261 260.00 1500 -19.470634
262 261.00 1500 -19.408878
263 262.00 1500 -19.347305
264 263.00 1500 -19.285913
265 264.00 1500 -19.224700
266 265.00 1500 -19.163667
267 266.00 1500 -19.102813
268 267.00 1500 -19.042135
269 268.00 1500 -18.981634
270 269.00 1500 -18.921310
271 270.00 1500 -18.861159
272 271.00 1500 -18.801182
273 272.00 1500 -18.741378
274 273.00 1500 -18.681746
275 274.00 1500 -18.622284
276 275.00 1500 -18.562993
277 276.00 1500 -18.503871
278 277.00 1500 -18.444918
279 278.00 1500 -18.386132
280 279.00 1500 -18.327513
281 280.00 1500 -18.269060
282 281.00 1500 -18.210772
283 282.00 1500 -18.152647
284 283.00 1500 -18.094686
285 284.00 1500 -18.036887
286 285.00 1500 -17.979250
287 286.00 1500 -17.921774
288 287.00 1500 -17.864457
289 288.00 1500 -17.807300
290 289.00 1500 -17.750301
291 290.00 1500 -17.693459
292 291.00 1500 -17.636775
293 292.00 1500 -17.580246
294 293.00 1500 -17.523872
295 294.00 1500 -17.467653
296 295.00 1500 -17.411588
297 296.00 1500 -17.355674
298 297.00 1500 -17.299914
299 298.00 1500 -17.244304
300 299.00 1500 -17.188845
301 300.00 1500 -17.133536
302 301.00 1500 -17.078376
303 302.00 1500 -17.023363
304 303.00 1500 -16.968499
305 304.00 1500 -16.913781
306 305.00 1500 -16.859210
307 306.00 1500 -16.804784
308 307.00 1500 -16.750502
309 308.00 1500 -16.696364
310 309.00 1500 -16.642369
311 310.00 1500 -16.588517
312 311.00 1500 -16.534807
313 312.00 1500 -16.481238
314 313.00 1500 -16.427809
315 314.00 1500 -16.374519
316 315.00 1500 -16.321369
317 316.00 1500 -16.268357
318 317.00 1500 -16.215483
319 318.00 1500 -16.162746
320 319.00 1500 -16.110145
321 320.00 1500 -16.057679
322 321.00 1500 -16.005349
323 322.00 1500 -15.953152
324 323.00 1500 -15.901089
325 324.00 1500 -15.849159
326 325.00 1500 -15.797362
327 326.00 1500 -15.745697
328 327.00 1500 -15.694162
329 328.00 1500 -15.642758
330 329.00 1500 -15.591484
331 330.00 1500 -15.540338
332 331.00 1500 -15.489321
333 332.00 1500 -15.438433
334 333.00 1500 -15.387671
335 334.00 1500 -15.337036
336 335.00 1500 -15.286527
337 336.00 1500 -15.236143
338 337.00 1500 -15.185884
339 338.00 1500 -15.135750
340 339.00 1500 -15.085739
341 340.00 1500 -15.035851
342 341.00 1500 -14.986086
343 342.00 1500 -14.936442
344 343.00 1500 -14.886919
345 344.00 1500 -14.837518
346 345.00 1500 -14.788237
347 346.00 1500 -14.739074
348 347.00 1500 -14.690031
349 348.00 1500 -14.641107
350 349.00 1500 -14.592300
351 350.00 1500 -14.543610
352 351.00 1500 -14.495037
353 352.00 1500 -14.446580
354 353.00 1500 -14.398238
355 354.00 1500 -14.350012
356 355.00 1500 -14.301900
357 356.00 1500 -14.253902
358 357.00 1500 -14.206018
359 358.00 1500 -14.158246
360 359.00 1500 -14.110587
361 360.00 1500 -14.063039
362 361.00 1500 -14.015603
363 362.00 1500 -13.968277
364 363.00 1500 -13.921061
365 364.00 1500 -13.873955
366 365.00 1500 -13.826959
367 366.00 1500 -13.780071
368 367.00 1500 -13.733291
369 368.00 1500 -13.686617
370 369.00 1500 -13.640052
371 370.00 1500 -13.593593
372 371.00 1500 -13.547241
373 372.00 1500 -13.500994
374 373.00 1500 -13.454851
375 374.00 1500 -13.408814
376 375.00 1500 -13.362881
377 376.00 1500 -13.317050
378 377.00 1500 -13.271323
379 378.00 1500 -13.225699
380 379.00 1500 -13.180177
381 380.00 1500 -13.134757
382 381.00 1500 -13.089438
383 382.00 1500 -13.044219
384 383.00 1500 -12.999100
385 384.00 1500 -12.954081
386 385.00 1500 -12.909162
387 386.00 1500 -12.864341
388 387.00 1500 -12.819619
389 388.00 1500 -12.774993
390 389.00 1500 -12.730467
391 390.00 1500 -12.686036
392 391.00 1500 -12.641703
393 392.00 1500 -12.597464
394 393.00 1500 -12.553322
395 394.00 1500 -12.509274
396 395.00 1500 -12.465322
397 396.00 1500 -12.421463
398 397.00 1500 -12.377698
399 398.00 1500 -12.334028
400 399.00 1500 -12.290449
401 400.00 1500 -12.246962
402 401.00 1500 -12.203569
403 402.00 1500 -12.160265
404 403.00 1500 -12.117055
405 404.00 1500 -12.073933
406 405.00 1500 -12.030902
407 406.00 1500 -11.987961
408 407.00 1500 -11.945111
409 408.00 1500 -11.902349
410 409.00 1500 -11.859674
411 410.00 1500 -11.817089
412 411.00 1500 -11.774591
413 412.00 1500 -11.732179
414 413.00 1500 -11.689856
415 414.00 1500 -11.647618
416 415.00 1500 -11.605468
417 416.00 1500 -11.563402
418 417.00 1500 -11.521421
419 418.00 1500 -11.479526
420 419.00 1500 -11.437715
421 420.00 1500 -11.395987
422 421.00 1500 -11.354344
423 422.00 1500 -11.312783
424 423.00 1500 -11.271306
425 424.00 1500 -11.229911
426 425.00 1500 -11.188597
427 426.00 1500 -11.147366
428 427.00 1500 -11.106215
429 428.00 1500 -11.065147
430 429.00 1500 -11.024158
431 430.00 1500 -10.983249
432 431.00 1500 -10.942420
433 432.00 1500 -10.901670
434 433.00 1500 -10.861000
435 434.00 1500 -10.820408
436 435.00 1500 -10.779892
437 436.00 1500 -10.739456
438 437.00 1500 -10.699097
439 438.00 1500 -10.658815
440 439.00 1500 -10.618610
441 440.00 1500 -10.578482
442 441.00 1500 -10.538429
443 442.00 1500 -10.498451
444 443.00 1500 -10.458549
445 444.00 1500 -10.418721
446 445.00 1500 -10.378968
447 446.00 1500 -10.339289
448 447.00 1500 -10.299685
449 448.00 1500 -10.260153
450 449.00 1500 -10.220693
451 450.00 1500 -10.181307
452 451.00 1500 -10.141995
453 452.00 1500 -10.102753
454 453.00 1500 -10.063582
455 454.00 1500 -10.024483
456 455.00 1500  -9.985457
457 456.00 1500  -9.946497
458 457.00 1500  -9.907612
459 458.00 1500  -9.868796
460 459.00 1500  -9.830047
461 460.00 1500  -9.791369
462 461.00 1500  -9.752758
463 462.00 1500  -9.714218
464 463.00 1500  -9.675744
465 464.00 1500  -9.637339
466 465.00 1500  -9.599003
467 466.00 1500  -9.560733
468 467.00 1500  -9.522528
469 468.00 1500  -9.484391
470 469.00 1500  -9.446321
471 470.00 1500  -9.408316
472 471.00 1500  -9.370374
