$reaction
   coeff name formula state ispecies
65    -2  NH3     NH3    aq       65
72     1   N2      N2    aq       72
63     3   H2      H2    aq       63

$out
         T    P          logK
1     0.01 1500 -2.552490e+01
2     1.00 1500 -2.544047e+01
3     2.00 1500 -2.535496e+01
4     3.00 1500 -2.526926e+01
5     4.00 1500 -2.518339e+01
6     5.00 1500 -2.509738e+01
7     6.00 1500 -2.501127e+01
8     7.00 1500 -2.492508e+01
9     8.00 1500 -2.483882e+01
10    9.00 1500 -2.475253e+01
11   10.00 1500 -2.466622e+01
12   11.00 1500 -2.457991e+01
13   12.00 1500 -2.449361e+01
14   13.00 1500 -2.440735e+01
15   14.00 1500 -2.432114e+01
16   15.00 1500 -2.423498e+01
17   16.00 1500 -2.414890e+01
18   17.00 1500 -2.406290e+01
19   18.00 1500 -2.397700e+01
20   19.00 1500 -2.389121e+01
21   20.00 1500 -2.380553e+01
22   21.00 1500 -2.371997e+01
23   22.00 1500 -2.363455e+01
24   23.00 1500 -2.354926e+01
25   24.00 1500 -2.346412e+01
26   25.00 1500 -2.337913e+01
27   26.00 1500 -2.329431e+01
28   27.00 1500 -2.320964e+01
29   28.00 1500 -2.312515e+01
30   29.00 1500 -2.304083e+01
31   30.00 1500 -2.295669e+01
32   31.00 1500 -2.287273e+01
33   32.00 1500 -2.278896e+01
34   33.00 1500 -2.270538e+01
35   34.00 1500 -2.262200e+01
36   35.00 1500 -2.253881e+01
37   36.00 1500 -2.245582e+01
38   37.00 1500 -2.237304e+01
39   38.00 1500 -2.229046e+01
40   39.00 1500 -2.220808e+01
41   40.00 1500 -2.212592e+01
42   41.00 1500 -2.204397e+01
43   42.00 1500 -2.196223e+01
44   43.00 1500 -2.188070e+01
45   44.00 1500 -2.179939e+01
46   45.00 1500 -2.171830e+01
47   46.00 1500 -2.163743e+01
48   47.00 1500 -2.155677e+01
49   48.00 1500 -2.147634e+01
50   49.00 1500 -2.139612e+01
51   50.00 1500 -2.131613e+01
52   51.00 1500 -2.123636e+01
53   52.00 1500 -2.115682e+01
54   53.00 1500 -2.107750e+01
55   54.00 1500 -2.099840e+01
56   55.00 1500 -2.091952e+01
57   56.00 1500 -2.084087e+01
58   57.00 1500 -2.076245e+01
59   58.00 1500 -2.068425e+01
60   59.00 1500 -2.060627e+01
61   60.00 1500 -2.052852e+01
62   61.00 1500 -2.045099e+01
63   62.00 1500 -2.037369e+01
64   63.00 1500 -2.029661e+01
65   64.00 1500 -2.021975e+01
66   65.00 1500 -2.014312e+01
67   66.00 1500 -2.006671e+01
68   67.00 1500 -1.999053e+01
69   68.00 1500 -1.991457e+01
70   69.00 1500 -1.983883e+01
71   70.00 1500 -1.976331e+01
72   71.00 1500 -1.968801e+01
73   72.00 1500 -1.961294e+01
74   73.00 1500 -1.953808e+01
75   74.00 1500 -1.946345e+01
76   75.00 1500 -1.938903e+01
77   76.00 1500 -1.931483e+01
78   77.00 1500 -1.924085e+01
79   78.00 1500 -1.916709e+01
80   79.00 1500 -1.909355e+01
81   80.00 1500 -1.902022e+01
82   81.00 1500 -1.894710e+01
83   82.00 1500 -1.887420e+01
84   83.00 1500 -1.880152e+01
85   84.00 1500 -1.872905e+01
86   85.00 1500 -1.865679e+01
87   86.00 1500 -1.858474e+01
88   87.00 1500 -1.851290e+01
89   88.00 1500 -1.844128e+01
90   89.00 1500 -1.836986e+01
91   90.00 1500 -1.829865e+01
92   91.00 1500 -1.822765e+01
93   92.00 1500 -1.815686e+01
94   93.00 1500 -1.808627e+01
95   94.00 1500 -1.801589e+01
96   95.00 1500 -1.794571e+01
97   96.00 1500 -1.787574e+01
98   97.00 1500 -1.780597e+01
99   98.00 1500 -1.773640e+01
100  99.00 1500 -1.766704e+01
101 100.00 1500 -1.758205e+01
102 101.00 1500 -1.751310e+01
103 102.00 1500 -1.744435e+01
104 103.00 1500 -1.737581e+01
105 104.00 1500 -1.730747e+01
106 105.00 1500 -1.723934e+01
107 106.00 1500 -1.717140e+01
108 107.00 1500 -1.710367e+01
109 108.00 1500 -1.703613e+01
110 109.00 1500 -1.696879e+01
111 110.00 1500 -1.690165e+01
112 111.00 1500 -1.683471e+01
113 112.00 1500 -1.676796e+01
114 113.00 1500 -1.670140e+01
115 114.00 1500 -1.663504e+01
116 115.00 1500 -1.656887e+01
117 116.00 1500 -1.650289e+01
118 117.00 1500 -1.643710e+01
119 118.00 1500 -1.637151e+01
120 119.00 1500 -1.630609e+01
121 120.00 1500 -1.624087e+01
122 121.00 1500 -1.617583e+01
123 122.00 1500 -1.611098e+01
124 123.00 1500 -1.604631e+01
125 124.00 1500 -1.598183e+01
126 125.00 1500 -1.591753e+01
127 126.00 1500 -1.585341e+01
128 127.00 1500 -1.578947e+01
129 128.00 1500 -1.572571e+01
130 129.00 1500 -1.566213e+01
131 130.00 1500 -1.559872e+01
132 131.00 1500 -1.553549e+01
133 132.00 1500 -1.547244e+01
134 133.00 1500 -1.540957e+01
135 134.00 1500 -1.534687e+01
136 135.00 1500 -1.528434e+01
137 136.00 1500 -1.522198e+01
138 137.00 1500 -1.515979e+01
139 138.00 1500 -1.509778e+01
140 139.00 1500 -1.503593e+01
141 140.00 1500 -1.497426e+01
142 141.00 1500 -1.491275e+01
143 142.00 1500 -1.485140e+01
144 143.00 1500 -1.479023e+01
145 144.00 1500 -1.472922e+01
146 145.00 1500 -1.466837e+01
147 146.00 1500 -1.460769e+01
148 147.00 1500 -1.454717e+01
149 148.00 1500 -1.448681e+01
150 149.00 1500 -1.442661e+01
151 150.00 1500 -1.436657e+01
152 151.00 1500 -1.430669e+01
153 152.00 1500 -1.424697e+01
154 153.00 1500 -1.418740e+01
155 154.00 1500 -1.412800e+01
156 155.00 1500 -1.406875e+01
157 156.00 1500 -1.400965e+01
158 157.00 1500 -1.395071e+01
159 158.00 1500 -1.389192e+01
160 159.00 1500 -1.383328e+01
161 160.00 1500 -1.377480e+01
162 161.00 1500 -1.371647e+01
163 162.00 1500 -1.365828e+01
164 163.00 1500 -1.360025e+01
165 164.00 1500 -1.354236e+01
166 165.00 1500 -1.348463e+01
167 166.00 1500 -1.342704e+01
168 167.00 1500 -1.336959e+01
169 168.00 1500 -1.331230e+01
170 169.00 1500 -1.325514e+01
171 170.00 1500 -1.319813e+01
172 171.00 1500 -1.314127e+01
173 172.00 1500 -1.308454e+01
174 173.00 1500 -1.302796e+01
175 174.00 1500 -1.297152e+01
176 175.00 1500 -1.291522e+01
177 176.00 1500 -1.285906e+01
178 177.00 1500 -1.280304e+01
179 178.00 1500 -1.274715e+01
180 179.00 1500 -1.269141e+01
181 180.00 1500 -1.263580e+01
182 181.00 1500 -1.258033e+01
183 182.00 1500 -1.252499e+01
184 183.00 1500 -1.246978e+01
185 184.00 1500 -1.241471e+01
186 185.00 1500 -1.235978e+01
187 186.00 1500 -1.230497e+01
188 187.00 1500 -1.225030e+01
189 188.00 1500 -1.219576e+01
190 189.00 1500 -1.214135e+01
191 190.00 1500 -1.208707e+01
192 191.00 1500 -1.203292e+01
193 192.00 1500 -1.197890e+01
194 193.00 1500 -1.192500e+01
195 194.00 1500 -1.187123e+01
196 195.00 1500 -1.181759e+01
197 196.00 1500 -1.176408e+01
198 197.00 1500 -1.171068e+01
199 198.00 1500 -1.165742e+01
200 199.00 1500 -1.160428e+01
201 200.00 1500 -1.155126e+01
202 201.00 1500 -1.149836e+01
203 202.00 1500 -1.144559e+01
204 203.00 1500 -1.139294e+01
205 204.00 1500 -1.134040e+01
206 205.00 1500 -1.128799e+01
207 206.00 1500 -1.123570e+01
208 207.00 1500 -1.118353e+01
209 208.00 1500 -1.113147e+01
210 209.00 1500 -1.107954e+01
211 210.00 1500 -1.102772e+01
212 211.00 1500 -1.097601e+01
213 212.00 1500 -1.092442e+01
214 213.00 1500 -1.087295e+01
215 214.00 1500 -1.082159e+01
216 215.00 1500 -1.077035e+01
217 216.00 1500 -1.071922e+01
218 217.00 1500 -1.066820e+01
219 218.00 1500 -1.061730e+01
220 219.00 1500 -1.056651e+01
221 220.00 1500 -1.051583e+01
222 221.00 1500 -1.046526e+01
223 222.00 1500 -1.041480e+01
224 223.00 1500 -1.036444e+01
225 224.00 1500 -1.031420e+01
226 225.00 1500 -1.026407e+01
227 226.00 1500 -1.021404e+01
228 227.00 1500 -1.016413e+01
229 228.00 1500 -1.011432e+01
230 229.00 1500 -1.006461e+01
231 230.00 1500 -1.001501e+01
232 231.00 1500 -9.965517e+00
233 232.00 1500 -9.916127e+00
234 233.00 1500 -9.866843e+00
235 234.00 1500 -9.817661e+00
236 235.00 1500 -9.768581e+00
237 236.00 1500 -9.719606e+00
238 237.00 1500 -9.670731e+00
239 238.00 1500 -9.621960e+00
240 239.00 1500 -9.573288e+00
241 240.00 1500 -9.524718e+00
242 241.00 1500 -9.476247e+00
243 242.00 1500 -9.427875e+00
244 243.00 1500 -9.379602e+00
245 244.00 1500 -9.331429e+00
246 245.00 1500 -9.283353e+00
247 246.00 1500 -9.235375e+00
248 247.00 1500 -9.187492e+00
249 248.00 1500 -9.139707e+00
250 249.00 1500 -9.092018e+00
251 250.00 1500 -9.044425e+00
252 251.00 1500 -8.996927e+00
253 252.00 1500 -8.949522e+00
254 253.00 1500 -8.902212e+00
255 254.00 1500 -8.854996e+00
256 255.00 1500 -8.807873e+00
257 256.00 1500 -8.760841e+00
258 257.00 1500 -8.713903e+00
259 258.00 1500 -8.667056e+00
260 259.00 1500 -8.620301e+00
261 260.00 1500 -8.573636e+00
262 261.00 1500 -8.527061e+00
263 262.00 1500 -8.480577e+00
264 263.00 1500 -8.434181e+00
265 264.00 1500 -8.387875e+00
266 265.00 1500 -8.341656e+00
267 266.00 1500 -8.295526e+00
268 267.00 1500 -8.249484e+00
269 268.00 1500 -8.203528e+00
270 269.00 1500 -8.157661e+00
271 270.00 1500 -8.111877e+00
272 271.00 1500 -8.066181e+00
273 272.00 1500 -8.020569e+00
274 273.00 1500 -7.975043e+00
275 274.00 1500 -7.929600e+00
276 275.00 1500 -7.884243e+00
277 276.00 1500 -7.838968e+00
278 277.00 1500 -7.793778e+00
279 278.00 1500 -7.748669e+00
280 279.00 1500 -7.703643e+00
281 280.00 1500 -7.658699e+00
282 281.00 1500 -7.613836e+00
283 282.00 1500 -7.569055e+00
284 283.00 1500 -7.524352e+00
285 284.00 1500 -7.479731e+00
286 285.00 1500 -7.435190e+00
287 286.00 1500 -7.390729e+00
288 287.00 1500 -7.346345e+00
289 288.00 1500 -7.302041e+00
290 289.00 1500 -7.257816e+00
291 290.00 1500 -7.213667e+00
292 291.00 1500 -7.169595e+00
293 292.00 1500 -7.125602e+00
294 293.00 1500 -7.081683e+00
295 294.00 1500 -7.037842e+00
296 295.00 1500 -6.994077e+00
297 296.00 1500 -6.950385e+00
298 297.00 1500 -6.906769e+00
299 298.00 1500 -6.863229e+00
300 299.00 1500 -6.819761e+00
301 300.00 1500 -6.776367e+00
302 301.00 1500 -6.733048e+00
303 302.00 1500 -6.689800e+00
304 303.00 1500 -6.646625e+00
305 304.00 1500 -6.603523e+00
306 305.00 1500 -6.560494e+00
307 306.00 1500 -6.517535e+00
308 307.00 1500 -6.474647e+00
309 308.00 1500 -6.431829e+00
310 309.00 1500 -6.389081e+00
311 310.00 1500 -6.346404e+00
312 311.00 1500 -6.303797e+00
313 312.00 1500 -6.261258e+00
314 313.00 1500 -6.218789e+00
315 314.00 1500 -6.176386e+00
316 315.00 1500 -6.134052e+00
317 316.00 1500 -6.091786e+00
318 317.00 1500 -6.049588e+00
319 318.00 1500 -6.007456e+00
320 319.00 1500 -5.965391e+00
321 320.00 1500 -5.923390e+00
322 321.00 1500 -5.881459e+00
323 322.00 1500 -5.839588e+00
324 323.00 1500 -5.797786e+00
325 324.00 1500 -5.756047e+00
326 325.00 1500 -5.714374e+00
327 326.00 1500 -5.672765e+00
328 327.00 1500 -5.631218e+00
329 328.00 1500 -5.589735e+00
330 329.00 1500 -5.548315e+00
331 330.00 1500 -5.506957e+00
332 331.00 1500 -5.465661e+00
333 332.00 1500 -5.424429e+00
334 333.00 1500 -5.383256e+00
335 334.00 1500 -5.342145e+00
336 335.00 1500 -5.301095e+00
337 336.00 1500 -5.260104e+00
338 337.00 1500 -5.219174e+00
339 338.00 1500 -5.178305e+00
340 339.00 1500 -5.137493e+00
341 340.00 1500 -5.096742e+00
342 341.00 1500 -5.056049e+00
343 342.00 1500 -5.015414e+00
344 343.00 1500 -4.974837e+00
345 344.00 1500 -4.934318e+00
346 345.00 1500 -4.893858e+00
347 346.00 1500 -4.853450e+00
348 347.00 1500 -4.813103e+00
349 348.00 1500 -4.772813e+00
350 349.00 1500 -4.732576e+00
351 350.00 1500 -4.692397e+00
352 351.00 1500 -4.652270e+00
353 352.00 1500 -4.612200e+00
354 353.00 1500 -4.572185e+00
355 354.00 1500 -4.532222e+00
356 355.00 1500 -4.492314e+00
357 356.00 1500 -4.452461e+00
358 357.00 1500 -4.412661e+00
359 358.00 1500 -4.372913e+00
360 359.00 1500 -4.333218e+00
361 360.00 1500 -4.293574e+00
362 361.00 1500 -4.253985e+00
363 362.00 1500 -4.214443e+00
364 363.00 1500 -4.174956e+00
365 364.00 1500 -4.135518e+00
366 365.00 1500 -4.096132e+00
367 366.00 1500 -4.056796e+00
368 367.00 1500 -4.017509e+00
369 368.00 1500 -3.978269e+00
370 369.00 1500 -3.939082e+00
371 370.00 1500 -3.899943e+00
372 371.00 1500 -3.860852e+00
373 372.00 1500 -3.821811e+00
374 373.00 1500 -3.782816e+00
375 374.00 1500 -3.743870e+00
376 375.00 1500 -3.704972e+00
377 376.00 1500 -3.666118e+00
378 377.00 1500 -3.627313e+00
379 378.00 1500 -3.588554e+00
380 379.00 1500 -3.549840e+00
381 380.00 1500 -3.511175e+00
382 381.00 1500 -3.472554e+00
383 382.00 1500 -3.433975e+00
384 383.00 1500 -3.395442e+00
385 384.00 1500 -3.356955e+00
386 385.00 1500 -3.318512e+00
387 386.00 1500 -3.280111e+00
388 387.00 1500 -3.241755e+00
389 388.00 1500 -3.203439e+00
390 389.00 1500 -3.165170e+00
391 390.00 1500 -3.126942e+00
392 391.00 1500 -3.088756e+00
393 392.00 1500 -3.050610e+00
394 393.00 1500 -3.012507e+00
395 394.00 1500 -2.974446e+00
396 395.00 1500 -2.936426e+00
397 396.00 1500 -2.898445e+00
398 397.00 1500 -2.860502e+00
399 398.00 1500 -2.822606e+00
400 399.00 1500 -2.784744e+00
401 400.00 1500 -2.746923e+00
402 401.00 1500 -2.709141e+00
403 402.00 1500 -2.671395e+00
404 403.00 1500 -2.633693e+00
405 404.00 1500 -2.596022e+00
406 405.00 1500 -2.558393e+00
407 406.00 1500 -2.520799e+00
408 407.00 1500 -2.483247e+00
409 408.00 1500 -2.445729e+00
410 409.00 1500 -2.408245e+00
411 410.00 1500 -2.370801e+00
412 411.00 1500 -2.333390e+00
413 412.00 1500 -2.296013e+00
414 413.00 1500 -2.258675e+00
415 414.00 1500 -2.221369e+00
416 415.00 1500 -2.184102e+00
417 416.00 1500 -2.146867e+00
418 417.00 1500 -2.109663e+00
419 418.00 1500 -2.072497e+00
420 419.00 1500 -2.035361e+00
421 420.00 1500 -1.998255e+00
422 421.00 1500 -1.961187e+00
423 422.00 1500 -1.924148e+00
424 423.00 1500 -1.887146e+00
425 424.00 1500 -1.850173e+00
426 425.00 1500 -1.813228e+00
427 426.00 1500 -1.776318e+00
428 427.00 1500 -1.739437e+00
429 428.00 1500 -1.702590e+00
430 429.00 1500 -1.665771e+00
431 430.00 1500 -1.628978e+00
432 431.00 1500 -1.592219e+00
433 432.00 1500 -1.555487e+00
434 433.00 1500 -1.518788e+00
435 434.00 1500 -1.482114e+00
436 435.00 1500 -1.445465e+00
437 436.00 1500 -1.408849e+00
438 437.00 1500 -1.372257e+00
439 438.00 1500 -1.335697e+00
440 439.00 1500 -1.299160e+00
441 440.00 1500 -1.262655e+00
442 441.00 1500 -1.226173e+00
443 442.00 1500 -1.189713e+00
444 443.00 1500 -1.153284e+00
445 444.00 1500 -1.116877e+00
446 445.00 1500 -1.080499e+00
447 446.00 1500 -1.044142e+00
448 447.00 1500 -1.007815e+00
449 448.00 1500 -9.715080e-01
450 449.00 1500 -9.352207e-01
451 450.00 1500 -8.989618e-01
452 451.00 1500 -8.627311e-01
453 452.00 1500 -8.265191e-01
454 453.00 1500 -7.903255e-01
455 454.00 1500 -7.541591e-01
456 455.00 1500 -7.180195e-01
457 456.00 1500 -6.818880e-01
458 457.00 1500 -6.457919e-01
459 458.00 1500 -6.097124e-01
460 459.00 1500 -5.736491e-01
461 460.00 1500 -5.376110e-01
462 461.00 1500 -5.015884e-01
463 462.00 1500 -4.655903e-01
464 463.00 1500 -4.296069e-01
465 464.00 1500 -3.936475e-01
466 465.00 1500 -3.577116e-01
467 466.00 1500 -3.217894e-01
468 467.00 1500 -2.858804e-01
469 468.00 1500 -2.499939e-01
470 469.00 1500 -2.141298e-01
471 470.00 1500 -1.782778e-01
472 471.00 1500 -1.424374e-01
473 472.00 1500 -1.066282e-01
474 473.00 1500 -7.082002e-02
475 474.00 1500 -3.504248e-02
476 475.00 1500  7.248553e-04
477 476.00 1500  3.648242e-02
478 477.00 1500  7.221015e-02
479 478.00 1500  1.079391e-01
480 479.00 1500  1.436492e-01
481 480.00 1500  1.793407e-01
482 481.00 1500  2.150139e-01
483 482.00 1500  2.506796e-01
484 483.00 1500  2.863277e-01
485 484.00 1500  3.219692e-01
486 485.00 1500  3.575938e-01
487 486.00 1500  3.932018e-01
488 487.00 1500  4.288044e-01
489 488.00 1500  4.643910e-01
490 489.00 1500  4.999622e-01
491 490.00 1500  5.355290e-01
492 491.00 1500  5.710701e-01
493 492.00 1500  6.066186e-01
494 493.00 1500  6.421419e-01
495 494.00 1500  6.776625e-01
496 495.00 1500  7.131697e-01
497 496.00 1500  7.486750e-01
498 497.00 1500  7.841563e-01
499 498.00 1500  8.196479e-01
500 499.00 1500  8.551161e-01
501 500.00 1500  8.905725e-01

