$reaction
   coeff name formula state ispecies
65    -1  NH3     NH3    aq       65
3     -1   H+      H+    aq        3
18     1 NH4+    NH4+    aq       18

$out
         T    P      logK
1     0.01 1500 10.225995
2     1.00 1500 10.190501
3     2.00 1500 10.154874
4     3.00 1500 10.119473
5     4.00 1500 10.084297
6     5.00 1500 10.049346
7     6.00 1500 10.014619
8     7.00 1500  9.980114
9     8.00 1500  9.945831
10    9.00 1500  9.911768
11   10.00 1500  9.877924
12   11.00 1500  9.844297
13   12.00 1500  9.810887
14   13.00 1500  9.777691
15   14.00 1500  9.744708
16   15.00 1500  9.711938
17   16.00 1500  9.679377
18   17.00 1500  9.647026
19   18.00 1500  9.614881
20   19.00 1500  9.582943
21   20.00 1500  9.551208
22   21.00 1500  9.519675
23   22.00 1500  9.488344
24   23.00 1500  9.457212
25   24.00 1500  9.426277
26   25.00 1500  9.395539
27   26.00 1500  9.364995
28   27.00 1500  9.334643
29   28.00 1500  9.304483
30   29.00 1500  9.274513
31   30.00 1500  9.244731
32   31.00 1500  9.215135
33   32.00 1500  9.185724
34   33.00 1500  9.156496
35   34.00 1500  9.127450
36   35.00 1500  9.098584
37   36.00 1500  9.069897
38   37.00 1500  9.041387
39   38.00 1500  9.013053
40   39.00 1500  8.984893
41   40.00 1500  8.956905
42   41.00 1500  8.929089
43   42.00 1500  8.901442
44   43.00 1500  8.873963
45   44.00 1500  8.846651
46   45.00 1500  8.819504
47   46.00 1500  8.792521
48   47.00 1500  8.765700
49   48.00 1500  8.739041
50   49.00 1500  8.712541
51   50.00 1500  8.686199
52   51.00 1500  8.660014
53   52.00 1500  8.633985
54   53.00 1500  8.608109
55   54.00 1500  8.582387
56   55.00 1500  8.556816
57   56.00 1500  8.531396
58   57.00 1500  8.506124
59   58.00 1500  8.481000
60   59.00 1500  8.456022
61   60.00 1500  8.431189
62   61.00 1500  8.406501
63   62.00 1500  8.381955
64   63.00 1500  8.357550
65   64.00 1500  8.333286
66   65.00 1500  8.309160
67   66.00 1500  8.285173
68   67.00 1500  8.261322
69   68.00 1500  8.237607
70   69.00 1500  8.214026
71   70.00 1500  8.190579
72   71.00 1500  8.167263
73   72.00 1500  8.144079
74   73.00 1500  8.121024
75   74.00 1500  8.098099
76   75.00 1500  8.075301
77   76.00 1500  8.052630
78   77.00 1500  8.030084
79   78.00 1500  8.007663
80   79.00 1500  7.985366
81   80.00 1500  7.963191
82   81.00 1500  7.941138
83   82.00 1500  7.919205
84   83.00 1500  7.897392
85   84.00 1500  7.875697
86   85.00 1500  7.854120
87   86.00 1500  7.832659
88   87.00 1500  7.811315
89   88.00 1500  7.790084
90   89.00 1500  7.768968
91   90.00 1500  7.747965
92   91.00 1500  7.727073
93   92.00 1500  7.706293
94   93.00 1500  7.685623
95   94.00 1500  7.665062
96   95.00 1500  7.644610
97   96.00 1500  7.624265
98   97.00 1500  7.604026
99   98.00 1500  7.583894
100  99.00 1500  7.563867
101 100.00 1500  7.540319
102 101.00 1500  7.520503
103 102.00 1500  7.500791
104 103.00 1500  7.481182
105 104.00 1500  7.461675
106 105.00 1500  7.442270
107 106.00 1500  7.422965
108 107.00 1500  7.403761
109 108.00 1500  7.384655
110 109.00 1500  7.365648
111 110.00 1500  7.346738
112 111.00 1500  7.327925
113 112.00 1500  7.309209
114 113.00 1500  7.290587
115 114.00 1500  7.272060
116 115.00 1500  7.253626
117 116.00 1500  7.235286
118 117.00 1500  7.217037
119 118.00 1500  7.198881
120 119.00 1500  7.180815
121 120.00 1500  7.162839
122 121.00 1500  7.144952
123 122.00 1500  7.127155
124 123.00 1500  7.109445
125 124.00 1500  7.091823
126 125.00 1500  7.074287
127 126.00 1500  7.056838
128 127.00 1500  7.039473
129 128.00 1500  7.022194
130 129.00 1500  7.004998
131 130.00 1500  6.987886
132 131.00 1500  6.970857
133 132.00 1500  6.953910
134 133.00 1500  6.937044
135 134.00 1500  6.920259
136 135.00 1500  6.903555
137 136.00 1500  6.886930
138 137.00 1500  6.870384
139 138.00 1500  6.853917
140 139.00 1500  6.837528
141 140.00 1500  6.821216
142 141.00 1500  6.804981
143 142.00 1500  6.788822
144 143.00 1500  6.772739
145 144.00 1500  6.756731
146 145.00 1500  6.740797
147 146.00 1500  6.724937
148 147.00 1500  6.709151
149 148.00 1500  6.693438
150 149.00 1500  6.677797
151 150.00 1500  6.662227
152 151.00 1500  6.646729
153 152.00 1500  6.631302
154 153.00 1500  6.615946
155 154.00 1500  6.600658
156 155.00 1500  6.585441
157 156.00 1500  6.570292
158 157.00 1500  6.555211
159 158.00 1500  6.540198
160 159.00 1500  6.525252
161 160.00 1500  6.510373
162 161.00 1500  6.495561
163 162.00 1500  6.480814
164 163.00 1500  6.466132
165 164.00 1500  6.451516
166 165.00 1500  6.436964
167 166.00 1500  6.422476
168 167.00 1500  6.408052
169 168.00 1500  6.393691
170 169.00 1500  6.379392
171 170.00 1500  6.365156
172 171.00 1500  6.350981
173 172.00 1500  6.336868
174 173.00 1500  6.322816
175 174.00 1500  6.308824
176 175.00 1500  6.294893
177 176.00 1500  6.281021
178 177.00 1500  6.267208
179 178.00 1500  6.253454
180 179.00 1500  6.239759
181 180.00 1500  6.226122
182 181.00 1500  6.212542
183 182.00 1500  6.199020
184 183.00 1500  6.185554
185 184.00 1500  6.172145
186 185.00 1500  6.158792
187 186.00 1500  6.145495
188 187.00 1500  6.132253
189 188.00 1500  6.119066
190 189.00 1500  6.105934
191 190.00 1500  6.092856
192 191.00 1500  6.079831
193 192.00 1500  6.066860
194 193.00 1500  6.053943
195 194.00 1500  6.041078
196 195.00 1500  6.028266
197 196.00 1500  6.015505
198 197.00 1500  6.002797
199 198.00 1500  5.990139
200 199.00 1500  5.977533
201 200.00 1500  5.964978
202 201.00 1500  5.952473
203 202.00 1500  5.940018
204 203.00 1500  5.927612
205 204.00 1500  5.915256
206 205.00 1500  5.902949
207 206.00 1500  5.890691
208 207.00 1500  5.878482
209 208.00 1500  5.866320
210 209.00 1500  5.854206
211 210.00 1500  5.842140
212 211.00 1500  5.830121
213 212.00 1500  5.818149
214 213.00 1500  5.806223
215 214.00 1500  5.794343
216 215.00 1500  5.782510
217 216.00 1500  5.770722
218 217.00 1500  5.758980
219 218.00 1500  5.747283
220 219.00 1500  5.735630
221 220.00 1500  5.724022
222 221.00 1500  5.712459
223 222.00 1500  5.700939
224 223.00 1500  5.689463
225 224.00 1500  5.678030
226 225.00 1500  5.666641
227 226.00 1500  5.655294
228 227.00 1500  5.643991
229 228.00 1500  5.632729
230 229.00 1500  5.621509
231 230.00 1500  5.610332
232 231.00 1500  5.599196
233 232.00 1500  5.588101
234 233.00 1500  5.577047
235 234.00 1500  5.566034
236 235.00 1500  5.555061
237 236.00 1500  5.544129
238 237.00 1500  5.533236
239 238.00 1500  5.522384
240 239.00 1500  5.511571
241 240.00 1500  5.500798
242 241.00 1500  5.490063
243 242.00 1500  5.479367
244 243.00 1500  5.468710
245 244.00 1500  5.458092
246 245.00 1500  5.447511
247 246.00 1500  5.436968
248 247.00 1500  5.426463
249 248.00 1500  5.415995
250 249.00 1500  5.405565
251 250.00 1500  5.395171
252 251.00 1500  5.384815
253 252.00 1500  5.374495
254 253.00 1500  5.364211
255 254.00 1500  5.353963
256 255.00 1500  5.343751
257 256.00 1500  5.333575
258 257.00 1500  5.323434
259 258.00 1500  5.313329
260 259.00 1500  5.303259
261 260.00 1500  5.293223
262 261.00 1500  5.283222
263 262.00 1500  5.273256
264 263.00 1500  5.263324
265 264.00 1500  5.253426
266 265.00 1500  5.243562
267 266.00 1500  5.233731
268 267.00 1500  5.223934
269 268.00 1500  5.214170
270 269.00 1500  5.204439
271 270.00 1500  5.194741
272 271.00 1500  5.185076
273 272.00 1500  5.175443
274 273.00 1500  5.165843
275 274.00 1500  5.156274
276 275.00 1500  5.146738
277 276.00 1500  5.137233
278 277.00 1500  5.127760
279 278.00 1500  5.118318
280 279.00 1500  5.108908
281 280.00 1500  5.099529
282 281.00 1500  5.090180
283 282.00 1500  5.080862
284 283.00 1500  5.071574
285 284.00 1500  5.062317
286 285.00 1500  5.053090
287 286.00 1500  5.043894
288 287.00 1500  5.034726
289 288.00 1500  5.025589
290 289.00 1500  5.016481
291 290.00 1500  5.007402
292 291.00 1500  4.998353
293 292.00 1500  4.989333
294 293.00 1500  4.980341
295 294.00 1500  4.971378
296 295.00 1500  4.962443
297 296.00 1500  4.953537
298 297.00 1500  4.944659
299 298.00 1500  4.935809
300 299.00 1500  4.926987
301 300.00 1500  4.918193
302 301.00 1500  4.909426
303 302.00 1500  4.900687
304 303.00 1500  4.891974
305 304.00 1500  4.883290
306 305.00 1500  4.874632
307 306.00 1500  4.866001
308 307.00 1500  4.857396
309 308.00 1500  4.848818
310 309.00 1500  4.840266
311 310.00 1500  4.831741
312 311.00 1500  4.823242
313 312.00 1500  4.814768
314 313.00 1500  4.806321
315 314.00 1500  4.797899
