$reaction
     coeff    name formula state ispecies
65      -2     NH3     NH3    aq       65
926     -1 methane     CH4    aq      926
1       -1   water     H2O   liq        1
1091     1    urea  CH4N2O    aq     1091
63       4      H2      H2    aq       63

$out
         T    P       logK
1     0.01 1500 -37.853208
2     1.00 1500 -37.721933
3     2.00 1500 -37.589743
4     3.00 1500 -37.457985
5     4.00 1500 -37.326677
6     5.00 1500 -37.195832
7     6.00 1500 -37.065466
8     7.00 1500 -36.935588
9     8.00 1500 -36.806212
10    9.00 1500 -36.677344
11   10.00 1500 -36.548995
12   11.00 1500 -36.421171
13   12.00 1500 -36.293879
14   13.00 1500 -36.167123
15   14.00 1500 -36.040910
16   15.00 1500 -35.915243
17   16.00 1500 -35.790125
18   17.00 1500 -35.665559
19   18.00 1500 -35.541548
20   19.00 1500 -35.418093
21   20.00 1500 -35.295197
22   21.00 1500 -35.172859
23   22.00 1500 -35.051081
24   23.00 1500 -34.929864
25   24.00 1500 -34.809206
26   25.00 1500 -34.689108
27   26.00 1500 -34.569569
28   27.00 1500 -34.450589
29   28.00 1500 -34.332166
30   29.00 1500 -34.214299
31   30.00 1500 -34.096987
32   31.00 1500 -33.980229
33   32.00 1500 -33.864022
34   33.00 1500 -33.748365
35   34.00 1500 -33.633256
36   35.00 1500 -33.518693
37   36.00 1500 -33.404673
38   37.00 1500 -33.291194
39   38.00 1500 -33.178254
40   39.00 1500 -33.065851
41   40.00 1500 -32.953982
42   41.00 1500 -32.842644
43   42.00 1500 -32.731834
44   43.00 1500 -32.621550
45   44.00 1500 -32.511790
46   45.00 1500 -32.402549
47   46.00 1500 -32.293826
48   47.00 1500 -32.185618
49   48.00 1500 -32.077921
50   49.00 1500 -31.970732
51   50.00 1500 -31.864050
52   51.00 1500 -31.757870
53   52.00 1500 -31.652189
54   53.00 1500 -31.547005
55   54.00 1500 -31.442315
56   55.00 1500 -31.338115
57   56.00 1500 -31.234403
58   57.00 1500 -31.131175
59   58.00 1500 -31.028428
60   59.00 1500 -30.926160
61   60.00 1500 -30.824367
62   61.00 1500 -30.723046
63   62.00 1500 -30.622194
64   63.00 1500 -30.521807
65   64.00 1500 -30.421884
66   65.00 1500 -30.322421
67   66.00 1500 -30.223415
68   67.00 1500 -30.124862
69   68.00 1500 -30.026760
70   69.00 1500 -29.929106
71   70.00 1500 -29.831897
72   71.00 1500 -29.735130
73   72.00 1500 -29.638801
74   73.00 1500 -29.542908
75   74.00 1500 -29.447449
76   75.00 1500 -29.352419
77   76.00 1500 -29.257816
78   77.00 1500 -29.163638
79   78.00 1500 -29.069881
80   79.00 1500 -28.976543
81   80.00 1500 -28.883620
82   81.00 1500 -28.791110
83   82.00 1500 -28.699010
84   83.00 1500 -28.607317
85   84.00 1500 -28.516028
86   85.00 1500 -28.425142
87   86.00 1500 -28.334654
88   87.00 1500 -28.244562
89   88.00 1500 -28.154864
90   89.00 1500 -28.065557
91   90.00 1500 -27.976638
92   91.00 1500 -27.888104
93   92.00 1500 -27.799954
94   93.00 1500 -27.712183
95   94.00 1500 -27.624791
96   95.00 1500 -27.537773
97   96.00 1500 -27.451128
98   97.00 1500 -27.364853
99   98.00 1500 -27.278946
100  99.00 1500 -27.193404
101 100.00 1500 -27.096806
102 101.00 1500 -27.012252
103 102.00 1500 -26.927979
104 103.00 1500 -26.844059
105 104.00 1500 -26.760487
106 105.00 1500 -26.677263
107 106.00 1500 -26.594383
108 107.00 1500 -26.511870
109 108.00 1500 -26.429697
110 109.00 1500 -26.347861
111 110.00 1500 -26.266337
112 111.00 1500 -26.185193
113 112.00 1500 -26.104334
114 113.00 1500 -26.023802
115 114.00 1500 -25.943598
116 115.00 1500 -25.863718
117 116.00 1500 -25.784209
118 117.00 1500 -25.704997
119 118.00 1500 -25.626079
120 119.00 1500 -25.547478
121 120.00 1500 -25.469190
122 121.00 1500 -25.391216
123 122.00 1500 -25.313551
124 123.00 1500 -25.236218
125 124.00 1500 -25.159167
126 125.00 1500 -25.082421
127 126.00 1500 -25.005976
128 127.00 1500 -24.929879
129 128.00 1500 -24.854032
130 129.00 1500 -24.778505
131 130.00 1500 -24.703250
132 131.00 1500 -24.628288
133 132.00 1500 -24.553616
134 133.00 1500 -24.479257
135 134.00 1500 -24.405162
136 135.00 1500 -24.331352
137 136.00 1500 -24.257825
138 137.00 1500 -24.184581
139 138.00 1500 -24.111615
140 139.00 1500 -24.038928
141 140.00 1500 -23.966493
142 141.00 1500 -23.894356
143 142.00 1500 -23.822515
144 143.00 1500 -23.750923
145 144.00 1500 -23.679600
146 145.00 1500 -23.608568
147 146.00 1500 -23.537825
148 147.00 1500 -23.467301
149 148.00 1500 -23.397039
150 149.00 1500 -23.327039
151 150.00 1500 -23.257299
152 151.00 1500 -23.187793
153 152.00 1500 -23.118567
154 153.00 1500 -23.049572
155 154.00 1500 -22.980830
156 155.00 1500 -22.912363
157 156.00 1500 -22.844146
158 157.00 1500 -22.776224
159 158.00 1500 -22.708503
160 159.00 1500 -22.641028
161 160.00 1500 -22.573797
162 161.00 1500 -22.506832
163 162.00 1500 -22.440085
164 163.00 1500 -22.373578
165 164.00 1500 -22.307287
166 165.00 1500 -22.241231
167 166.00 1500 -22.175411
168 167.00 1500 -22.109826
169 168.00 1500 -22.044495
170 169.00 1500 -21.979396
171 170.00 1500 -21.914527
172 171.00 1500 -21.849909
173 172.00 1500 -21.785495
174 173.00 1500 -21.721308
175 174.00 1500 -21.657345
176 175.00 1500 -21.593650
177 176.00 1500 -21.530109
178 177.00 1500 -21.466766
179 178.00 1500 -21.403664
180 179.00 1500 -21.340781
181 180.00 1500 -21.278114
182 181.00 1500 -21.215685
183 182.00 1500 -21.153471
184 183.00 1500 -21.091514
185 184.00 1500 -21.029724
186 185.00 1500 -20.968167
187 186.00 1500 -20.906797
188 187.00 1500 -20.845635
189 188.00 1500 -20.784634
190 189.00 1500 -20.723839
191 190.00 1500 -20.663249
192 191.00 1500 -20.602884
193 192.00 1500 -20.542745
194 193.00 1500 -20.482805
195 194.00 1500 -20.423066
196 195.00 1500 -20.363525
197 196.00 1500 -20.304182
198 197.00 1500 -20.245080
199 198.00 1500 -20.186128
200 199.00 1500 -20.127326
201 200.00 1500 -20.068739
202 201.00 1500 -20.010322
203 202.00 1500 -19.952164
204 203.00 1500 -19.894128
205 204.00 1500 -19.836303
206 205.00 1500 -19.778688
207 206.00 1500 -19.721260
208 207.00 1500 -19.664017
209 208.00 1500 -19.606959
210 209.00 1500 -19.550085
211 210.00 1500 -19.493348
212 211.00 1500 -19.436883
213 212.00 1500 -19.380509
214 213.00 1500 -19.324358
215 214.00 1500 -19.268343
216 215.00 1500 -19.212505
217 216.00 1500 -19.156866
218 217.00 1500 -19.101424
219 218.00 1500 -19.046157
220 219.00 1500 -18.991064
221 220.00 1500 -18.936165
222 221.00 1500 -18.881417
223 222.00 1500 -18.826795
224 223.00 1500 -18.772343
225 224.00 1500 -18.718060
226 225.00 1500 -18.663946
227 226.00 1500 -18.610020
228 227.00 1500 -18.556241
229 228.00 1500 -18.502714
230 229.00 1500 -18.449308
231 230.00 1500 -18.396065
232 231.00 1500 -18.343029
233 232.00 1500 -18.290066
234 233.00 1500 -18.237264
235 234.00 1500 -18.184622
236 235.00 1500 -18.132230
237 236.00 1500 -18.079907
238 237.00 1500 -18.027742
239 238.00 1500 -17.975734
240 239.00 1500 -17.923926
241 240.00 1500 -17.872273
242 241.00 1500 -17.820729
243 242.00 1500 -17.769338
244 243.00 1500 -17.718189
245 244.00 1500 -17.667104
246 245.00 1500 -17.616170
247 246.00 1500 -17.565433
248 247.00 1500 -17.514799
249 248.00 1500 -17.464315
250 249.00 1500 -17.413979
251 250.00 1500 -17.363834
252 251.00 1500 -17.313880
253 252.00 1500 -17.264072
254 253.00 1500 -17.214319
255 254.00 1500 -17.164710
256 255.00 1500 -17.115245
257 256.00 1500 -17.065923
258 257.00 1500 -17.016744
259 258.00 1500 -16.967796
260 259.00 1500 -16.918899
261 260.00 1500 -16.870139
262 261.00 1500 -16.821475
263 262.00 1500 -16.772994
264 263.00 1500 -16.724696
265 264.00 1500 -16.676579
266 265.00 1500 -16.628508
267 266.00 1500 -16.580575
268 267.00 1500 -16.532776
269 268.00 1500 -16.485157
270 269.00 1500 -16.437628
271 270.00 1500 -16.390230
272 271.00 1500 -16.343053
273 272.00 1500 -16.295918
274 273.00 1500 -16.249004
275 274.00 1500 -16.202130
276 275.00 1500 -16.155386
277 276.00 1500 -16.108771
278 277.00 1500 -16.062329
279 278.00 1500 -16.016014
280 279.00 1500 -15.969736
281 280.00 1500 -15.923632
282 281.00 1500 -15.877607
283 282.00 1500 -15.831708
284 283.00 1500 -15.785977
285 284.00 1500 -15.740506
286 285.00 1500 -15.695023
287 286.00 1500 -15.649663
288 287.00 1500 -15.604425
289 288.00 1500 -15.559354
290 289.00 1500 -15.514448
291 290.00 1500 -15.469573
292 291.00 1500 -15.424772
293 292.00 1500 -15.380134
294 293.00 1500 -15.335706
295 294.00 1500 -15.291349
296 295.00 1500 -15.247066
