$reaction
   coeff  name formula state ispecies
63    -2    H2      H2    aq       63
64    -1    O2      O2    aq       64
1      2 water     H2O   liq        1

$out
         T    P      logK
1     0.01 1500 102.07621
2     1.00 1500 101.70897
3     2.00 1500 101.33988
4     3.00 1500 100.97267
5     4.00 1500 100.60737
6     5.00 1500 100.24397
7     6.00 1500  99.88248
8     7.00 1500  99.52293
9     8.00 1500  99.16529
10    9.00 1500  98.80959
11   10.00 1500  98.45582
12   11.00 1500  98.10398
13   12.00 1500  97.75407
14   13.00 1500  97.40608
15   14.00 1500  97.06002
16   15.00 1500  96.71588
17   16.00 1500  96.37365
18   17.00 1500  96.03332
19   18.00 1500  95.69490
20   19.00 1500  95.35837
21   20.00 1500  95.02372
22   21.00 1500  94.69094
23   22.00 1500  94.36004
24   23.00 1500  94.03099
25   24.00 1500  93.70379
26   25.00 1500  93.37842
27   26.00 1500  93.05488
28   27.00 1500  92.73316
29   28.00 1500  92.41324
30   29.00 1500  92.09512
31   30.00 1500  91.77878
32   31.00 1500  91.46422
33   32.00 1500  91.15141
34   33.00 1500  90.84036
35   34.00 1500  90.53104
36   35.00 1500  90.22344
37   36.00 1500  89.91756
38   37.00 1500  89.61338
39   38.00 1500  89.31089
40   39.00 1500  89.01008
41   40.00 1500  88.71094
42   41.00 1500  88.41345
43   42.00 1500  88.11760
44   43.00 1500  87.82338
45   44.00 1500  87.53078
46   45.00 1500  87.23978
47   46.00 1500  86.95038
48   47.00 1500  86.66257
49   48.00 1500  86.37632
50   49.00 1500  86.09163
51   50.00 1500  85.80849
52   51.00 1500  85.52688
53   52.00 1500  85.24680
54   53.00 1500  84.96823
55   54.00 1500  84.69116
56   55.00 1500  84.41558
57   56.00 1500  84.14148
58   57.00 1500  83.86884
59   58.00 1500  83.59766
60   59.00 1500  83.32792
61   60.00 1500  83.05962
62   61.00 1500  82.79274
63   62.00 1500  82.52726
64   63.00 1500  82.26319
65   64.00 1500  82.00051
66   65.00 1500  81.73921
67   66.00 1500  81.47928
68   67.00 1500  81.22070
69   68.00 1500  80.96347
70   69.00 1500  80.70758
71   70.00 1500  80.45301
72   71.00 1500  80.19976
73   72.00 1500  79.94782
74   73.00 1500  79.69717
75   74.00 1500  79.44781
76   75.00 1500  79.19973
77   76.00 1500  78.95291
78   77.00 1500  78.70735
79   78.00 1500  78.46303
80   79.00 1500  78.21996
81   80.00 1500  77.97811
82   81.00 1500  77.73748
83   82.00 1500  77.49806
84   83.00 1500  77.25984
85   84.00 1500  77.02281
86   85.00 1500  76.78697
87   86.00 1500  76.55230
88   87.00 1500  76.31879
89   88.00 1500  76.08644
90   89.00 1500  75.85523
91   90.00 1500  75.62516
92   91.00 1500  75.39622
93   92.00 1500  75.16841
94   93.00 1500  74.94170
95   94.00 1500  74.71611
96   95.00 1500  74.49160
97   96.00 1500  74.26819
98   97.00 1500  74.04585
99   98.00 1500  73.82459
100  99.00 1500  73.60439
101 100.00 1500  73.35701
102 101.00 1500  73.13945
103 102.00 1500  72.92278
104 103.00 1500  72.70714
105 104.00 1500  72.49252
106 105.00 1500  72.27892
107 106.00 1500  72.06631
108 107.00 1500  71.85476
109 108.00 1500  71.64419
110 109.00 1500  71.43461
111 110.00 1500  71.22596
112 111.00 1500  71.01837
113 112.00 1500  70.81164
114 113.00 1500  70.60587
115 114.00 1500  70.40105
116 115.00 1500  70.19717
117 116.00 1500  69.99433
118 117.00 1500  69.79236
119 118.00 1500  69.59126
120 119.00 1500  69.39109
121 120.00 1500  69.19182
122 121.00 1500  68.99345
123 122.00 1500  68.79598
124 123.00 1500  68.59944
125 124.00 1500  68.40374
126 125.00 1500  68.20892
127 126.00 1500  68.01496
128 127.00 1500  67.82197
129 128.00 1500  67.62974
130 129.00 1500  67.43841
131 130.00 1500  67.24787
132 131.00 1500  67.05818
133 132.00 1500  66.86933
134 133.00 1500  66.68135
135 134.00 1500  66.49415
136 135.00 1500  66.30776
137 136.00 1500  66.12219
138 137.00 1500  65.93742
139 138.00 1500  65.75346
140 139.00 1500  65.57029
141 140.00 1500  65.38786
142 141.00 1500  65.20626
143 142.00 1500  65.02549
144 143.00 1500  64.84545
145 144.00 1500  64.66617
146 145.00 1500  64.48771
147 146.00 1500  64.31005
148 147.00 1500  64.13305
149 148.00 1500  63.95680
150 149.00 1500  63.78130
151 150.00 1500  63.60653
152 151.00 1500  63.43245
153 152.00 1500  63.25914
154 153.00 1500  63.08652
155 154.00 1500  62.91461
156 155.00 1500  62.74345
157 156.00 1500  62.57301
158 157.00 1500  62.40337
159 158.00 1500  62.23433
160 159.00 1500  62.06599
161 160.00 1500  61.89834
162 161.00 1500  61.73143
163 162.00 1500  61.56515
164 163.00 1500  61.39955
165 164.00 1500  61.23457
166 165.00 1500  61.07026
167 166.00 1500  60.90662
168 167.00 1500  60.74364
169 168.00 1500  60.58136
170 169.00 1500  60.41973
171 170.00 1500  60.25875
172 171.00 1500  60.09845
173 172.00 1500  59.93876
174 173.00 1500  59.77969
175 174.00 1500  59.62126
176 175.00 1500  59.46355
177 176.00 1500  59.30632
178 177.00 1500  59.14966
179 178.00 1500  58.99367
180 179.00 1500  58.83829
181 180.00 1500  58.68351
182 181.00 1500  58.52939
183 182.00 1500  58.37586
184 183.00 1500  58.22302
185 184.00 1500  58.07068
186 185.00 1500  57.91898
187 186.00 1500  57.76782
188 187.00 1500  57.61724
189 188.00 1500  57.46714
190 189.00 1500  57.31762
191 190.00 1500  57.16868
192 191.00 1500  57.02034
193 192.00 1500  56.87261
194 193.00 1500  56.72544
195 194.00 1500  56.57883
196 195.00 1500  56.43277
197 196.00 1500  56.28727
198 197.00 1500  56.14239
199 198.00 1500  55.99798
200 199.00 1500  55.85401
201 200.00 1500  55.71062
202 201.00 1500  55.56772
203 202.00 1500  55.42549
204 203.00 1500  55.28365
205 204.00 1500  55.14238
206 205.00 1500  55.00168
207 206.00 1500  54.86149
208 207.00 1500  54.72181
209 208.00 1500  54.58265
210 209.00 1500  54.44400
211 210.00 1500  54.30576
212 211.00 1500  54.16820
213 212.00 1500  54.03097
214 213.00 1500  53.89432
215 214.00 1500  53.75807
216 215.00 1500  53.62232
217 216.00 1500  53.48709
218 217.00 1500  53.35240
219 218.00 1500  53.21819
220 219.00 1500  53.08446
221 220.00 1500  52.95124
222 221.00 1500  52.81846
223 222.00 1500  52.68606
224 223.00 1500  52.55412
225 224.00 1500  52.42266
226 225.00 1500  52.29165
227 226.00 1500  52.16115
228 227.00 1500  52.03107
229 228.00 1500  51.90161
230 229.00 1500  51.77252
231 230.00 1500  51.64388
232 231.00 1500  51.51577
233 232.00 1500  51.38792
234 233.00 1500  51.26052
235 234.00 1500  51.13356
236 235.00 1500  51.00722
237 236.00 1500  50.88113
238 237.00 1500  50.75547
239 238.00 1500  50.63025
240 239.00 1500  50.50553
241 240.00 1500  50.38124
242 241.00 1500  50.25729
243 242.00 1500  50.13375
244 243.00 1500  50.01080
245 244.00 1500  49.88810
246 245.00 1500  49.76581
247 246.00 1500  49.64402
248 247.00 1500  49.52255
249 248.00 1500  49.40148
250 249.00 1500  49.28082
251 250.00 1500  49.16064
252 251.00 1500  49.04096
253 252.00 1500  48.92167
254 253.00 1500  48.80259
255 254.00 1500  48.68391
256 255.00 1500  48.56562
257 256.00 1500  48.44771
258 257.00 1500  48.33019
259 258.00 1500  48.21324
260 259.00 1500  48.09649
261 260.00 1500  47.98011
262 261.00 1500  47.86402
263 262.00 1500  47.74840
264 263.00 1500  47.63324
265 264.00 1500  47.51854
266 265.00 1500  47.40403
267 266.00 1500  47.28989
268 267.00 1500  47.17612
269 268.00 1500  47.06280
270 269.00 1500  46.94975
271 270.00 1500  46.83706
272 271.00 1500  46.72490
273 272.00 1500  46.61292
274 273.00 1500  46.50147
