$reaction
     coeff   name formula state ispecies
64      -1     O2      O2    aq       64
3178     1 oxygen      O2   gas     3178

$out
         T    P     logK
1     0.01 1500 3.445184
2     1.00 1500 3.458265
3     2.00 1500 3.471037
4     3.00 1500 3.483383
5     4.00 1500 3.495323
6     5.00 1500 3.506872
7     6.00 1500 3.518047
8     7.00 1500 3.528861
9     8.00 1500 3.539330
10    9.00 1500 3.549465
11   10.00 1500 3.559278
12   11.00 1500 3.568782
13   12.00 1500 3.577986
14   13.00 1500 3.586902
15   14.00 1500 3.595538
16   15.00 1500 3.603903
17   16.00 1500 3.612006
18   17.00 1500 3.619856
19   18.00 1500 3.627460
20   19.00 1500 3.634825
21   20.00 1500 3.641958
22   21.00 1500 3.648866
23   22.00 1500 3.655556
24   23.00 1500 3.662032
25   24.00 1500 3.668302
26   25.00 1500 3.674371
27   26.00 1500 3.680243
28   27.00 1500 3.685925
29   28.00 1500 3.691420
30   29.00 1500 3.696734
31   30.00 1500 3.701871
32   31.00 1500 3.706835
33   32.00 1500 3.711631
34   33.00 1500 3.716262
35   34.00 1500 3.720732
36   35.00 1500 3.725045
37   36.00 1500 3.729204
38   37.00 1500 3.733213
39   38.00 1500 3.737076
40   39.00 1500 3.740794
41   40.00 1500 3.744372
42   41.00 1500 3.747812
43   42.00 1500 3.751118
44   43.00 1500 3.754291
45   44.00 1500 3.757335
46   45.00 1500 3.760253
47   46.00 1500 3.763046
48   47.00 1500 3.765717
49   48.00 1500 3.768269
50   49.00 1500 3.770704
51   50.00 1500 3.773024
52   51.00 1500 3.775232
53   52.00 1500 3.777329
54   53.00 1500 3.779317
55   54.00 1500 3.781199
56   55.00 1500 3.782976
57   56.00 1500 3.784650
58   57.00 1500 3.786224
59   58.00 1500 3.787698
60   59.00 1500 3.789075
61   60.00 1500 3.790356
62   61.00 1500 3.791544
63   62.00 1500 3.792639
64   63.00 1500 3.793643
65   64.00 1500 3.794557
66   65.00 1500 3.795384
67   66.00 1500 3.796124
68   67.00 1500 3.796780
69   68.00 1500 3.797352
70   69.00 1500 3.797841
71   70.00 1500 3.798250
72   71.00 1500 3.798579
73   72.00 1500 3.798829
74   73.00 1500 3.799003
75   74.00 1500 3.799100
76   75.00 1500 3.799123
77   76.00 1500 3.799072
78   77.00 1500 3.798949
79   78.00 1500 3.798754
80   79.00 1500 3.798489
81   80.00 1500 3.798155
82   81.00 1500 3.797753
83   82.00 1500 3.797283
84   83.00 1500 3.796747
85   84.00 1500 3.796146
86   85.00 1500 3.795481
87   86.00 1500 3.794753
88   87.00 1500 3.793962
89   88.00 1500 3.793109
90   89.00 1500 3.792196
91   90.00 1500 3.791223
92   91.00 1500 3.790191
93   92.00 1500 3.789102
94   93.00 1500 3.787954
95   94.00 1500 3.786751
96   95.00 1500 3.785491
97   96.00 1500 3.784177
98   97.00 1500 3.782809
99   98.00 1500 3.781387
100  99.00 1500 3.779912
101 100.00 1500 3.771248
102 101.00 1500 3.769678
103 102.00 1500 3.768060
104 103.00 1500 3.766394
105 104.00 1500 3.764683
106 105.00 1500 3.762925
107 106.00 1500 3.761123
108 107.00 1500 3.759276
109 108.00 1500 3.757384
110 109.00 1500 3.755449
111 110.00 1500 3.753472
112 111.00 1500 3.751451
113 112.00 1500 3.749389
114 113.00 1500 3.747285
115 114.00 1500 3.745140
116 115.00 1500 3.742955
117 116.00 1500 3.740730
118 117.00 1500 3.738465
119 118.00 1500 3.736161
120 119.00 1500 3.733819
121 120.00 1500 3.731439
122 121.00 1500 3.729021
123 122.00 1500 3.726566
124 123.00 1500 3.724074
125 124.00 1500 3.721546
126 125.00 1500 3.718983
127 126.00 1500 3.716383
128 127.00 1500 3.713748
129 128.00 1500 3.711079
130 129.00 1500 3.708376
131 130.00 1500 3.705638
132 131.00 1500 3.702868
133 132.00 1500 3.700064
134 133.00 1500 3.697227
135 134.00 1500 3.694359
136 135.00 1500 3.691458
137 136.00 1500 3.688525
138 137.00 1500 3.685562
