$reaction
     coeff   name formula state ispecies
64      -1     O2      O2    aq       64
3178     1 oxygen      O2   gas     3178

$out
        T    P         logK
1  -20.00 1500  3.037097185
2  -10.00 1500  3.284113494
3    0.01 1500  3.446339161
4   10.00 1500  3.560392866
5   20.00 1500  3.643034421
6   30.00 1500  3.702912329
7   40.00 1500  3.745379995
8   50.00 1500  3.774000995
9   60.00 1500  3.791303745
10  70.00 1500  3.799169403
11  80.00 1500  3.799048811
12  90.00 1500  3.792092277
13 100.00 1500  3.779231620
14 110.00 1500  3.761234518
15 120.00 1500  3.738741952
16 130.00 1500  3.712294864
17 140.00 1500  3.682353835
18 150.00 1500  3.649313631
19 160.00 1500  3.613514583
20 170.00 1500  3.575251371
21 180.00 1500  3.534780009
22 190.00 1500  3.492323463
23 200.00 1500  3.448076211
24 210.00 1500  3.402208000
25 220.00 1500  3.354866951
26 230.00 1500  3.306182174
27 240.00 1500  3.256265842
28 250.00 1500  3.205215146
29 260.00 1500  3.153113935
30 270.00 1500  3.100033849
31 280.00 1500  3.046035543
32 290.00 1500  2.991169953
33 300.00 1500  2.935478369
34 310.00 1500  2.878994313
35 320.00 1500  2.821743398
36 330.00 1500  2.763744172
37 340.00 1500  2.705008655
38 350.00 1500  2.645542866
39 360.00 1500  2.585347242
40 370.00 1500  2.524417124
41 380.00 1500  2.462743263
42 390.00 1500  2.400312227
43 400.00 1500  2.337106942
44 410.00 1500  2.273107217
45 420.00 1500  2.208290364
46 430.00 1500  2.142631838
47 440.00 1500  2.076106114
48 450.00 1500  2.008687332
49 460.00 1500  1.940350512
50 470.00 1500  1.871072522
51 480.00 1500  1.800833332
52 490.00 1500  1.729617364
53 500.00 1500  1.657414970
54 510.00 1500  1.584223811
55 520.00 1500  1.510050667
56 530.00 1500  1.434912680
57 540.00 1500  1.358838954
58 550.00 1500  1.281871573
59 560.00 1500  1.204066463
60 570.00 1500  1.125494205
61 580.00 1500  1.046239105
62 590.00 1500  0.966399550
63 600.00 1500  0.886086199
64 610.00 1500  0.805420439
65 620.00 1500  0.724532176
66 630.00 1500  0.643556961
67 640.00 1500  0.562633745
68 650.00 1500  0.481901624
69 660.00 1500  0.401497480
70 670.00 1500  0.321553096
71 680.00 1500  0.242193497
72 690.00 1500  0.163535059
73 700.00 1500  0.085684301
74 710.00 1500  0.008737079
75 720.00 1500 -0.067221837
76 730.00 1500 -0.142118842
77 740.00 1500 -0.215891287
78 750.00 1500 -0.288487222
79 760.00 1500 -0.359864050
80 770.00 1500 -0.429989102
81 780.00 1500 -0.498837948
82 790.00 1500           NA
83 800.00 1500           NA
84 810.00 1500           NA
85 820.00 1500           NA
86 830.00 1500           NA
87 840.00 1500           NA
88 850.00 1500           NA
89 860.00 1500           NA
90 870.00 1500           NA
91 880.00 1500           NA
92 890.00 1500           NA
93 900.00 1500           NA
94 910.00 1500           NA
95 920.00 1500           NA
96 930.00 1500           NA

$warnings
[1] "below minimum density for applicability of revised HKF equations (15 T,P pairs)"

