$reaction
   coeff  name formula state ispecies
64    -1    O2      O2    aq       64
63    -2    H2      H2    aq       63
1      2 water     H2O   liq        1

$out
        T    P      logK
1  -20.00 1500 109.81730
2  -10.00 1500 105.88815
3    0.01 1500 102.07859
4   10.00 1500  98.45812
5   20.00 1500  95.02593
6   30.00 1500  91.78093
7   40.00 1500  88.71302
8   50.00 1500  85.81050
9   60.00 1500  83.06157
10  70.00 1500  80.45491
11  80.00 1500  77.97995
12  90.00 1500  75.62695
13 100.00 1500  73.38699
14 110.00 1500  71.25190
15 120.00 1500  69.21425
16 130.00 1500  67.26726
17 140.00 1500  65.40471
18 150.00 1500  63.62095
19 160.00 1500  61.91079
20 170.00 1500  60.26950
21 180.00 1500  58.69270
22 190.00 1500  57.17640
23 200.00 1500  55.71691
24 210.00 1500  54.31083
25 220.00 1500  52.95502
26 230.00 1500  51.64657
27 240.00 1500  50.38278
28 250.00 1500  49.16117
29 260.00 1500  47.97940
30 270.00 1500  46.83530
31 280.00 1500  45.72687
32 290.00 1500  44.65220
33 300.00 1500  43.60954
34 310.00 1500  42.59722
35 320.00 1500  41.61370
36 330.00 1500  40.65750
37 340.00 1500  39.72724
38 350.00 1500  38.82164
39 360.00 1500  37.93945
40 370.00 1500  37.07951
41 380.00 1500  36.24073
42 390.00 1500  35.42205
43 400.00 1500  34.62249
44 410.00 1500  33.84110
45 420.00 1500  33.07698
46 430.00 1500  32.32928
47 440.00 1500  31.59720
48 450.00 1500  30.87995
49 460.00 1500  30.17682
50 470.00 1500  29.48711
51 480.00 1500  28.81018
52 490.00 1500  28.14542
53 500.00 1500  27.49225
54 510.00 1500  26.85016
55 520.00 1500  26.21866
56 530.00 1500  25.59732
57 540.00 1500  24.98574
58 550.00 1500  24.38359
59 560.00 1500  23.79057
60 570.00 1500  23.20644
61 580.00 1500  22.63099
62 590.00 1500  22.06407
63 600.00 1500  21.50557
64 610.00 1500  20.95542
65 620.00 1500  20.41355
66 630.00 1500  19.87997
67 640.00 1500  19.35465
68 650.00 1500  18.83762
69 660.00 1500  18.32889
70 670.00 1500  17.82848
71 680.00 1500  17.33641
72 690.00 1500  16.85267
73 700.00 1500  16.37727
74 710.00 1500  15.91019
75 720.00 1500  15.45140
76 730.00 1500  15.00085
77 740.00 1500  14.55849
78 750.00 1500  14.12424
79 760.00 1500  13.69801
80 770.00 1500  13.27970
81 780.00 1500  12.86921
82 790.00 1500        NA
83 800.00 1500        NA
84 810.00 1500        NA
85 820.00 1500        NA
86 830.00 1500        NA
87 840.00 1500        NA
88 850.00 1500        NA
89 860.00 1500        NA
90 870.00 1500        NA
91 880.00 1500        NA
92 890.00 1500        NA
93 900.00 1500        NA
94 910.00 1500        NA
95 920.00 1500        NA
96 930.00 1500        NA

$warnings
[1] "below minimum density for applicability of revised HKF equations (15 T,P pairs)"

