$reaction
     coeff       name formula state ispecies
1984  -3.0 pyrrhotite     FeS   cr*     1984
1985  -1.0     oxygen      O2   gas     3178
1986   1.5     pyrite    FeS2    cr     1983
3178   0.5  magnetite   Fe3O4    cr     2588

$out
        T    P     logK
1  -20.00 1500 93.89002
2  -10.00 1500 89.86519
3    0.01 1500 86.12968
4   10.00 1500 82.66335
5   20.00 1500 79.42864
6   30.00 1500 76.40592
7   40.00 1500 73.57490
8   50.00 1500 70.91778
9   60.00 1500 68.41890
10  70.00 1500 66.06441
11  80.00 1500 63.84203
12  90.00 1500 61.74082
13 100.00 1500 59.75103
14 110.00 1500 57.86389
15 120.00 1500 56.07155
16 130.00 1500 54.36692
17 140.00 1500 52.73886
18 150.00 1500 51.16936
19 160.00 1500 49.67076
20 170.00 1500 48.23832
21 180.00 1500 46.86773
22 190.00 1500 45.55505
23 200.00 1500 44.29666
24 210.00 1500 43.08924
25 220.00 1500 41.92973
26 230.00 1500 40.81533
27 240.00 1500 39.74345
28 250.00 1500 38.71167
29 260.00 1500 37.71779
30 270.00 1500 36.75974
31 280.00 1500 35.83562
32 290.00 1500 34.94365
33 300.00 1500 34.08218
34 310.00 1500 33.24966
35 320.00 1500 32.44467
36 330.00 1500 31.66482
37 340.00 1500 30.90948
38 350.00 1500 30.17858
39 360.00 1500 29.47096
40 370.00 1500 28.78556
41 380.00 1500 28.12135
42 390.00 1500 27.47741
43 400.00 1500 26.85282
44 410.00 1500 26.24675
45 420.00 1500 25.65841
46 430.00 1500 25.08705
47 440.00 1500 24.53197
48 450.00 1500 23.99250
49 460.00 1500 23.46800
50 470.00 1500 22.95790
51 480.00 1500 22.46162
52 490.00 1500 21.97863
53 500.00 1500 21.50843
54 510.00 1500 21.05053
55 520.00 1500 20.60448
56 530.00 1500 20.16985
57 540.00 1500 19.74623
58 550.00 1500 19.33322
59 560.00 1500 18.93046
60 570.00 1500 18.53759
61 580.00 1500 18.15423
62 590.00 1500 17.77982
63 600.00 1500 17.41401
64 610.00 1500 17.05652
65 620.00 1500 16.70705
66 630.00 1500 16.36535
67 640.00 1500 16.03115
68 650.00 1500 15.70422
69 660.00 1500 15.38431
70 670.00 1500 15.07121
71 680.00 1500 14.76469
72 690.00 1500 14.46456
73 700.00 1500 14.17061
74 710.00 1500 13.88265
75 720.00 1500 13.60051
76 730.00 1500       NA
77 740.00 1500       NA
78 750.00 1500       NA
79 760.00 1500       NA
80 770.00 1500       NA
81 780.00 1500       NA
82 790.00 1500       NA
83 800.00 1500       NA
84 810.00 1500       NA
85 820.00 1500       NA
86 830.00 1500       NA
87 840.00 1500       NA
88 850.00 1500       NA
89 860.00 1500       NA
90 870.00 1500       NA
91 880.00 1500       NA
92 890.00 1500       NA
93 900.00 1500       NA
94 910.00 1500       NA
95 920.00 1500       NA
96 930.00 1500       NA

$polymorphs
        T    P pyrrhotite
1  -20.00 1500          1
2  -10.00 1500          1
3    0.01 1500          1
4   10.00 1500          1
5   20.00 1500          1
6   30.00 1500          1
7   40.00 1500          1
8   50.00 1500          1
9   60.00 1500          1
10  70.00 1500          1
11  80.00 1500          1
12  90.00 1500          1
13 100.00 1500          1
14 110.00 1500          1
15 120.00 1500          1
16 130.00 1500          1
17 140.00 1500          2
18 150.00 1500          2
19 160.00 1500          2
20 170.00 1500          2
21 180.00 1500          2
22 190.00 1500          2
23 200.00 1500          2
24 210.00 1500          2
25 220.00 1500          2
26 230.00 1500          2
27 240.00 1500          2
28 250.00 1500          2
29 260.00 1500          2
30 270.00 1500          2
31 280.00 1500          2
32 290.00 1500          2
33 300.00 1500          2
34 310.00 1500          2
35 320.00 1500          2
36 330.00 1500          3
37 340.00 1500          3
38 350.00 1500          3
39 360.00 1500          3
40 370.00 1500          3
41 380.00 1500          3
42 390.00 1500          3
43 400.00 1500          3
44 410.00 1500          3
45 420.00 1500          3
46 430.00 1500          3
47 440.00 1500          3
48 450.00 1500          3
49 460.00 1500          3
50 470.00 1500          3
51 480.00 1500          3
52 490.00 1500          3
53 500.00 1500          3
54 510.00 1500          3
55 520.00 1500          3
56 530.00 1500          3
57 540.00 1500          3
58 550.00 1500          3
59 560.00 1500          3
60 570.00 1500          3
61 580.00 1500          3
62 590.00 1500          3
63 600.00 1500          3
64 610.00 1500          3
65 620.00 1500          3
66 630.00 1500          3
67 640.00 1500          3
68 650.00 1500          3
69 660.00 1500          3
70 670.00 1500          3
71 680.00 1500          3
72 690.00 1500          3
73 700.00 1500          3
74 710.00 1500          3
75 720.00 1500          3
76 730.00 1500          3
77 740.00 1500          3
78 750.00 1500          3
79 760.00 1500          3
80 770.00 1500          3
81 780.00 1500          3
82 790.00 1500          3
83 800.00 1500          3
84 810.00 1500          3
85 820.00 1500          3
86 830.00 1500          3
87 840.00 1500          3
88 850.00 1500          3
89 860.00 1500          3
90 870.00 1500          3
91 880.00 1500          3
92 890.00 1500          3
93 900.00 1500          3
94 910.00 1500          3
95 920.00 1500          3
96 930.00 1500          3

