$reaction
     coeff     name formula state ispecies
3178    -1   oxygen      O2   gas     3178
3171    -2 hydrogen      H2   gas     3171
1        2    water     H2O   liq        1

$out
         T    P     logK
1     0.01 1500 91.28273
2     1.00 1500 90.89030
3     2.00 1500 90.49680
4     3.00 1500 90.10619
5     4.00 1500 89.71844
6     5.00 1500 89.33350
7     6.00 1500 88.95137
8     7.00 1500 88.57199
9     8.00 1500 88.19535
10    9.00 1500 87.82141
11   10.00 1500 87.45015
12   11.00 1500 87.08153
13   12.00 1500 86.71554
14   13.00 1500 86.35213
15   14.00 1500 85.99129
16   15.00 1500 85.63299
17   16.00 1500 85.27720
18   17.00 1500 84.92390
19   18.00 1500 84.57306
20   19.00 1500 84.22465
21   20.00 1500 83.87865
22   21.00 1500 83.53504
23   22.00 1500 83.19379
24   23.00 1500 82.85487
25   24.00 1500 82.51827
26   25.00 1500 82.18396
27   26.00 1500 81.85191
28   27.00 1500 81.52211
29   28.00 1500 81.19453
30   29.00 1500 80.86916
31   30.00 1500 80.54595
32   31.00 1500 80.22491
33   32.00 1500 79.90600
34   33.00 1500 79.58920
35   34.00 1500 79.27450
36   35.00 1500 78.96187
37   36.00 1500 78.65129
38   37.00 1500 78.34275
39   38.00 1500 78.03621
40   39.00 1500 77.73168
41   40.00 1500 77.42911
42   41.00 1500 77.12850
43   42.00 1500 76.82983
44   43.00 1500 76.53308
45   44.00 1500 76.23822
46   45.00 1500 75.94525
47   46.00 1500 75.65414
48   47.00 1500 75.36488
49   48.00 1500 75.07745
50   49.00 1500 74.79183
51   50.00 1500 74.50801
52   51.00 1500 74.22596
53   52.00 1500 73.94568
54   53.00 1500 73.66714
55   54.00 1500 73.39034
56   55.00 1500 73.11524
57   56.00 1500 72.84185
58   57.00 1500 72.57014
59   58.00 1500 72.30009
60   59.00 1500 72.03170
61   60.00 1500 71.76494
62   61.00 1500 71.49981
63   62.00 1500 71.23628
64   63.00 1500 70.97435
65   64.00 1500 70.71400
66   65.00 1500 70.45521
67   66.00 1500 70.19797
68   67.00 1500 69.94227
69   68.00 1500 69.68809
70   69.00 1500 69.43543
71   70.00 1500 69.18426
72   71.00 1500 68.93458
73   72.00 1500 68.68636
74   73.00 1500 68.43961
75   74.00 1500 68.19430
76   75.00 1500 67.95042
77   76.00 1500 67.70797
78   77.00 1500 67.46692
79   78.00 1500 67.22727
80   79.00 1500 66.98900
81   80.00 1500 66.75211
82   81.00 1500 66.51657
83   82.00 1500 66.28239
84   83.00 1500 66.04954
85   84.00 1500 65.81802
86   85.00 1500 65.58782
87   86.00 1500 65.35892
88   87.00 1500 65.13131
89   88.00 1500 64.90499
90   89.00 1500 64.67993
91   90.00 1500 64.45614
92   91.00 1500 64.23360
93   92.00 1500 64.01230
94   93.00 1500 63.79223
95   94.00 1500 63.57339
96   95.00 1500 63.35575
97   96.00 1500 63.13931
98   97.00 1500 62.92406
99   98.00 1500 62.70999
100  99.00 1500 62.49710
101 100.00 1500 62.28536
102 101.00 1500 62.07478
103 102.00 1500 61.86535
104 103.00 1500 61.65704
105 104.00 1500 61.44986
106 105.00 1500 61.24380
107 106.00 1500 61.03885
108 107.00 1500 60.83499
109 108.00 1500 60.63222
110 109.00 1500 60.43053
111 110.00 1500 60.22992
112 111.00 1500 60.03037
113 112.00 1500 59.83188
114 113.00 1500 59.63443
115 114.00 1500 59.43802
116 115.00 1500 59.24265
117 116.00 1500 59.04829
118 117.00 1500 58.85496
119 118.00 1500 58.66263
120 119.00 1500 58.47130
121 120.00 1500 58.28096
122 121.00 1500 58.09161
123 122.00 1500 57.90323
124 123.00 1500 57.71583
125 124.00 1500 57.52938
126 125.00 1500 57.34389
127 126.00 1500 57.15935
128 127.00 1500 56.97575
129 128.00 1500 56.79308
130 129.00 1500 56.61134
131 130.00 1500 56.43052
132 131.00 1500 56.25061
133 132.00 1500 56.07161
134 133.00 1500 55.89350
135 134.00 1500 55.71629
136 135.00 1500 55.53997
137 136.00 1500 55.36452
138 137.00 1500 55.18995
139 138.00 1500 55.01624
140 139.00 1500 54.84339
141 140.00 1500 54.67140
142 141.00 1500 54.50026
143 142.00 1500 54.32995
144 143.00 1500 54.16048
145 144.00 1500 53.99184
146 145.00 1500 53.82403
147 146.00 1500 53.65703
148 147.00 1500 53.49084
149 148.00 1500 53.32546
150 149.00 1500 53.16088
151 150.00 1500 52.99709
152 151.00 1500 52.83410
153 152.00 1500 52.67188
154 153.00 1500 52.51044
155 154.00 1500 52.34978
156 155.00 1500 52.18988
157 156.00 1500 52.03074
158 157.00 1500 51.87235
159 158.00 1500 51.71472
160 159.00 1500 51.55784
161 160.00 1500 51.40169
162 161.00 1500 51.24628
163 162.00 1500 51.09159
164 163.00 1500 50.93764
165 164.00 1500 50.78440
166 165.00 1500 50.63187
167 166.00 1500 50.48006
168 167.00 1500 50.32895
169 168.00 1500 50.17854
170 169.00 1500 50.02883
171 170.00 1500 49.87981
172 171.00 1500 49.73147
173 172.00 1500 49.58382
174 173.00 1500 49.43684
175 174.00 1500 49.29053
176 175.00 1500 49.14489
177 176.00 1500 48.99992
178 177.00 1500 48.85560
179 178.00 1500 48.71194
180 179.00 1500 48.56893
181 180.00 1500 48.42656
182 181.00 1500 48.28483
183 182.00 1500 48.14374
184 183.00 1500 48.00329
185 184.00 1500 47.86346
186 185.00 1500 47.72425
187 186.00 1500 47.58567
188 187.00 1500 47.44770
189 188.00 1500 47.31035
190 189.00 1500 47.17360
191 190.00 1500 47.03746
192 191.00 1500 46.90192
193 192.00 1500 46.76697
194 193.00 1500 46.63262
195 194.00 1500 46.49885
196 195.00 1500 46.36567
197 196.00 1500 46.23308
198 197.00 1500 46.10106
199 198.00 1500 45.96961
200 199.00 1500 45.83873
201 200.00 1500 45.70842
202 201.00 1500 45.57867
203 202.00 1500 45.44948
204 203.00 1500 45.32085
205 204.00 1500 45.19277
206 205.00 1500 45.06524
207 206.00 1500 44.93825
208 207.00 1500 44.81181
209 208.00 1500 44.68590
210 209.00 1500 44.56053
211 210.00 1500 44.43569
212 211.00 1500 44.31138
213 212.00 1500 44.18759
214 213.00 1500 44.06432
215 214.00 1500 43.94158
216 215.00 1500 43.81935
217 216.00 1500 43.69763
218 217.00 1500 43.57642
219 218.00 1500 43.45572
220 219.00 1500 43.33551
221 220.00 1500 43.21581
222 221.00 1500 43.09661
223 222.00 1500 42.97790
224 223.00 1500 42.85968
225 224.00 1500 42.74194
226 225.00 1500 42.62470
227 226.00 1500 42.50793
228 227.00 1500 42.39164
229 228.00 1500 42.27583
230 229.00 1500 42.16049
231 230.00 1500 42.04563
232 231.00 1500 41.93123
233 232.00 1500 41.81729
234 233.00 1500 41.70382
235 234.00 1500 41.59080
236 235.00 1500 41.47824
237 236.00 1500 41.36614
238 237.00 1500 41.25449
239 238.00 1500 41.14328
240 239.00 1500 41.03252
241 240.00 1500 40.92220
242 241.00 1500 40.81233
243 242.00 1500 40.70289
244 243.00 1500 40.59389
245 244.00 1500 40.48532
246 245.00 1500 40.37718
247 246.00 1500 40.26947
248 247.00 1500 40.16218
249 248.00 1500 40.05532
250 249.00 1500 39.94887
251 250.00 1500 39.84285
252 251.00 1500 39.73724
253 252.00 1500 39.63204
254 253.00 1500 39.52726
255 254.00 1500 39.42288
256 255.00 1500 39.31891
257 256.00 1500 39.21534
258 257.00 1500 39.11218
259 258.00 1500 39.00941
260 259.00 1500 38.90704
261 260.00 1500 38.80507
262 261.00 1500 38.70348
263 262.00 1500 38.60229
264 263.00 1500 38.50149
265 264.00 1500 38.40107
266 265.00 1500 38.30104
267 266.00 1500 38.20138
268 267.00 1500 38.10211
269 268.00 1500 38.00322
270 269.00 1500 37.90470
271 270.00 1500 37.80655
272 271.00 1500 37.70877
273 272.00 1500 37.61137
274 273.00 1500 37.51433
275 274.00 1500 37.41765
276 275.00 1500 37.32134
277 276.00 1500 37.22539
278 277.00 1500 37.12980
279 278.00 1500 37.03456
280 279.00 1500 36.93968
281 280.00 1500 36.84516
282 281.00 1500 36.75098
283 282.00 1500 36.65715
284 283.00 1500 36.56368
285 284.00 1500 36.47054
286 285.00 1500 36.37776
287 286.00 1500 36.28531
288 287.00 1500 36.19320
289 288.00 1500 36.10143
290 289.00 1500 36.01000
291 290.00 1500 35.91890
292 291.00 1500 35.82814
293 292.00 1500 35.73770
294 293.00 1500 35.64760
295 294.00 1500 35.55782
296 295.00 1500 35.46837
297 296.00 1500 35.37924
298 297.00 1500 35.29044
299 298.00 1500 35.20195
300 299.00 1500 35.11379
301 300.00 1500 35.02594
302 301.00 1500 34.93840
303 302.00 1500 34.85119
304 303.00 1500 34.76428
305 304.00 1500 34.67768
306 305.00 1500 34.59140
307 306.00 1500 34.50542
308 307.00 1500 34.41975
309 308.00 1500 34.33438
310 309.00 1500 34.24931
311 310.00 1500 34.16454
312 311.00 1500 34.08008
313 312.00 1500 33.99591
314 313.00 1500 33.91204
315 314.00 1500 33.82847
316 315.00 1500 33.74518
317 316.00 1500 33.66219
318 317.00 1500 33.57949
319 318.00 1500 33.49708
320 319.00 1500 33.41496
321 320.00 1500 33.33312
322 321.00 1500 33.25157
323 322.00 1500 33.17030
324 323.00 1500 33.08931
325 324.00 1500 33.00860
326 325.00 1500 32.92818
327 326.00 1500 32.84803
328 327.00 1500 32.76815
329 328.00 1500 32.68855
330 329.00 1500 32.60922
331 330.00 1500 32.53017
332 331.00 1500 32.45139
333 332.00 1500 32.37287
334 333.00 1500 32.29463
335 334.00 1500 32.21665
336 335.00 1500 32.13893
337 336.00 1500 32.06148
338 337.00 1500 31.98430
339 338.00 1500 31.90737
340 339.00 1500 31.83070
341 340.00 1500 31.75430
342 341.00 1500 31.67815
343 342.00 1500 31.60225
344 343.00 1500 31.52662
345 344.00 1500 31.45123
346 345.00 1500 31.37610
347 346.00 1500 31.30122
348 347.00 1500 31.22659
349 348.00 1500 31.15221
350 349.00 1500 31.07808
351 350.00 1500 31.00419
352 351.00 1500 30.93055
353 352.00 1500 30.85715
354 353.00 1500 30.78400
355 354.00 1500 30.71109
356 355.00 1500 30.63842
357 356.00 1500 30.56599
358 357.00 1500 30.49379
359 358.00 1500 30.42184
360 359.00 1500 30.35012
361 360.00 1500 30.27863
362 361.00 1500 30.20738
363 362.00 1500 30.13636
364 363.00 1500 30.06558
365 364.00 1500 29.99502
366 365.00 1500 29.92470
367 366.00 1500 29.85460
368 367.00 1500 29.78473
369 368.00 1500 29.71509
370 369.00 1500 29.64567
371 370.00 1500 29.57647
372 371.00 1500 29.50750
373 372.00 1500 29.43875
374 373.00 1500 29.37022
375 374.00 1500 29.30192
376 375.00 1500 29.23383
377 376.00 1500 29.16596
378 377.00 1500 29.09830
379 378.00 1500 29.03087
380 379.00 1500 28.96364
381 380.00 1500 28.89663
382 381.00 1500 28.82984
383 382.00 1500 28.76325
384 383.00 1500 28.69688
385 384.00 1500 28.63072
386 385.00 1500 28.56477
387 386.00 1500 28.49902
388 387.00 1500 28.43348
389 388.00 1500 28.36815
390 389.00 1500 28.30303
391 390.00 1500 28.23811
392 391.00 1500 28.17339
393 392.00 1500 28.10887
394 393.00 1500 28.04456
395 394.00 1500 27.98045
396 395.00 1500 27.91653
397 396.00 1500 27.85282
398 397.00 1500 27.78930
399 398.00 1500 27.72599
400 399.00 1500 27.66286
401 400.00 1500 27.59994
402 401.00 1500 27.53721
403 402.00 1500 27.47467
404 403.00 1500 27.41232
405 404.00 1500 27.35017
406 405.00 1500 27.28821
407 406.00 1500 27.22643
408 407.00 1500 27.16485
409 408.00 1500 27.10346
410 409.00 1500 27.04225
411 410.00 1500 26.98123
412 411.00 1500 26.92040
413 412.00 1500 26.85975
414 413.00 1500 26.79929
415 414.00 1500 26.73901
416 415.00 1500 26.67891
417 416.00 1500 26.61900
418 417.00 1500 26.55927
419 418.00 1500 26.49972
420 419.00 1500 26.44034
421 420.00 1500 26.38115
422 421.00 1500 26.32213
423 422.00 1500 26.26330
424 423.00 1500 26.20464
425 424.00 1500 26.14615
426 425.00 1500 26.08784
427 426.00 1500 26.02970
428 427.00 1500 25.97174
429 428.00 1500 25.91395
430 429.00 1500 25.85634
431 430.00 1500 25.79889
432 431.00 1500 25.74162
433 432.00 1500 25.68451
434 433.00 1500 25.62757
435 434.00 1500 25.57081
436 435.00 1500 25.51421
437 436.00 1500 25.45778
438 437.00 1500 25.40151
439 438.00 1500 25.34541
440 439.00 1500 25.28948
441 440.00 1500 25.23370
442 441.00 1500 25.17810
443 442.00 1500 25.12265
444 443.00 1500 25.06737
445 444.00 1500 25.01225
446 445.00 1500 24.95729
447 446.00 1500 24.90249
448 447.00 1500 24.84785
449 448.00 1500 24.79337
450 449.00 1500 24.73905
451 450.00 1500 24.68488
452 451.00 1500 24.63087
453 452.00 1500 24.57702
454 453.00 1500 24.52333
455 454.00 1500 24.46978
456 455.00 1500 24.41640
457 456.00 1500 24.36316
458 457.00 1500 24.31008
459 458.00 1500 24.25715
460 459.00 1500 24.20438
461 460.00 1500 24.15175
462 461.00 1500 24.09928
463 462.00 1500 24.04695
464 463.00 1500 23.99478
465 464.00 1500 23.94275
466 465.00 1500 23.89087
467 466.00 1500 23.83914
468 467.00 1500 23.78756
469 468.00 1500 23.73612
470 469.00 1500 23.68483
471 470.00 1500 23.63368
472 471.00 1500 23.58268
473 472.00 1500 23.53182
474 473.00 1500 23.48110
475 474.00 1500 23.43053
476 475.00 1500 23.38010
477 476.00 1500 23.32981
478 477.00 1500 23.27966
479 478.00 1500 23.22966
480 479.00 1500 23.17979
481 480.00 1500 23.13006
482 481.00 1500 23.08047
483 482.00 1500 23.03102
484 483.00 1500 22.98171
485 484.00 1500 22.93253
486 485.00 1500 22.88349
487 486.00 1500 22.83459
488 487.00 1500 22.78582
489 488.00 1500 22.73719
490 489.00 1500 22.68869
491 490.00 1500 22.64032
492 491.00 1500 22.59209
493 492.00 1500 22.54399
494 493.00 1500 22.49603
495 494.00 1500 22.44819
496 495.00 1500 22.40049
497 496.00 1500 22.35292
498 497.00 1500 22.30548
499 498.00 1500 22.25817
500 499.00 1500 22.21098
501 500.00 1500 22.16393

