$reaction
     coeff     name formula state ispecies
3178    -1   oxygen      O2   gas     3178
3171    -2 hydrogen      H2   gas     3171
1        2    water     H2O   liq        1

$out
         T P     logK
1     0.01 1 92.28192
2     1.00 1 91.88603
3     2.00 1 91.48906
4     3.00 1 91.09502
5     4.00 1 90.70387
6     5.00 1 90.31557
7     6.00 1 89.93010
8     7.00 1 89.54743
9     8.00 1 89.16752
10    9.00 1 88.79034
11   10.00 1 88.41587
12   11.00 1 88.04408
13   12.00 1 87.67494
14   13.00 1 87.30841
15   14.00 1 86.94449
16   15.00 1 86.58312
17   16.00 1 86.22430
18   17.00 1 85.86799
19   18.00 1 85.51417
20   19.00 1 85.16281
21   20.00 1 84.81388
22   21.00 1 84.46737
23   22.00 1 84.12324
24   23.00 1 83.78148
25   24.00 1 83.44205
26   25.00 1 83.10494
27   26.00 1 82.77012
28   27.00 1 82.43757
29   28.00 1 82.10726
30   29.00 1 81.77917
31   30.00 1 81.45329
32   31.00 1 81.12958
33   32.00 1 80.80804
34   33.00 1 80.48863
35   34.00 1 80.17133
36   35.00 1 79.85613
37   36.00 1 79.54300
38   37.00 1 79.23193
39   38.00 1 78.92289
40   39.00 1 78.61586
41   40.00 1 78.31083
42   41.00 1 78.00777
43   42.00 1 77.70668
44   43.00 1 77.40752
45   44.00 1 77.11027
46   45.00 1 76.81494
47   46.00 1 76.52148
48   47.00 1 76.22989
49   48.00 1 75.94015
50   49.00 1 75.65224
51   50.00 1 75.36614
52   51.00 1 75.08184
53   52.00 1 74.79932
54   53.00 1 74.51856
55   54.00 1 74.23955
56   55.00 1 73.96227
57   56.00 1 73.68671
58   57.00 1 73.41284
59   58.00 1 73.14066
60   59.00 1 72.87015
61   60.00 1 72.60130
62   61.00 1 72.33408
63   62.00 1 72.06849
64   63.00 1 71.80450
65   64.00 1 71.54211
66   65.00 1 71.28131
67   66.00 1 71.02206
68   67.00 1 70.76438
69   68.00 1 70.50823
70   69.00 1 70.25360
71   70.00 1 70.00049
72   71.00 1 69.74888
73   72.00 1 69.49875
74   73.00 1 69.25010
75   74.00 1 69.00290
76   75.00 1 68.75716
77   76.00 1 68.51285
78   77.00 1 68.26996
79   78.00 1 68.02848
80   79.00 1 67.78840
81   80.00 1 67.54970
82   81.00 1 67.31238
83   82.00 1 67.07643
84   83.00 1 66.84182
85   84.00 1 66.60856
86   85.00 1 66.37662
87   86.00 1 66.14600
88   87.00 1 65.91668
89   88.00 1 65.68867
90   89.00 1 65.46193
91   90.00 1 65.23647
92   91.00 1 65.01228
93   92.00 1 64.78933
94   93.00 1 64.56763
95   94.00 1 64.34716
96   95.00 1 64.12792
97   96.00 1 63.90988
98   97.00 1 63.69305
99   98.00 1 63.47741
100  99.00 1 63.26296
101 100.00 1 63.06090
102 101.00 1 62.87919
103 102.00 1 62.69844
104 103.00 1 62.51865
105 104.00 1 62.33981
106 105.00 1 62.16191
107 106.00 1 61.98494
108 107.00 1 61.80889
109 108.00 1 61.63377
110 109.00 1 61.45955
111 110.00 1 61.28624
112 111.00 1 61.11383
113 112.00 1 60.94230
114 113.00 1 60.77166
115 114.00 1 60.60190
116 115.00 1 60.43300
117 116.00 1 60.26497
118 117.00 1 60.09779
119 118.00 1 59.93146
120 119.00 1 59.76598
121 120.00 1 59.60133
122 121.00 1 59.43751
123 122.00 1 59.27452
124 123.00 1 59.11234
125 124.00 1 58.95097
126 125.00 1 58.79041
127 126.00 1 58.63065
128 127.00 1 58.47168
129 128.00 1 58.31350
130 129.00 1 58.15610
131 130.00 1 57.99948
132 131.00 1 57.84362
133 132.00 1 57.68853
134 133.00 1 57.53420
135 134.00 1 57.38062
136 135.00 1 57.22779
137 136.00 1 57.07570
138 137.00 1 56.92435
139 138.00 1 56.77372
140 139.00 1 56.62383
141 140.00 1 56.47465
142 141.00 1 56.32619
143 142.00 1 56.17844
144 143.00 1 56.03139
145 144.00 1 55.88504
146 145.00 1 55.73939
147 146.00 1 55.59443
148 147.00 1 55.45015
149 148.00 1 55.30656
150 149.00 1 55.16364
151 150.00 1 55.02138
152 151.00 1 54.87980
153 152.00 1 54.73888
154 153.00 1 54.59861
155 154.00 1 54.45899
156 155.00 1 54.32002
157 156.00 1 54.18170
158 157.00 1 54.04401
159 158.00 1 53.90695
160 159.00 1 53.77053
161 160.00 1 53.63473
162 161.00 1 53.49955
163 162.00 1 53.36499
164 163.00 1 53.23104
165 164.00 1 53.09769
166 165.00 1 52.96495
167 166.00 1 52.83281
168 167.00 1 52.70127
169 168.00 1 52.57032
170 169.00 1 52.43996
171 170.00 1 52.31017
172 171.00 1 52.18097
173 172.00 1 52.05235
174 173.00 1 51.92430
175 174.00 1 51.79681
176 175.00 1 51.66989
177 176.00 1 51.54353
178 177.00 1 51.41773
179 178.00 1 51.29248
180 179.00 1 51.16777
181 180.00 1 51.04362
182 181.00 1 50.92001
183 182.00 1 50.79693
184 183.00 1 50.67439
185 184.00 1 50.55238
186 185.00 1 50.43091
187 186.00 1 50.30995
188 187.00 1 50.18952
189 188.00 1 50.06960
190 189.00 1 49.95020
191 190.00 1 49.83131
192 191.00 1 49.71293
193 192.00 1 49.59505
194 193.00 1 49.47767
195 194.00 1 49.36080
196 195.00 1 49.24441
197 196.00 1 49.12852
198 197.00 1 49.01312
199 198.00 1 48.89820
200 199.00 1 48.78377
201 200.00 1 48.66982
202 201.00 1 48.55634
203 202.00 1 48.44333
204 203.00 1 48.33080
205 204.00 1 48.21873
206 205.00 1 48.10713
207 206.00 1 47.99599
208 207.00 1 47.88531
209 208.00 1 47.77508
210 209.00 1 47.66531
211 210.00 1 47.55599
212 211.00 1 47.44711
213 212.00 1 47.33868
214 213.00 1 47.23069
215 214.00 1 47.12315
216 215.00 1 47.01603
217 216.00 1 46.90936
218 217.00 1 46.80311
219 218.00 1 46.69729
220 219.00 1 46.59190
221 220.00 1 46.48693
222 221.00 1 46.38238
223 222.00 1 46.27826
224 223.00 1 46.17454
225 224.00 1 46.07124
226 225.00 1 45.96835
227 226.00 1 45.86587
228 227.00 1 45.76380
229 228.00 1 45.66213
230 229.00 1 45.56086
231 230.00 1 45.45999
232 231.00 1 45.35951
233 232.00 1 45.25943
234 233.00 1 45.15975
235 234.00 1 45.06045
236 235.00 1 44.96153
237 236.00 1 44.86301
238 237.00 1 44.76486
239 238.00 1 44.66710
240 239.00 1 44.56971
241 240.00 1 44.47270
242 241.00 1 44.37607
243 242.00 1 44.27980
244 243.00 1 44.18391
245 244.00 1 44.08838
246 245.00 1 43.99321
247 246.00 1 43.89841
248 247.00 1 43.80398
249 248.00 1 43.70990
250 249.00 1 43.61617
251 250.00 1 43.52280
252 251.00 1 43.42979
253 252.00 1 43.33712
254 253.00 1 43.24481
255 254.00 1 43.15284
256 255.00 1 43.06122
257 256.00 1 42.96993
258 257.00 1 42.87899
259 258.00 1 42.78839
260 259.00 1 42.69813
261 260.00 1 42.60820
262 261.00 1 42.51861
263 262.00 1 42.42934
264 263.00 1 42.34041
265 264.00 1 42.25180
266 265.00 1 42.16352
267 266.00 1 42.07557
268 267.00 1 41.98793
269 268.00 1 41.90062
270 269.00 1 41.81362
271 270.00 1 41.72695
272 271.00 1 41.64059
273 272.00 1 41.55454
274 273.00 1 41.46880
275 274.00 1 41.38338
276 275.00 1 41.29826
277 276.00 1 41.21345
278 277.00 1 41.12894
279 278.00 1 41.04474
280 279.00 1 40.96084
281 280.00 1 40.87724
282 281.00 1 40.79394
283 282.00 1 40.71094
284 283.00 1 40.62823
285 284.00 1 40.54581
286 285.00 1 40.46369
287 286.00 1 40.38186
288 287.00 1 40.30032
289 288.00 1 40.21906
290 289.00 1 40.13810
291 290.00 1 40.05741
292 291.00 1 39.97701
293 292.00 1 39.89689
294 293.00 1 39.81705
295 294.00 1 39.73749
296 295.00 1 39.65821
297 296.00 1 39.57920
298 297.00 1 39.50047
299 298.00 1 39.42201
300 299.00 1 39.34382
