$reaction
     coeff   name formula state ispecies
3178    -1 oxygen      O2   gas     3178
63      -2     H2      H2    aq       63
1        2  water     H2O   liq        1

$out
         T    P     logK
1     0.01 1500 98.63225
2     1.00 1500 98.25192
3     2.00 1500 97.87006
4     3.00 1500 97.49050
5     4.00 1500 97.11325
6     5.00 1500 96.73830
7     6.00 1500 96.36564
8     7.00 1500 95.99526
9     8.00 1500 95.62715
10    9.00 1500 95.26131
11   10.00 1500 94.89772
12   11.00 1500 94.53638
13   12.00 1500 94.17726
14   13.00 1500 93.82035
15   14.00 1500 93.46565
16   15.00 1500 93.11314
17   16.00 1500 92.76280
18   17.00 1500 92.41462
19   18.00 1500 92.06859
20   19.00 1500 91.72469
21   20.00 1500 91.38290
22   21.00 1500 91.04322
23   22.00 1500 90.70561
24   23.00 1500 90.37008
25   24.00 1500 90.03661
26   25.00 1500 89.70517
27   26.00 1500 89.37576
28   27.00 1500 89.04835
29   28.00 1500 88.72293
30   29.00 1500 88.39950
31   30.00 1500 88.07802
32   31.00 1500 87.75848
33   32.00 1500 87.44088
34   33.00 1500 87.12519
35   34.00 1500 86.81139
36   35.00 1500 86.49948
37   36.00 1500 86.18944
38   37.00 1500 85.88125
39   38.00 1500 85.57489
40   39.00 1500 85.27036
41   40.00 1500 84.96764
42   41.00 1500 84.66670
43   42.00 1500 84.36754
44   43.00 1500 84.07015
45   44.00 1500 83.77450
46   45.00 1500 83.48058
47   46.00 1500 83.18839
48   47.00 1500 82.89789
49   48.00 1500 82.60909
50   49.00 1500 82.32196
51   50.00 1500 82.03650
52   51.00 1500 81.75268
53   52.00 1500 81.47050
54   53.00 1500 81.18994
55   54.00 1500 80.91098
56   55.00 1500 80.63362
57   56.00 1500 80.35784
58   57.00 1500 80.08363
59   58.00 1500 79.81097
60   59.00 1500 79.53985
61   60.00 1500 79.27027
62   61.00 1500 79.00219
63   62.00 1500 78.73562
64   63.00 1500 78.47055
65   64.00 1500 78.20695
66   65.00 1500 77.94482
67   66.00 1500 77.68414
68   67.00 1500 77.42490
69   68.00 1500 77.16710
70   69.00 1500 76.91072
71   70.00 1500 76.65574
72   71.00 1500 76.40216
73   72.00 1500 76.14996
74   73.00 1500 75.89914
75   74.00 1500 75.64967
76   75.00 1500 75.40156
77   76.00 1500 75.15479
78   77.00 1500 74.90935
79   78.00 1500 74.66523
80   79.00 1500 74.42242
81   80.00 1500 74.18090
82   81.00 1500 73.94067
83   82.00 1500 73.70172
84   83.00 1500 73.46403
85   84.00 1500 73.22760
86   85.00 1500 72.99242
87   86.00 1500 72.75847
88   87.00 1500 72.52575
89   88.00 1500 72.29425
90   89.00 1500 72.06396
91   90.00 1500 71.83486
92   91.00 1500 71.60695
93   92.00 1500 71.38022
94   93.00 1500 71.15466
95   94.00 1500 70.93027
96   95.00 1500 70.70702
97   96.00 1500 70.48492
98   97.00 1500 70.26395
99   98.00 1500 70.04410
100  99.00 1500 69.82538
101 100.00 1500 69.60776
102 101.00 1500 69.39124
103 102.00 1500 69.17581
104 103.00 1500 68.96146
105 104.00 1500 68.74819
106 105.00 1500 68.53598
107 106.00 1500 68.32484
108 107.00 1500 68.11474
109 108.00 1500 67.90568
110 109.00 1500 67.69766
111 110.00 1500 67.49067
112 111.00 1500 67.28469
113 112.00 1500 67.07973
114 113.00 1500 66.87577
115 114.00 1500 66.67280
116 115.00 1500 66.47082
117 116.00 1500 66.26983
118 117.00 1500 66.06981
119 118.00 1500 65.87075
120 119.00 1500 65.67266
121 120.00 1500 65.47551
122 121.00 1500 65.27931
123 122.00 1500 65.08406
124 123.00 1500 64.88973
125 124.00 1500 64.69633
126 125.00 1500 64.50384
127 126.00 1500 64.31227
128 127.00 1500 64.12160
129 128.00 1500 63.93183
130 129.00 1500 63.74295
131 130.00 1500 63.55496
132 131.00 1500 63.36785
133 132.00 1500 63.18161
134 133.00 1500 62.99623
135 134.00 1500 62.81172
136 135.00 1500 62.62806
137 136.00 1500 62.44524
138 137.00 1500 62.26327
139 138.00 1500 62.08214
140 139.00 1500 61.90183
141 140.00 1500 61.72235
142 141.00 1500 61.54369
143 142.00 1500 61.36584
144 143.00 1500 61.18880
145 144.00 1500 61.01256
146 145.00 1500 60.83711
147 146.00 1500 60.66246
148 147.00 1500 60.48859
149 148.00 1500 60.31550
150 149.00 1500 60.14318
151 150.00 1500 59.97163
152 151.00 1500 59.80085
153 152.00 1500 59.63082
154 153.00 1500 59.46155
155 154.00 1500 59.29302
156 155.00 1500 59.12524
157 156.00 1500 58.95819
158 157.00 1500 58.79187
159 158.00 1500 58.62629
160 159.00 1500 58.46142
161 160.00 1500 58.29728
162 161.00 1500 58.13384
163 162.00 1500 57.97112
164 163.00 1500 57.80910
165 164.00 1500 57.64777
166 165.00 1500 57.48714
167 166.00 1500 57.32720
168 167.00 1500 57.16795
169 168.00 1500 57.00937
170 169.00 1500 56.85147
171 170.00 1500 56.69425
172 171.00 1500 56.53768
173 172.00 1500 56.38178
174 173.00 1500 56.22654
175 174.00 1500 56.07196
176 175.00 1500 55.91802
177 176.00 1500 55.76473
178 177.00 1500 55.61207
179 178.00 1500 55.46006
180 179.00 1500 55.30868
181 180.00 1500 55.15792
182 181.00 1500 55.00779
183 182.00 1500 54.85828
184 183.00 1500 54.70939
185 184.00 1500 54.56111
186 185.00 1500 54.41344
187 186.00 1500 54.26637
188 187.00 1500 54.11991
189 188.00 1500 53.97404
190 189.00 1500 53.82877
191 190.00 1500 53.68408
192 191.00 1500 53.53998
193 192.00 1500 53.39646
194 193.00 1500 53.25352
195 194.00 1500 53.11116
196 195.00 1500 52.96936
197 196.00 1500 52.82814
198 197.00 1500 52.68748
199 198.00 1500 52.54737
200 199.00 1500 52.40783
201 200.00 1500 52.26884
202 201.00 1500 52.13040
203 202.00 1500 51.99250
204 203.00 1500 51.85515
205 204.00 1500 51.71834
206 205.00 1500 51.58206
207 206.00 1500 51.44632
208 207.00 1500 51.31111
209 208.00 1500 51.17643
210 209.00 1500 51.04226
211 210.00 1500 50.90862
212 211.00 1500 50.77550
213 212.00 1500 50.64289
214 213.00 1500 50.51079
215 214.00 1500 50.37920
216 215.00 1500 50.24812
217 216.00 1500 50.11753
218 217.00 1500 49.98745
219 218.00 1500 49.85786
220 219.00 1500 49.72876
221 220.00 1500 49.60015
222 221.00 1500 49.47203
223 222.00 1500 49.34439
224 223.00 1500 49.21724
225 224.00 1500 49.09056
226 225.00 1500 48.96436
227 226.00 1500 48.83863
228 227.00 1500 48.71337
229 228.00 1500 48.58858
230 229.00 1500 48.46425
231 230.00 1500 48.34038
232 231.00 1500 48.21698
233 232.00 1500 48.09402
234 233.00 1500 47.97153
235 234.00 1500 47.84948
236 235.00 1500 47.72788
237 236.00 1500 47.60673
238 237.00 1500 47.48602
239 238.00 1500 47.36575
240 239.00 1500 47.24591
241 240.00 1500 47.12652
242 241.00 1500 47.00755
243 242.00 1500 46.88902
244 243.00 1500 46.77091
245 244.00 1500 46.65323
246 245.00 1500 46.53598
247 246.00 1500 46.41914
248 247.00 1500 46.30272
249 248.00 1500 46.18672
250 249.00 1500 46.07113
251 250.00 1500 45.95595
252 251.00 1500 45.84118
253 252.00 1500 45.72682
254 253.00 1500 45.61286
255 254.00 1500 45.49931
256 255.00 1500 45.38615
257 256.00 1500 45.27339
258 257.00 1500 45.16102
259 258.00 1500 45.04905
260 259.00 1500 44.93747
261 260.00 1500 44.82628
262 261.00 1500 44.71548
263 262.00 1500 44.60505
264 263.00 1500 44.49502
265 264.00 1500 44.38536
266 265.00 1500 44.27608
267 266.00 1500 44.16717
268 267.00 1500 44.05864
269 268.00 1500 43.95048
270 269.00 1500 43.84269
271 270.00 1500 43.73527
272 271.00 1500 43.62821
273 272.00 1500 43.52152
274 273.00 1500 43.41519
275 274.00 1500 43.30922
276 275.00 1500 43.20360
277 276.00 1500 43.09834
278 277.00 1500 42.99344
279 278.00 1500 42.88889
280 279.00 1500 42.78468
281 280.00 1500 42.68083
282 281.00 1500 42.57732
283 282.00 1500 42.47416
284 283.00 1500 42.37134
285 284.00 1500 42.26886
286 285.00 1500 42.16672
287 286.00 1500 42.06491
288 287.00 1500 41.96344
289 288.00 1500 41.86231
290 289.00 1500 41.76150
291 290.00 1500 41.66103
292 291.00 1500 41.56089
293 292.00 1500 41.46107
294 293.00 1500 41.36157
295 294.00 1500 41.26240
296 295.00 1500 41.16355
297 296.00 1500 41.06502
298 297.00 1500 40.96681
299 298.00 1500 40.86891
300 299.00 1500 40.77133
301 300.00 1500 40.67406
302 301.00 1500 40.57710
303 302.00 1500 40.48045
304 303.00 1500 40.38411
305 304.00 1500 40.28808
