$reaction
     coeff   name formula state ispecies
3178    -1 oxygen      O2   gas     3178
63      -2     H2      H2    aq       63
1        2  water     H2O   liq        1

$out
        T    P      logK
1  -20.00 1500 106.78020
2  -10.00 1500 102.60403
3    0.01 1500  98.63225
4   10.00 1500  94.89772
5   20.00 1500  91.38290
6   30.00 1500  88.07802
7   40.00 1500  84.96764
8   50.00 1500  82.03650
9   60.00 1500  79.27027
10  70.00 1500  76.65574
11  80.00 1500  74.18090
12  90.00 1500  71.83486
13 100.00 1500  69.60776
14 110.00 1500  67.49067
15 120.00 1500  65.47551
16 130.00 1500  63.55496
17 140.00 1500  61.72235
18 150.00 1500  59.97163
19 160.00 1500  58.29728
20 170.00 1500  56.69425
21 180.00 1500  55.15792
22 190.00 1500  53.68408
23 200.00 1500  52.26884
24 210.00 1500  50.90862
25 220.00 1500  49.60015
26 230.00 1500  48.34038
27 240.00 1500  47.12652
28 250.00 1500  45.95595
29 260.00 1500  44.82628
30 270.00 1500  43.73527
31 280.00 1500  42.68083
32 290.00 1500  41.66103
33 300.00 1500  40.67406
34 310.00 1500  39.71823
35 320.00 1500  38.79195
36 330.00 1500  37.89375
37 340.00 1500  37.02223
38 350.00 1500  36.17609
39 360.00 1500  35.35410
40 370.00 1500  34.55510
41 380.00 1500  33.77799
42 390.00 1500  33.02174
43 400.00 1500  32.28538
44 410.00 1500  31.56799
45 420.00 1500  30.86869
46 430.00 1500  30.18665
47 440.00 1500  29.52109
48 450.00 1500  28.87126
49 460.00 1500  28.23647
50 470.00 1500  27.61604
51 480.00 1500  27.00935
52 490.00 1500  26.41580
53 500.00 1500  25.83484
54 510.00 1500  25.26594
55 520.00 1500  24.70861
56 530.00 1500  24.16241
57 540.00 1500  23.62690
58 550.00 1500  23.10172
59 560.00 1500  22.58650
60 570.00 1500  22.08094
61 580.00 1500  21.58475
62 590.00 1500  21.09767
63 600.00 1500  20.61949
64 610.00 1500  20.15000
65 620.00 1500  19.68902
66 630.00 1500  19.23641
67 640.00 1500  18.79202
68 650.00 1500  18.35572
69 660.00 1500  17.92740
70 670.00 1500  17.50693
71 680.00 1500  17.09421
72 690.00 1500  16.68914
73 700.00 1500  16.29159
74 710.00 1500  15.90145
75 720.00 1500  15.51862
76 730.00 1500  15.14297
77 740.00 1500  14.77438
78 750.00 1500  14.41273
79 760.00 1500  14.05787
80 770.00 1500  13.70969
81 780.00 1500  13.36805
82 790.00 1500        NA
83 800.00 1500        NA
84 810.00 1500        NA
85 820.00 1500        NA
86 830.00 1500        NA
87 840.00 1500        NA
88 850.00 1500        NA
89 860.00 1500        NA
90 870.00 1500        NA
91 880.00 1500        NA
92 890.00 1500        NA
93 900.00 1500        NA
94 910.00 1500        NA
95 920.00 1500        NA
96 930.00 1500        NA

$warnings
[1] "below minimum density for applicability of revised HKF equations (15 T,P pairs)"

