$reaction
     coeff    name formula state ispecies
63      -4      H2      H2    aq       63
1578    -1     CO2     CO2    aq     1578
926      1 methane     CH4    aq      926
1        2   water     H2O   liq        1

$out
         T    P      logK
1     0.01 1500 39.090765
2     1.00 1500 38.947680
3     2.00 1500 38.803210
4     3.00 1500 38.658843
5     4.00 1500 38.514617
6     5.00 1500 38.370570
7     6.00 1500 38.226733
8     7.00 1500 38.083135
9     8.00 1500 37.939805
10    9.00 1500 37.796767
11   10.00 1500 37.654043
12   11.00 1500 37.511655
13   12.00 1500 37.369620
14   13.00 1500 37.227956
15   14.00 1500 37.086678
16   15.00 1500 36.945802
17   16.00 1500 36.805339
18   17.00 1500 36.665303
19   18.00 1500 36.525703
20   19.00 1500 36.386549
21   20.00 1500 36.247850
22   21.00 1500 36.109615
23   22.00 1500 35.971850
24   23.00 1500 35.834562
25   24.00 1500 35.697758
26   25.00 1500 35.561441
27   26.00 1500 35.425618
28   27.00 1500 35.290291
29   28.00 1500 35.155465
30   29.00 1500 35.021144
31   30.00 1500 34.887329
32   31.00 1500 34.754023
33   32.00 1500 34.621229
34   33.00 1500 34.488948
35   34.00 1500 34.357181
36   35.00 1500 34.225929
37   36.00 1500 34.095194
38   37.00 1500 33.964976
39   38.00 1500 33.835275
40   39.00 1500 33.706092
41   40.00 1500 33.577426
42   41.00 1500 33.449277
43   42.00 1500 33.321644
44   43.00 1500 33.194528
45   44.00 1500 33.067927
46   45.00 1500 32.941841
47   46.00 1500 32.816268
48   47.00 1500 32.691207
49   48.00 1500 32.566657
50   49.00 1500 32.442616
51   50.00 1500 32.319084
52   51.00 1500 32.196058
53   52.00 1500 32.073537
54   53.00 1500 31.951519
55   54.00 1500 31.830003
56   55.00 1500 31.708986
57   56.00 1500 31.588467
58   57.00 1500 31.468443
59   58.00 1500 31.348913
60   59.00 1500 31.229875
61   60.00 1500 31.111325
62   61.00 1500 30.993263
63   62.00 1500 30.875686
64   63.00 1500 30.758591
65   64.00 1500 30.641977
66   65.00 1500 30.525841
67   66.00 1500 30.410181
68   67.00 1500 30.294994
69   68.00 1500 30.180278
70   69.00 1500 30.066031
71   70.00 1500 29.952250
72   71.00 1500 29.838933
73   72.00 1500 29.726077
74   73.00 1500 29.613680
75   74.00 1500 29.501740
76   75.00 1500 29.390253
77   76.00 1500 29.279218
78   77.00 1500 29.168633
79   78.00 1500 29.058493
80   79.00 1500 28.948798
81   80.00 1500 28.839544
82   81.00 1500 28.730729
83   82.00 1500 28.622351
84   83.00 1500 28.514406
85   84.00 1500 28.406894
86   85.00 1500 28.299810
87   86.00 1500 28.193153
88   87.00 1500 28.086921
89   88.00 1500 27.981110
90   89.00 1500 27.875718
91   90.00 1500 27.770743
92   91.00 1500 27.666182
93   92.00 1500 27.562033
94   93.00 1500 27.458293
95   94.00 1500 27.354961
96   95.00 1500 27.252033
97   96.00 1500 27.149507
98   97.00 1500 27.047381
99   98.00 1500 26.945652
100  99.00 1500 26.844318
101 100.00 1500 26.718334
102 101.00 1500 26.618316
103 102.00 1500 26.518535
104 103.00 1500 26.419134
105 104.00 1500 26.320110
106 105.00 1500 26.221460
107 106.00 1500 26.123184
108 107.00 1500 26.025326
109 108.00 1500 25.927836
110 109.00 1500 25.830711
111 110.00 1500 25.733902
112 111.00 1500 25.637548
113 112.00 1500 25.541461
114 113.00 1500 25.445728
115 114.00 1500 25.350352
116 115.00 1500 25.255329
117 116.00 1500 25.160753
118 117.00 1500 25.066479
119 118.00 1500 24.972503
120 119.00 1500 24.878873
121 120.00 1500 24.785586
122 121.00 1500 24.692640
123 122.00 1500 24.600034
124 123.00 1500 24.507810
125 124.00 1500 24.415874
126 125.00 1500 24.324271
127 126.00 1500 24.232999
128 127.00 1500 24.142149
129 128.00 1500 24.051532
130 129.00 1500 23.961286
131 130.00 1500 23.871318
132 131.00 1500 23.781672
133 132.00 1500 23.692345
134 133.00 1500 23.603382
135 134.00 1500 23.514690
136 135.00 1500 23.426311
137 136.00 1500 23.338244
