$reaction
     coeff     name formula state ispecies
1       -2    water     H2O   liq        1
3171     2 hydrogen      H2   gas     3171
3178     1   oxygen      O2   gas     3178

$out
        T P       logK
1  -20.00 1 -100.95913
2  -10.00 1  -96.45495
3    0.01 1  -92.28192
4   10.00 1  -88.41587
5   20.00 1  -84.81388
6   30.00 1  -81.45329
7   40.00 1  -78.31083
8   50.00 1  -75.36614
9   60.00 1  -72.60130
10  70.00 1  -70.00049
11  80.00 1  -67.54970
12  90.00 1  -65.23647
13 100.00 1  -63.06090
14 110.00 1  -61.28624
15 120.00 1  -59.60133
16 130.00 1  -57.99948
17 140.00 1  -56.47465
18 150.00 1  -55.02138
19 160.00 1  -53.63473
20 170.00 1  -52.31017
21 180.00 1  -51.04362
22 190.00 1  -49.83131
23 200.00 1  -48.66982
24 210.00 1  -47.55599
25 220.00 1  -46.48693
26 230.00 1  -45.45999
27 240.00 1  -44.47270
28 250.00 1  -43.52280
29 260.00 1  -42.60820
30 270.00 1  -41.72695
31 280.00 1  -40.87724
32 290.00 1  -40.05741
33 300.00 1  -39.26590
34 310.00 1  -38.50125
35 320.00 1  -37.76211
36 330.00 1  -37.04723
37 340.00 1  -36.35541
38 350.00 1  -35.68556
39 360.00 1  -35.03663
40 370.00 1  -34.40766
41 380.00 1  -33.79774
42 390.00 1  -33.20600
43 400.00 1  -32.63164
44 410.00 1  -32.07391
45 420.00 1  -31.53208
46 430.00 1  -31.00548
47 440.00 1  -30.49348
48 450.00 1  -29.99547
49 460.00 1  -29.51089
50 470.00 1  -29.03919
51 480.00 1  -28.57986
52 490.00 1  -28.13243
53 500.00 1  -27.69643
54 510.00 1  -27.27143
55 520.00 1  -26.85701
56 530.00 1  -26.45279
57 540.00 1  -26.05839
58 550.00 1  -25.67345
59 560.00 1  -25.29763
60 570.00 1  -24.93062
61 580.00 1  -24.57211
62 590.00 1  -24.22179
63 600.00 1  -23.87940
64 610.00 1  -23.54467
65 620.00 1  -23.21734
66 630.00 1  -22.89716
67 640.00 1  -22.58391
68 650.00 1  -22.27736
69 660.00 1  -21.97730
70 670.00 1  -21.68352
71 680.00 1  -21.39583
72 690.00 1  -21.11403
73 700.00 1  -20.83796
74 710.00 1  -20.56742
75 720.00 1  -20.30227
76 730.00 1  -20.04234
77 740.00 1  -19.78748
78 750.00 1  -19.53753
79 760.00 1  -19.29236
80 770.00 1  -19.05184
81 780.00 1  -18.81582
82 790.00 1  -18.58419
83 800.00 1  -18.35683
84 810.00 1  -18.13361
85 820.00 1  -17.91442
86 830.00 1  -17.69916
87 840.00 1  -17.48772
88 850.00 1  -17.28000
89 860.00 1  -17.07590
90 870.00 1  -16.87533
91 880.00 1  -16.67819
92 890.00 1  -16.48441
93 900.00 1  -16.29389
94 910.00 1  -16.10655
95 920.00 1  -15.92231
96 930.00 1  -15.74110

