$reaction
     coeff       name formula state ispecies
1984  -3.0 pyrrhotite     FeS   cr*     1984
1985  -1.0     oxygen      O2   gas     3178
1986   1.5     pyrite    FeS2    cr     1983
3178   0.5  magnetite   Fe3O4    cr     2588

$out
        T P     logK
1  -20.00 1 93.99920
2  -10.00 1 89.97041
3    0.01 1 86.23124
4   10.00 1 82.76150
5   20.00 1 79.52363
6   30.00 1 76.49795
7   40.00 1 73.66416
8   50.00 1 71.00444
9   60.00 1 68.50312
10  70.00 1 66.14634
11  80.00 1 63.92179
12  90.00 1 61.81855
13 100.00 1 59.82682
14 110.00 1 57.93785
15 120.00 1 56.14377
16 130.00 1 54.43749
17 140.00 1 52.80787
18 150.00 1 51.23688
19 160.00 1 49.73685
20 170.00 1 48.30306
21 180.00 1 46.93117
22 190.00 1 45.61725
23 200.00 1 44.35767
24 210.00 1 43.14912
25 220.00 1 41.98852
26 230.00 1 40.87308
27 240.00 1 39.80019
28 250.00 1 38.76745
29 260.00 1 37.77264
30 270.00 1 36.81371
31 280.00 1 35.88873
32 290.00 1 34.99593
33 300.00 1 34.13366
34 310.00 1 33.30037
35 320.00 1 32.49464
36 330.00 1 31.71407
37 340.00 1 30.95804
38 350.00 1 30.22646
39 360.00 1 29.51820
40 370.00 1 28.83217
41 380.00 1 28.16736
42 390.00 1 27.52283
43 400.00 1 26.89767
44 410.00 1 26.29105
45 420.00 1 25.70217
46 430.00 1 25.13029
47 440.00 1 24.57470
48 450.00 1 24.03474
49 460.00 1 23.50978
50 470.00 1 22.99921
51 480.00 1 22.50248
52 490.00 1 22.01906
53 500.00 1 21.54843
54 510.00 1 21.09011
55 520.00 1 20.64366
56 530.00 1 20.20864
57 540.00 1 19.78464
58 550.00 1 19.37126
59 560.00 1 18.96813
60 570.00 1 18.57491
61 580.00 1 18.19120
62 590.00 1 17.81646
63 600.00 1 17.45032
64 610.00 1 17.09251
65 620.00 1 16.74273
66 630.00 1 16.40072
67 640.00 1 16.06623
68 650.00 1 15.73901
69 660.00 1 15.41882
70 670.00 1 15.10544
71 680.00 1 14.79865
72 690.00 1 14.49825
73 700.00 1 14.20404
74 710.00 1 13.91583
75 720.00 1 13.63344
76 730.00 1       NA
77 740.00 1       NA
78 750.00 1       NA
79 760.00 1       NA
80 770.00 1       NA
81 780.00 1       NA
82 790.00 1       NA
83 800.00 1       NA
84 810.00 1       NA
85 820.00 1       NA
86 830.00 1       NA
87 840.00 1       NA
88 850.00 1       NA
89 860.00 1       NA
90 870.00 1       NA
91 880.00 1       NA
92 890.00 1       NA
93 900.00 1       NA
94 910.00 1       NA
95 920.00 1       NA
96 930.00 1       NA

$polymorphs
        T P pyrrhotite
1  -20.00 1          1
2  -10.00 1          1
3    0.01 1          1
4   10.00 1          1
5   20.00 1          1
6   30.00 1          1
7   40.00 1          1
8   50.00 1          1
9   60.00 1          1
10  70.00 1          1
11  80.00 1          1
12  90.00 1          1
13 100.00 1          1
14 110.00 1          1
15 120.00 1          1
16 130.00 1          1
17 140.00 1          2
18 150.00 1          2
19 160.00 1          2
20 170.00 1          2
21 180.00 1          2
22 190.00 1          2
23 200.00 1          2
24 210.00 1          2
25 220.00 1          2
26 230.00 1          2
27 240.00 1          2
28 250.00 1          2
29 260.00 1          2
30 270.00 1          2
31 280.00 1          2
32 290.00 1          2
33 300.00 1          2
34 310.00 1          2
35 320.00 1          2
36 330.00 1          3
37 340.00 1          3
38 350.00 1          3
39 360.00 1          3
40 370.00 1          3
41 380.00 1          3
42 390.00 1          3
43 400.00 1          3
44 410.00 1          3
45 420.00 1          3
46 430.00 1          3
47 440.00 1          3
48 450.00 1          3
49 460.00 1          3
50 470.00 1          3
51 480.00 1          3
52 490.00 1          3
53 500.00 1          3
54 510.00 1          3
55 520.00 1          3
56 530.00 1          3
57 540.00 1          3
58 550.00 1          3
59 560.00 1          3
60 570.00 1          3
61 580.00 1          3
62 590.00 1          3
63 600.00 1          3
64 610.00 1          3
65 620.00 1          3
66 630.00 1          3
67 640.00 1          3
68 650.00 1          3
69 660.00 1          3
70 670.00 1          3
71 680.00 1          3
72 690.00 1          3
73 700.00 1          3
74 710.00 1          3
75 720.00 1          3
76 730.00 1          3
77 740.00 1          3
78 750.00 1          3
79 760.00 1          3
80 770.00 1          3
81 780.00 1          3
82 790.00 1          3
83 800.00 1          3
84 810.00 1          3
85 820.00 1          3
86 830.00 1          3
87 840.00 1          3
88 850.00 1          3
89 860.00 1          3
90 870.00 1          3
91 880.00 1          3
92 890.00 1          3
93 900.00 1          3
94 910.00 1          3
95 920.00 1          3
96 930.00 1          3

