Burial rate: 
1e-4 cm/yr      1e-3 cm/yr      1e-2 cm/yr      1e-1 cm/yr      0.5 cm/yr 
9.908339e-04    9.908339e-04    9.908339e-04    9.908339e-04    9.908339e-04 
1.558654e-13    1.429412e-14    1.429412e-15    1.429412e-16    2.858824e-17 
3.006291e-13    2.877049e-14    2.877049e-15    2.877049e-16    5.754097e-17 
4.472383e-13    4.343141e-14    4.343141e-15    4.343141e-16    8.686282e-17 
5.957167e-13    5.827925e-14    5.827925e-15    5.827925e-16    1.165585e-16 
7.460880e-13    7.331638e-14    7.331638e-15    7.331638e-16    1.466328e-16 
8.983763e-13    8.854521e-14    8.854521e-15    8.854521e-16    1.770904e-16 
1.052606e-12    1.039682e-13    1.039682e-14    1.039682e-15    2.079364e-16 
1.208802e-12    1.195878e-13    1.195878e-14    1.195878e-15    2.391756e-16 
1.366990e-12    1.354066e-13    1.354066e-14    1.354066e-15    2.708131e-16 
1.527194e-12    1.514270e-13    1.514270e-14    1.514270e-15    3.028540e-16 
1.689441e-12    1.676517e-13    1.676517e-14    1.676517e-15    3.353034e-16 
1.853756e-12    1.840832e-13    1.840832e-14    1.840832e-15    3.681664e-16 
2.020166e-12    2.007242e-13    2.007242e-14    2.007242e-15    4.014484e-16 
2.188698e-12    2.175774e-13    2.175774e-14    2.175774e-15    4.351547e-16 
2.359378e-12    2.346454e-13    2.346454e-14    2.346454e-15    4.692908e-16 
2.532234e-12    2.519310e-13    2.519310e-14    2.519310e-15    5.038620e-16 
2.707294e-12    2.694370e-13    2.694370e-14    2.694370e-15    5.388740e-16 
2.884586e-12    2.871662e-13    2.871662e-14    2.871662e-15    5.743324e-16 
3.064138e-12    3.051214e-13    3.051214e-14    3.051214e-15    6.102429e-16 
3.245980e-12    3.233056e-13    3.233056e-14    3.233056e-15    6.466111e-16 
3.430139e-12    3.417215e-13    3.417215e-14    3.417215e-15    6.834430e-16 
3.616647e-12    3.603723e-13    3.603723e-14    3.603723e-15    7.207445e-16 
3.805532e-12    3.792608e-13    3.792608e-14    3.792608e-15    7.585216e-16 
3.996825e-12    3.983901e-13    3.983901e-14    3.983901e-15    7.967802e-16 
4.190557e-12    4.177633e-13    4.177633e-14    4.177633e-15    8.355267e-16 
4.386760e-12    4.373835e-13    4.373835e-14    4.373835e-15    8.747671e-16 
4.585463e-12    4.572539e-13    4.572539e-14    4.572539e-15    9.145077e-16 
4.786700e-12    4.773775e-13    4.773775e-14    4.773775e-15    9.547551e-16 
4.990502e-12    4.977578e-13    4.977578e-14    4.977578e-15    9.955155e-16 
5.196902e-12    5.183978e-13    5.183978e-14    5.183978e-15    1.036796e-15 
5.405934e-12    5.393010e-13    5.393010e-14    5.393010e-15    1.078602e-15 
5.617631e-12    5.604707e-13    5.604707e-14    5.604707e-15    1.120941e-15 
5.832027e-12    5.819103e-13    5.819103e-14    5.819103e-15    1.163821e-15 
6.049156e-12    6.036232e-13    6.036232e-14    6.036232e-15    1.207246e-15 
6.269053e-12    6.256129e-13    6.256129e-14    6.256129e-15    1.251226e-15 
6.491754e-12    6.478830e-13    6.478830e-14    6.478830e-15    1.295766e-15 
6.717294e-12    6.704370e-13    6.704370e-14    6.704370e-15    1.340874e-15 
6.945710e-12    6.932785e-13    6.932785e-14    6.932785e-15    1.386557e-15 
7.177037e-12    7.164113e-13    7.164113e-14    7.164113e-15    1.432823e-15 
7.411314e-12    7.398390e-13    7.398390e-14    7.398390e-15    1.479678e-15 
7.648577e-12    7.635653e-13    7.635653e-14    7.635653e-15    1.527131e-15 
7.888866e-12    7.875942e-13    7.875942e-14    7.875942e-15    1.575188e-15 
8.132218e-12    8.119293e-13    8.119293e-14    8.119293e-15    1.623859e-15 
8.378672e-12    8.365748e-13    8.365748e-14    8.365748e-15    1.673150e-15 
8.628268e-12    8.615344e-13    8.615344e-14    8.615344e-15    1.723069e-15 
8.881047e-12    8.868123e-13    8.868123e-14    8.868123e-15    1.773625e-15 
9.137048e-12    9.124124e-13    9.124124e-14    9.124124e-15    1.824825e-15 
9.396313e-12    9.383389e-13    9.383389e-14    9.383389e-15    1.876678e-15 
9.658883e-12    9.645959e-13    9.645959e-14    9.645959e-15    1.929192e-15 
9.924801e-12    9.911877e-13    9.911877e-14    9.911877e-15    1.982375e-15 
1.019411e-11    1.018118e-12    1.018118e-13    1.018118e-14    2.036237e-15 
1.046685e-11    1.045393e-12    1.045393e-13    1.045393e-14    2.090785e-15 
1.074307e-11    1.073015e-12    1.073015e-13    1.073015e-14    2.146029e-15 
1.102281e-11    1.100989e-12    1.100989e-13    1.100989e-14    2.201977e-15 
1.130612e-11    1.129319e-12    1.129319e-13    1.129319e-14    2.258638e-15 
1.159303e-11    1.158011e-12    1.158011e-13    1.158011e-14    2.316022e-15 
1.188361e-11    1.187069e-12    1.187069e-13    1.187069e-14    2.374137e-15 
1.217789e-11    1.216497e-12    1.216497e-13    1.216497e-14    2.432993e-15 
1.247592e-11    1.246300e-12    1.246300e-13    1.246300e-14    2.492600e-15 
1.277776e-11    1.276483e-12    1.276483e-13    1.276483e-14    2.552966e-15 
1.308344e-11    1.307051e-12    1.307051e-13    1.307051e-14    2.614103e-15 
1.339301e-11    1.338009e-12    1.338009e-13    1.338009e-14    2.676018e-15 
1.370654e-11    1.369361e-12    1.369361e-13    1.369361e-14    2.738723e-15 
1.402406e-11    1.401114e-12    1.401114e-13    1.401114e-14    2.802227e-15 
1.434563e-11    1.433271e-12    1.433271e-13    1.433271e-14    2.866541e-15 
1.467130e-11    1.465838e-12    1.465838e-13    1.465838e-14    2.931675e-15 
1.500112e-11    1.498820e-12    1.498820e-13    1.498820e-14    2.997639e-15 
1.533515e-11    1.532222e-12    1.532222e-13    1.532222e-14    3.064445e-15 
